steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9990234375,0.9990234375,1.0,0.9990234375,0.9990234375,0.9970703125,0.998046875,1.0,1.0,0.9990234375,0.9990234375,0.994140625,1.0
10526315.789473685,1.0,1.0,1.0,1.0,0.999944626129235,1.0,0.999078811370765,0.999078811370765,1.0,0.999078811370765,0.999078811370765,0.9972364341122952,0.9981576227415302,1.0,1.0,0.999078811370765,0.999078811370765,0.9944728682245905,1.0
21052631.57894737,1.0,1.0,1.0,1.0,0.9990234375,1.0,1.0,1.0,1.0,1.0,0.9998892522584698,1.0,1.0,1.0,1.0,1.0,1.0,0.9998892522584698,1.0
31578947.368421055,1.0,1.0,1.0,1.0,0.9991895591122952,1.0,1.0,1.0,1.0,1.0,0.9991895591122952,1.0,1.0,1.0,1.0,1.0,1.0,0.9991895591122952,1.0
42105263.15789474,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52631578.94736842,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997231306461747,1.0,1.0,1.0,1.0,1.0,1.0,0.9994462612923493,1.0,1.0,1.0,1.0
63157894.73684211,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993556807245905,1.0,1.0,1.0,1.0,1.0,1.0,0.9983791182245905,0.9996677567754095,1.0,1.0,1.0
73684210.5263158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994110545953555,0.9994110545953555,1.0,0.9988371487139335,1.0
84210526.31578948,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9983992853983618,1.0
94736842.10526316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
105263157.89473684,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
115789473.68421052,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
126315789.47368422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
136842105.2631579,0.999280139680054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
147368421.0526316,0.999798671690711,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
157894736.84210527,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9991693919385239,1.0,1.0,1.0
168421052.63157895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999094194322412,1.0,1.0,1.0
178947368.42105263,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9990586441969938,1.0,1.0,1.0
189473684.21052632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200000000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
