steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31,trial_32,trial_33,trial_34,trial_35,trial_36,trial_37
0.0,649.176513671875,679.834716796875,897.23681640625,944.4580078125,938.2528076171875,960.0338134765625,953.5537719726562,958.483154296875,958.938720703125,959.0372314453125,853.092529296875,960.005859375,961.4302978515625,957.7330932617188,963.5167236328125,968.9967041015625,673.9765014648438,641.1766357421875,601.8391723632812,676.7410888671875,966.986083984375,656.6355590820312,962.5877685546875,895.1244506835938,967.8114624023438,944.572509765625,949.708740234375,942.6045532226562,542.973876953125,742.1343994140625,962.49658203125,930.1167602539062,945.8231201171875,948.9710693359375,970.1401977539062,919.34033203125,926.2283935546875,957.7637329101562
10526315.789473685,666.6953389743688,693.7852913976707,902.1225810759286,945.3528357205959,939.9221463948076,960.5241283369857,955.0330572432098,959.2545607687694,959.451731928828,960.004360324293,860.0650963558714,960.1999863224347,962.4814877272313,957.7872316029924,964.2749303582633,969.4400757630445,690.9347943779175,659.4716573563969,622.8898677343807,693.662263982514,967.4706191970371,661.4303375603089,963.2241873731243,899.7026619533092,968.1144163101663,946.4839154192946,951.1401063415152,944.4667384269495,567.1763146134955,754.9772301128036,962.857678503376,932.5829636405049,947.4522470820314,950.3539106279529,970.1476213134557,922.5353213135886,928.8081445241569,958.9924064242279
21052631.57894737,960.7425514964846,932.085013828119,982.2606000137462,961.9050750085191,969.2229329433468,968.419405098437,979.842998829905,972.8549162803264,968.4272822214296,976.5404529168666,976.6155843906455,965.3262060850941,980.2357464404648,960.6898323693764,977.201534885779,976.6094564916024,973.7383838122571,965.8311528333996,973.8619104577564,975.8131859906823,970.5605245082332,767.2109883237744,973.6931341018043,975.12933703869,973.6391366439512,978.4986943673559,975.2762749891863,974.5861516454544,969.3768023209559,969.6257240478352,969.8639524877897,974.511979134129,974.9627986102884,973.9425751492588,971.6238187660471,975.8679074729248,972.5042369867626,979.7970169075968
31578947.368421055,981.5339491522543,981.415609099363,975.1299440092988,975.6298696296367,981.8049565154099,968.546593628927,978.0128128127378,977.9242253225926,972.7845673769135,979.8841016498959,980.2934110418911,980.0307105561703,981.6889502642227,977.0458781841389,979.7314696148492,975.2856899934133,979.5985599066082,981.2147911070457,980.2159601565543,981.0502164855889,939.8298091642414,972.1281497250634,974.3748877847624,971.0902055181625,978.2284650284167,979.8086436821814,977.3356224683183,970.0042429589499,967.8797313658484,977.3951085264333,977.5880816431917,981.6508918231214,978.1050247043123,978.0946189571285,981.3499037628359,977.642259800203,979.3912602945378,982.6598306953742
42105263.15789474,983.1148868610984,983.1339762303307,984.0344733128587,978.853892766868,985.0382284193488,978.4391909550432,965.6252205246374,974.1527331912287,977.5623695434296,979.3818876300822,977.8406577750917,979.5207399186005,979.7506609848001,978.5031677408562,979.6311971408178,977.8440212087288,981.7840043170961,979.4146621253682,980.7546360690839,982.0637704322213,979.2552099782674,979.6825868442778,982.0390845203664,980.198499303115,981.843486760792,978.9971864771645,975.9114408360954,980.573210782952,978.0479191241172,977.9540738966987,976.7080209466559,981.8226397863056,978.3743606095829,977.6483430109525,978.4643642030594,979.8054517530669,982.7618373080965,982.4930681284114
52631578.94736842,981.9494615955035,978.6624871845721,984.3366258614942,979.8352372822999,985.9147190656358,977.363337804406,979.8546512237547,977.5216910726806,979.0686880132168,980.3639928890067,981.6994984065727,980.2615249609353,978.4342823159001,973.3926527166631,977.0777702384378,980.7725323598801,981.0491550272521,979.8502964459958,978.4305700324579,983.5418416813139,979.558873136453,980.2317376618901,980.6305272245671,981.527599450789,982.0032849154974,981.5008117191679,979.5310682826095,981.6139021117932,982.2870748700198,979.7747391660458,977.2179840697476,981.9027676179469,980.8639409689032,983.075415280387,981.7868536174133,981.212116281907,981.7919424915908,982.9479600972086
63157894.73684211,982.4053256865024,981.829182139394,983.893412963175,982.5658700139238,986.2013039836593,981.2434170880146,980.3548693617295,978.0083784574947,980.3728078290036,980.6180341266859,981.974363120639,982.2416875666198,971.6837087417243,978.8048031792416,976.5443603510341,978.9488494908051,981.604412138297,982.4031291159897,981.3935584239352,982.6991816138296,982.6737912761207,980.1801367839618,979.1040156894774,979.0112658408871,984.1154930832644,980.604534664973,976.7102800445873,973.3620518713446,982.8585919012984,979.5997998803606,982.2501000179149,983.8022234912064,982.4411896652132,981.475226423747,980.5799512830138,981.2872881922365,984.5893220478808,985.5651136943839
73684210.5263158,981.1934539079666,982.1057499019723,982.2209267010319,982.24468386553,986.0438821421436,982.0549855651618,982.4434855608398,976.9861492770531,981.2950645128776,979.0512663109481,979.5869587346127,982.0579944637674,983.7309797449125,981.4944740170587,980.1256335253861,980.5065400247098,983.5065760731367,980.6963089516288,985.3386883478086,981.9780407181407,983.6135400558443,979.1191718395066,981.453535873639,981.8033846857805,983.2931717898376,983.2426092720428,972.1791947556665,966.3458146566829,984.7489859593873,981.7450373289988,982.5178984968286,982.5362792767977,981.4613494138308,979.5406776917608,984.1212321024523,982.9357415835613,986.527389700393,985.37187311012
84210526.31578948,981.8081243427837,982.599079557403,973.6098379481202,984.774992616553,985.898003981054,982.5737748714035,984.273514276066,979.02825668578,981.7650414741601,980.6818751681215,984.0022973670854,981.1706347941032,983.1433494203309,980.3301758647295,978.090141032211,981.0154622888962,984.270519679273,981.8838088836036,984.7209959003734,984.6693213111475,982.8662285408485,979.3256956586547,983.9085788779641,983.5145843933824,983.503009954648,982.0203349279896,975.3248200112763,984.062909428763,986.4404942943119,980.1909677407748,983.0315562879609,983.956493677525,980.2033795504689,982.8088014832495,985.2152012299302,984.9100959201929,985.5247256392587,986.12977656235
94736842.10526316,983.9134361892526,983.5669968435309,976.6824157170312,983.2485473801555,985.6771461261936,983.4482062198118,985.9072189461491,976.6353331292435,977.9263087875955,984.5202122116023,986.0949907783327,984.0000484248937,982.7576641382603,981.8098609724864,978.4057087908161,982.2915258978873,986.2069237025821,984.2964272746749,984.3141866154618,983.8914107434307,982.1226514307085,982.4991989510542,985.2203517409242,982.3338575690077,981.5183537389433,984.2243172300159,975.3276162335748,984.2671324349836,987.0682885085447,981.5989761303006,983.6934375264308,983.073293879752,980.4752202390633,984.7112413979963,983.8821606665767,985.1712725917058,984.6438680514074,985.4933699306689
105263157.89473684,983.344007958996,985.8308844870147,984.1158041887996,984.8436943688881,986.3988310887873,983.3081545951954,986.6293754062494,977.1441968438368,979.0939722728201,984.3046865638273,986.8299515841741,983.8566635038054,981.2400495778161,982.595104628983,982.7206757554056,979.9599882093493,985.2386551170798,986.7643272493684,985.8592609490714,983.5988348177596,982.349310249503,984.5974956625387,983.8602874434225,982.7313267953508,979.7927946331098,985.4729905907798,980.3631312186698,984.8687317232676,988.0249127314692,984.3823178501341,985.1323804099144,983.7102650235564,982.0500553493024,984.3575748267926,984.5581043222275,984.9691811093332,986.1382867840849,985.4779383723426
115789473.68421052,983.2109250330528,986.5034117692065,981.762088404633,982.4841772073523,986.47610942231,983.8504314244288,986.6074090410137,980.3535406054552,982.8713289022115,986.6657000390446,985.1400304375593,982.2880639118501,982.0543124756655,982.7983347261711,984.0232930180108,982.0406522138297,985.119370585003,984.295156796223,985.6416398494857,984.8025703497871,983.4416050271975,984.244430009513,983.8054066411016,984.8472121067324,983.4136776755721,983.7467319532775,982.0394979327339,983.3609519183141,986.7551081885591,984.9134830084533,984.7338910015336,986.2234971414313,982.8831002715552,983.304563021891,986.1044529326405,984.6465485964455,985.6449738714504,985.548436587372
126315789.47368422,983.8302928760771,984.9327630197572,978.3885363839009,983.9636800526912,986.702884574346,981.5458054159486,986.4537538815073,981.2346502750534,983.7249669691862,986.3974508248538,982.8636864400636,983.1373331051454,976.0894872323298,984.3706104537457,981.0324593290397,981.9839966772665,986.0613418933098,983.9701074867037,984.139182556369,984.3151882190123,982.5781671829171,984.8140369729653,985.8512903851486,984.9417976183904,985.0379660056899,983.6133459056844,982.5673443709715,984.4846121564797,985.6750315332016,984.9827779290418,985.219544336076,986.2242273207846,984.8050488256682,984.5606433063994,984.1154541460761,983.7082995787222,985.0362084928972,985.0415898029825
136842105.2631579,984.7729309133546,982.8390635775397,979.4839622551715,984.004473851163,984.346192945734,980.5518798311331,982.299165112325,977.4298012712326,983.0201820092188,986.1302785787556,984.7234012230282,984.178887270164,982.0616773751634,986.0885955732615,982.7062604118582,984.7952146944577,984.4116552853518,986.0200908291373,985.1852063173402,983.3155251977516,983.637070205238,983.8466359804542,986.954752466355,985.769110206917,983.2540247787068,985.1802120558773,983.5634419180019,985.7453826655972,986.3884088111386,979.2586504128501,986.1688492796758,985.227248687328,984.8613578016738,984.9789109608143,981.9835028158001,984.1117838053161,986.0851684012902,983.3646311530446
