steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25
0.0,270.0869140625,225.244140625,701.5341796875,201.74609375,177.859375,144.04296875,11.859375,307.3564453125,272.2197265625,343.4375,275.234375,216.333984375,353.6806640625,11.7958984375,178.6328125,174.314453125,11.763671875,73.0263671875,247.23828125,11.7275390625,227.591796875,242.169921875,179.9921875,726.095703125,11.810546875,995.6083984375
2631578.947368421,290.4956681100946,235.8586281224301,709.8794411107114,211.84972823293586,178.7333052785773,142.7301892732319,11.859375,302.93409488075656,291.2093473735609,348.30579898231906,295.49920333059214,214.80819702148438,349.6034240722656,11.7958984375,201.59716957493833,197.40105558696547,11.763671875,80.03503899825247,264.9361202842311,11.7275390625,229.0065339740954,242.29364174290708,193.34175511410362,733.7429070723684,16.27707712273849,974.53197760331
5263157.894736842,1000.0,626.9643522563733,1000.0,587.513517680921,242.86730314555925,144.392488178454,14.393297697368423,196.76148424650498,911.9323987458881,544.5298494037829,994.2151746247944,153.38173314144737,216.63586747018917,11.7958984375,999.9492926346628,1000.0,11.763671875,361.50945081208886,839.9068089535361,11.7275390625,307.88932077508224,288.7259425113076,666.1156519839639,955.8281956722861,177.04226845189146,257.3934229800576
7894736.842105264,999.513093647204,1000.0,1000.0,999.7047665244654,828.3942003752056,947.7257818924753,135.71829063014007,999.8532779091283,308.99015727796075,1000.0,905.2309490003084,11.8583984375,418.08497860557173,11.794669703433389,1000.0,1000.0,11.763671875,1000.0,229.84550717002492,26.030413175884092,821.0443356162624,996.8768856650904,828.2385639391448,209.18366602847448,330.9454763312091,560.5810129266038
10526315.789473685,994.8445209703947,999.6604325143915,1000.0,999.6846795333059,914.4748663651314,980.8935675370066,983.6814735814145,998.8552567331415,922.1530440481084,908.2238319798519,914.5897666529604,11.8583984375,964.0815365439967,99.06877055921062,1000.0,1000.0,12.704718338815791,909.9597874691611,903.6753443667762,273.7002081620067,955.0482820209704,949.9818629214639,912.5052939967104,134.02054636101974,1000.0,999.7753585012335
13157894.736842105,886.7329727975946,997.3883265445107,878.0185177451687,997.5748146458676,342.11458065635276,783.049032110917,918.425736276727,950.8216970343339,422.0851344058388,293.5966122275904,336.3898941843133,11.8583984375,723.7447590075041,741.185252942537,1000.0,1000.0,42.12565532483552,290.9231390702097,180.53056415758635,876.7658916272616,1000.0,869.6355767501028,337.75949739155016,312.5436722604852,1000.0,992.5273855108964
15789473.684210528,167.31080707750814,1000.0,165.37287019428464,900.8658993369652,842.750664961965,583.2920082493835,978.406882838199,759.3801173159952,958.3873644377054,996.8051532946134,960.0859535618832,11.8583984375,1000.0,373.2456151058798,1000.0,1000.0,315.2104941920235,901.4091925370067,265.6648431075248,261.77177670127514,1000.0,852.6161338404601,999.5034211811267,952.0750989412006,1000.0,816.2325696443252
18421052.63157895,216.99619493986464,1000.0,479.9411107113489,524.7394585860405,93.68395032380762,999.9905748869244,896.4800559596011,998.6742007606908,800.5041295101769,1000.0,842.1786659642266,11.8583984375,1000.0,184.1281561600536,992.2115735505756,1000.0,1000.0,854.476573743318,404.44729132401307,977.8376320286801,834.6566836708467,127.22728367855676,898.8502293636923,807.8857614617596,915.3699581748559,226.5317174008019
21052631.57894737,906.6593981291119,994.4321417557566,1000.0,1000.0,195.26192434210526,815.5944310238485,1000.0,1000.0,1000.0,813.8313887746708,374.01958264802647,11.827379728618421,1000.0,606.9734015213817,969.1080900493421,1000.0,999.4903757195724,422.7978387129936,349.93180766858575,1000.0,164.74912623355263,294.2447831003291,598.800909745066,357.22644685444095,664.3245399876646,580.6446725945725
23684210.52631579,1000.0,934.7226128829153,751.3115973221627,1000.0,367.15161775287834,361.6319194592928,1000.0,998.828279194079,1000.0,377.1564845034951,848.8197551526521,11.7197265625,1000.0,972.0821099532278,1000.0,1000.0,818.8251262464021,989.2537376002261,1000.0,763.0700908460115,399.68314722964647,844.2522149336966,1000.0,1000.0,996.1520963969983,1000.0
26315789.47368421,870.009765625,866.454011615954,11.748046875,1000.0,1000.0,779.4065134148849,733.3188348067436,750.8030074270149,1000.0,765.7710667660363,567.2094951428865,11.7197265625,1000.0,1000.0,1000.0,1000.0,485.7546483090049,969.2361899928043,1000.0,321.7300639905427,997.2268837376645,797.4947959498356,761.9357781661184,1000.0,988.9844328227796,1000.0
28947368.42105263,678.0830078124999,1000.0,11.748046875,1000.0,1000.0,599.9370936343544,108.95886872944075,391.17789660002035,1000.0,419.93893593236004,999.8257928145559,11.7197265625,1000.0,1000.0,1000.0,1000.0,998.8389555278577,1000.0,1000.0,942.5726013183594,993.1324591385691,498.50181820518077,148.42073460629112,725.1749492444492,1000.0,1000.0
31578947.368421055,1000.0,997.5517064144736,11.770655581825658,710.0957609477787,1000.0,760.8436921772197,437.985826994244,753.4183028371702,1000.0,901.275641190378,999.6236379523026,66.01830412212189,839.7838905736014,727.8209870990945,1000.0,1000.0,668.4207056949002,1000.0,1000.0,875.9322509765627,1000.0,1000.0,202.3458637438324,119.48722116570728,1000.0,1000.0
34210526.315789476,990.0896590383429,995.3554430509869,11.8154296875,450.0346053274062,1000.0,262.8189424213609,878.9841790450248,337.8461367958472,722.1842378315166,812.7140840229238,926.4212469803658,473.9541979338001,416.5087071468953,466.37454384251714,678.6747918379926,1000.0,11.763671875,1000.0,798.3588690506779,1000.0,1000.0,1000.0,560.6822236713616,455.97456600791605,735.4468929893085,1000.0
36842105.2631579,983.4080264442846,994.9000982987253,46.85532098067441,818.4188810649667,672.1907348632806,486.628803453948,1000.0,662.3483790347454,292.14681524979454,791.5531294973268,876.8138524105676,1000.0,531.9719174033723,971.0598754882812,438.4270790501651,1000.0,11.763671875,996.6551128186677,662.4107762386928,735.5845658151721,1000.0,692.1419356496704,675.2133660567428,998.2178441097861,557.0830335115138,661.8112632349911
39473684.21052632,999.9877126593339,670.6529348273021,477.8357463635902,730.6801051089641,199.70404213353214,936.6042849892063,952.9771664268092,981.8615995708265,639.9818661338409,690.8330029939353,1000.0,616.2229357267676,787.684173583984,639.6610380473885,964.985306589227,643.096168919613,11.763671875,995.0388858192846,999.7534340306332,599.4072538677019,997.9684930098684,444.5721949527142,234.21376278525915,997.3567183645148,836.4288731625203,498.4007391678665
42105263.15789474,999.9838096217105,570.9585474917767,999.4689555921053,1000.0,379.607884457237,916.4668225740132,938.0405016447369,1000.0,921.3841745476973,621.3677271792759,1000.0,494.31728001644774,720.2426757812502,525.2004266036188,1000.0,162.59189967105266,92.26508532072377,666.2815069901312,999.6751130756579,988.913908305921,664.5815686677628,869.7969777960527,625.7027395148029,1000.0,784.4709858141449,711.9253186677629
44736842.10526316,1000.0,994.0831041837994,602.5340190686675,767.60081562243,321.89036640368,1000.0,634.2868282920433,1000.0,907.7998223555716,555.9422976845192,1000.0,1000.0,1000.0,1000.0,1000.0,569.4264462119656,172.41958618164062,608.6169144479854,1000.0,1000.0,609.7625828793177,1000.0,607.1522297106288,661.1823698344981,1000.0,662.1477082905019
47368421.05263158,1000.0,688.4898649516858,526.5112304687502,757.1468730725741,544.5004400956004,1000.0,172.43962338096216,925.4615510639392,960.6696970086349,769.734744423314,999.2770128752056,502.6787334241364,1000.0,830.3889899002877,1000.0,553.9302143297696,577.1521413702715,1000.0,1000.0,1000.0,502.6492438065377,1000.0,589.480876721834,645.9414383737666,1000.0,999.6338372481497
50000000.0,1000.0,381.0517578125,884.47265625,1000.0,1000.0,1000.0,115.029296875,851.8974609375,921.853515625,542.4794921875,998.5634765625,11.8583984375,1000.0,662.9951171875,1000.0,113.69140625,997.6064453125,1000.0,1000.0,1000.0,11.7998046875,1000.0,1000.0,1000.0,1000.0,999.2724609375
