steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22
0.0,944.935302734375,926.4454956054688,951.2230224609375,959.5167236328125,527.3442993164062,941.4991455078125,951.6763305664062,946.4122924804688,966.44580078125,742.076904296875,914.2327880859375,959.072265625,896.648193359375,959.5140380859375,948.1036987304688,926.082275390625,829.873046875,953.164306640625,928.7644653320312,954.6702880859375,655.797119140625,606.340576171875,950.4864501953125
2631578.947368421,945.6195676703202,927.6175969776355,951.795250742059,959.9119578913638,539.7105230030261,942.3278515464381,952.3009711817691,946.9390320024992,966.6765655718351,748.3221380334152,915.7920226046914,959.3775224183735,898.7174071261758,959.766078748201,948.7090977116635,927.3541414361251,833.6991950587222,953.6197010843377,929.9528064727783,955.1554895702161,664.5683212280273,616.3821459318463,951.0498128188284
5263157.894736842,969.5382397300318,968.4928239521228,971.8375075490851,973.7831471091822,969.7506013167532,971.3718894155402,974.1236971804971,965.7094479611045,974.808860578035,965.6617923535799,970.194836867483,970.1461267973248,970.8694259242008,968.7182834022924,969.8969333046361,971.7066925450375,966.8985613772744,969.6849475659823,971.399406633879,972.1979625099584,969.7066477725381,965.7694798519736,970.8429938868472
7894736.842105264,971.9350431341874,970.8110538281893,974.476110859921,976.0798628957648,972.1431526384855,975.5096476705451,976.0521585564865,973.6372898503354,976.7482175325092,969.7014027645713,973.6519464191638,972.8603104039242,974.6373443603516,972.1344303331877,972.4286270141602,974.2086167586477,970.2046298980713,973.7166709899902,973.807518507305,975.2504117865311,973.4677474373266,970.9569638904773,974.4158673537405
10526315.789473685,974.2825710898951,972.7839299252158,976.0347623323139,977.0956388774671,974.1487342432926,977.6398712961297,977.5339419716283,975.8653560437655,977.7335835507041,972.5763160304019,975.3706118935033,973.9300521047492,976.034344321803,974.5518618131939,974.2799915514494,976.4753984150134,972.5461457905017,974.9070474725021,975.5785614816766,976.619534141139,976.0147492258172,973.4481161017167,975.2894098382247
13157894.736842105,976.3511905670166,974.3706683108682,977.7614865554007,977.9777675427889,975.9868300588507,979.0283483204089,979.2496221441971,977.3508654142681,978.4720231106406,976.2085016150223,977.109855852629,976.4084328099301,977.4590589623702,975.8737412502891,976.5005679883456,977.5670031497353,974.7905550504986,976.7667063662881,977.66852820547,978.4951188940751,977.7668537340666,975.7045511948435,977.2161898362009
15789473.684210528,978.7226279409308,976.6277425665604,978.9608730516935,979.4272364566201,977.7432879397744,980.6336987144068,980.1233303672389,978.0406676844547,980.4705945065147,978.3879314221834,978.6563542014674,978.6202806171618,979.1084078738564,976.6735755518863,977.6458720157021,979.0664795323422,977.0219692430998,977.3935956453022,979.4297676086426,979.3782593576532,978.8397851241263,977.7018944589715,978.831388774671
18421052.63157895,979.355319374486,977.5419652838456,980.1831781487716,980.1506210126375,979.8537844607705,980.9668862192254,980.6628534417404,979.2418593356484,981.1220598722759,979.1399969803659,979.4597234224018,979.7805911616275,979.7504234313965,978.3085758811549,978.1300731458163,980.0995548649838,978.4463140588058,979.1339900368139,979.7566108703613,980.4070299048173,979.7930445420114,979.2957357105456,979.6857358029014
21052631.57894737,979.4187108090049,978.3280286287006,981.0475512052838,981.0342479505038,980.1938845985815,981.5009484542044,980.9102967914782,979.9338435122842,981.6145340768915,979.8090579384252,980.5027024118524,980.0978883442126,980.594567549856,979.2430251272101,978.7608449835526,980.9094655890214,978.3978480288857,979.9147170217414,980.7708531429893,980.8294741981908,980.3802658884149,979.9692109760485,981.0068841231497
23684210.52631579,979.8668345401162,979.3362859424792,981.2344514947189,981.2741636978952,981.2967241186844,982.2789863787199,981.3186570217734,980.5539756574129,981.5671967958149,980.31465359738,981.1261741236636,981.3275937532123,981.4445689351935,979.7401573783472,979.740951939633,981.4719327625476,979.8720150997764,980.4880466461182,981.374048333419,981.3999499270791,981.097029535394,980.9535399989078,981.4975515666761
26315789.47368421,980.3776375619989,979.9091525830721,981.9826290732935,981.6375778599789,981.6676366705643,982.384262486508,981.9988672356857,980.9085492585834,981.7376239174291,981.1483682331286,981.1143806859067,981.9029735765959,982.3502709238153,980.1425080550345,980.4754729019968,981.951284107409,980.3305587768555,980.855623345626,981.8249425386127,981.7774674265008,981.6698811179713,981.1656060469778,981.8464327360455
28947368.42105263,980.4623454244513,980.314642253675,982.0093682941638,981.9911011143735,981.6864612980893,982.6092445975855,982.1995761269018,981.4817194687693,982.1065420853464,981.7942458704898,981.6217076150995,982.3023575230649,982.6868996871145,980.1961620732358,980.9506484583804,982.1856527830425,981.0495541221217,980.6624904431795,982.1740707598234,982.1006845173083,982.1649224130731,981.683332543624,982.3667033346076
31578947.368421055,981.2369272332443,980.5975084806744,981.9470182719983,982.5375000803094,982.3744394402755,982.9118447554739,982.2970123291016,981.907884296618,982.3049986989874,981.8392767655222,981.9898858321341,982.5941929064298,982.851164165296,981.0052152934827,981.5792103817588,982.2264548853824,981.5317290456671,981.9613165604441,982.3462456151059,982.1268033479389,982.3852494892321,982.0521641781455,982.7340019627621
34210526.315789476,981.5823715611508,981.5398247367457,982.5328941345215,982.6449824885318,982.5162659695274,982.8461458306564,982.2554997895893,981.9763981668573,982.5297199048495,982.2776145935059,981.6670360565186,982.7814694454795,983.2095814755088,981.0153366891961,982.0005843513891,982.4482679869,982.0330044595819,982.2103134958368,982.6469824941535,982.3954399510434,982.5670476210745,982.3900692588404,982.9279343454461
36842105.2631579,981.6162267986097,981.475461457905,982.5766748127185,982.8068239312423,982.741198690314,983.0486016524466,982.6012015091745,982.0335205479672,982.5034655520791,982.4532757809287,981.6675708168432,982.9008881418329,983.1710654810855,981.4267212717157,982.2769239325272,982.6254862735146,982.4635955409,982.491041484632,982.7777465017218,982.3756986919202,982.6256368536698,982.3912397685804,983.1461012990851
39473684.21052632,981.4535264466938,981.551394010845,982.4049632423803,982.8521862030029,983.0876776042737,983.0729103088379,982.737427862067,982.2860203793174,982.7297187604403,982.5973850049471,982.1252852992008,983.147426002904,983.3423729946738,981.6651820132607,982.4689000782214,982.7679190384714,982.5651307356985,982.7696875522012,983.0292474847091,982.5322157207288,982.8072124280428,982.6957238849841,983.1468205702932
42105263.15789474,981.6292724609375,982.0722351074219,982.6075680381373,982.9266550164474,983.4611045435855,983.2614938836349,982.7003109580592,982.4954030890214,982.8235939427426,982.6567527369449,982.2201891447369,983.0756257709704,983.4794488204153,982.0698595548931,982.5705325478002,982.7469771535773,982.7156195389597,982.8453770687705,983.0949835526316,982.4996032714844,982.9833165218955,982.6967869808799,983.1475235788446
44736842.10526316,981.9379400956003,982.0405335677298,982.4447717164692,983.1602072464792,983.447078704834,983.489045996415,983.0532342007285,982.6864447342722,982.8871935794228,982.8520004874781,982.4314474808542,982.9363527799908,983.4028685720343,982.2090986151444,982.7774963378906,982.6839718065763,982.8210673081247,983.0305652618408,983.4011397110788,982.2355328610068,983.1733595195569,982.6539128956042,983.2184859827945
47368421.05263158,982.1104543585526,981.9283059772692,982.6304485923365,983.2398237931101,983.4165101302298,983.41713453594,983.0834364640085,982.6575622558594,982.9653205871582,983.0927294680947,982.5721680490594,982.9845478660181,983.3242229662443,982.2592628880551,983.0079723157381,983.0460867630808,982.8323838083368,983.0879265634637,983.5419865658408,982.5144984596654,983.2813357303017,982.5362643191689,983.3914622256631
50000000.0,982.1259765625,981.9086303710938,983.0476684570312,983.228515625,983.3298950195312,983.1943969726562,983.0974731445312,982.560791015625,983.0972290039062,983.2197265625,982.640380859375,983.0797729492188,983.4677124023438,982.22021484375,982.9952392578125,983.12060546875,982.8395385742188,983.033447265625,983.4674072265625,982.8743286132812,983.2896728515625,982.44091796875,983.4349365234375
