steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31,trial_32,trial_33,trial_34,trial_35,trial_36,trial_37,trial_38,trial_39
0.0,261.3701171875,515.3341064453125,500.95294189453125,782.9932861328125,284.8896484375,790.9723510742188,448.9014892578125,708.9481201171875,306.0027160644531,296.6955871582031,589.1323852539062,519.2149658203125,701.3036499023438,380.85076904296875,453.09613037109375,432.4739990234375,442.7721252441406,598.3119506835938,782.3162841796875,546.9461059570312,843.16064453125,215.32730102539062,709.97265625,801.7084350585938,455.03765869140625,679.9671630859375,546.8333740234375,606.5853271484375,168.15823364257812,546.345947265625,506.02557373046875,185.6116943359375,784.7692260742188,631.9388427734375,326.181640625,376.9456787109375,350.226806640625,80.07122802734375,246.46011352539062,438.5667419433594
10526315.789473685,284.2587024770946,534.8735450572254,521.1366174232596,787.1028233429731,317.3164694880515,790.8612122547263,471.7474297451841,716.0474448880991,299.72514299656217,323.0772825373012,603.5530944000981,538.216391903872,710.4819278163923,391.0358546752679,473.48150522408395,445.1963015707246,466.69942225371375,601.9891321716876,765.2258138370976,564.8467998549219,842.2364823151163,241.7129764014499,716.4867276590617,800.4620038363412,477.8843224999647,689.7122548628712,564.495392694863,619.9941653280707,172.46983183759403,558.103751192793,526.0732994847351,223.551164186232,780.0694795407748,643.5906957206304,338.594462069448,380.97326951409974,377.72686905279716,121.60359341269387,277.90085918099265,419.2078243131824
21052631.57894737,688.1668673350871,860.2708793303973,857.7809091717253,852.6751206165536,856.7784724648309,794.1210116706067,782.4754235600831,838.9775247481391,271.26044309849226,773.4442261896636,842.9194316335662,816.601472916035,864.5627062376847,518.3577769284764,762.0004503822722,680.1042800629898,815.0554502667483,686.530314506256,524.3288636263718,852.2832080631044,831.3858515641696,700.9267097998854,828.7286413967445,790.0051560352383,792.6835309377667,769.8111886311106,858.1362725060402,844.6648172526478,314.1583211184209,701.0974820941439,782.0187939220518,783.7169037477792,659.3734282525952,815.4670902262765,581.3714859221451,494.8503314517542,839.1262967467638,819.2390092541967,799.0415205189396,180.77909761646617
31578947.368421055,870.4866949777194,863.4313906812602,864.416948150895,836.4147026155795,859.6626843149643,838.98060937684,349.0034220323505,870.4355666536703,862.2472553502489,862.8102174721596,843.1016161355946,579.8374217170758,873.0577398167093,303.1563138833008,453.5766209033719,862.4063480598775,503.46976386460585,867.970547667996,856.486951483914,787.3606915997336,868.270376442542,860.3433648362715,859.3228811273284,871.7597115294095,373.27880252505616,253.69746971014814,858.1535935515842,857.708719245945,861.4030726053378,327.1797774567829,291.92684230761535,338.39372003730665,381.99924862401315,683.6751770231863,864.3017306610158,861.3611456035247,871.08931666431,846.156795455148,799.5424843374382,839.4051121503032
42105263.15789474,875.2241575255618,699.793502117458,810.0416540670262,865.6013792439511,874.6384609465454,750.2295999398191,879.1316806147303,845.6648157356188,852.0053501835821,861.5942424109768,863.2300580637607,863.6940114762314,862.3470906504633,860.8292075015831,875.633984292313,809.2974279118376,878.3963863988332,862.7856216608983,815.7260206551433,865.8083704257606,875.6697703636254,864.9864590035911,863.4763208366827,879.0547429451982,827.9006315961769,701.6346351327658,865.1348152087996,861.3148483483745,863.724493335819,592.794668686357,860.4663029575612,840.2006573782733,645.6451920782761,878.4937385687207,861.7704551576577,862.0126073796333,867.6100350575434,757.2172501463639,873.5394344197746,862.9131916876975
52631578.94736842,868.4361350007995,340.80127187498385,695.2663923878418,872.3753848845279,878.9865660776392,483.9523545795035,877.4741749180652,640.9449021821413,865.0000601429028,865.1321162117486,859.8543661651189,839.6370286480872,865.8498786914051,859.6213672892538,864.5663500335738,693.8717833825095,877.9255633030572,865.9391851890781,820.4735901162564,644.1662260016163,876.6270137351636,869.0199638312873,874.7240415897396,878.0367611403941,865.8590209863853,311.21206264994476,865.3913037549096,854.9017023031402,855.2641738494677,877.4039417071025,864.8609320276992,770.6542963080129,700.4103821278279,878.433967561768,854.2032367171013,864.2682030428809,845.5141746330789,879.1021593293985,872.1209261995273,862.9035761070713
63157894.73684211,871.4679554340912,860.9943189485582,863.1320613038176,826.2683229677564,877.7279305983118,801.1872972629737,871.7019233287537,344.88023091687603,865.9622701218253,866.4131830653325,843.3385305480614,809.793032567587,782.386722492379,856.2898391614,866.6544621129445,869.3268199260875,634.590814070688,866.2066956200428,871.1685234542699,349.14637048117385,877.4588286764404,878.9114672969253,880.3516647231215,874.5919670477468,865.80320655408,773.6066778865218,818.7065092741286,809.3578938546273,838.4337207848346,879.0972018413596,865.3703860430836,880.4895819957236,875.3810888089631,876.6026106887907,801.3807840476076,866.6739814750375,872.9490338606847,690.0248278551151,701.3229309942911,865.5931766597848
73684210.5263158,869.6308243244969,859.3673181627926,861.195495944109,793.4139734650253,879.9413120809354,850.3463058649999,874.3240853541446,874.4694834254125,865.9482625130141,864.6329616499739,830.7601844874775,850.7666115638622,692.5656905537497,878.0314852078535,580.5238522142995,857.3775504191826,265.6145909133051,866.6377103135526,866.2487513114211,870.4504017729178,839.8173199759956,877.0655259658425,881.0104356631017,880.2603467298346,866.4439072622157,871.4506772406544,728.9325922706121,807.1000913738214,665.2716714394718,874.4193525256543,865.008639784566,879.4624185238519,812.385355647416,877.8836345487684,786.0520443609217,867.0036094294361,863.7004490711022,543.4363543757773,512.4305455188509,866.325874355196
84210526.31578948,866.7608170522548,863.39925307118,865.8376994000907,873.8835525235311,879.6261815470011,870.5438054631621,874.5744300192413,876.8298048193765,867.6244346903962,684.9639275490081,865.0477268411843,843.5905504636157,827.0390384481224,876.9384401670123,476.366636608116,865.7851300635826,630.8826679324841,859.4723535376572,879.9823117982647,866.5116766839807,829.759377450494,878.7920419436742,818.1323309776856,879.2398758317626,866.7156282078856,869.9178475607135,784.0463912784228,865.2780983798061,296.88078951373325,871.6623042944066,867.5722911707912,856.4614761410658,707.3229073619578,880.6869097178662,850.1945823817372,866.3269687742408,868.3847463943291,879.7544369103175,717.5234211514861,866.3476632057465
94736842.10526316,872.7660308983848,864.6641684098587,866.1754512897489,872.7303562306302,845.3796665716369,866.4567915590846,879.6633165440732,862.642100595041,877.3728705081583,671.5156597410873,864.9809373425645,877.8272395343662,860.1191843726629,865.0652604923685,877.6812574673557,871.5697542065728,865.2843209381249,865.4629480752918,881.0924710025417,849.4335639706279,880.3740614996062,880.1334704865709,801.7136125193078,880.1117205794828,866.797537808438,868.4798935339721,856.3183404953526,871.223146822479,539.7418300484687,879.6721129741035,874.8118036214335,856.0923378919961,783.6934384380021,549.3584190288409,868.8563786149025,866.2455030032472,784.3570734442436,880.5659201224424,759.2754029306349,865.4922221615044
