steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31,trial_32,trial_33,trial_34,trial_35,trial_36,trial_37,trial_38
0.0,610.5059204101562,842.0384521484375,710.9823608398438,568.1563110351562,588.9359130859375,801.10302734375,725.87939453125,499.82281494140625,603.7695922851562,914.7947998046875,812.9552001953125,344.99334716796875,833.7294921875,638.5443115234375,933.0227661132812,936.32958984375,792.6514282226562,952.0191040039062,908.98583984375,785.3927612304688,914.7662353515625,835.645263671875,759.876220703125,848.321044921875,854.329345703125,548.4183349609375,789.2893676757812,817.473388671875,574.6305541992188,684.1602172851562,694.9581298828125,721.82861328125,594.2279663085938,933.4105224609375,941.232177734375,924.6405029296875,908.3387451171875,906.9540405273438,901.5262451171875
10526315.789473685,627.9970691598684,844.762943494353,721.1544163081785,589.9413573760075,608.3704735866214,808.9988014196094,739.1044675990155,523.0986573961964,606.1920157051813,915.3258006166553,808.2240497554108,367.09316281631715,840.0103703833023,652.5234175111449,934.0329931680516,935.078064225387,800.5861232079297,948.7599537096855,911.5688094194576,794.2050593891632,917.1810275600227,841.2294693561142,768.9339323961834,827.8888999132898,859.7702438098241,571.436467421187,793.3661823891867,825.2455440421184,593.2410269117091,699.3681629085474,693.6557537467526,734.3332446034265,614.5341842133253,934.7486874218463,942.1830163127497,909.6138617417819,901.3829217323636,909.7335804225335,903.6803094551503
21052631.57894737,924.2982457047355,898.0340241173958,899.1097360505952,945.0691206963769,934.9792176085496,894.9052004665549,959.0677878123571,913.7233071066336,680.5485552631917,925.7806600163848,756.3402935065061,761.3040970134604,946.3957490765818,894.4628697749321,952.0111723015514,906.1454548512139,934.6359505534502,902.2712281080494,951.0137089447962,942.9390041313013,956.8846197709482,937.4455941406974,924.9811914673803,542.2985604225433,951.6513655984832,954.70358331712,866.0756473270479,955.1197581347336,908.7612498377829,954.3957401239971,704.7313757817831,944.2801196964824,944.9248292512181,957.8863818103918,934.9171464654547,687.4775319244723,805.9909004630144,954.5356394656808,941.7187933997765
31578947.368421055,965.2340949536031,960.7508927996469,966.4639832636656,901.0668854528517,946.4888005405252,598.6783972488216,958.9661929716364,944.8815280169331,950.7900764060482,943.7565017137831,965.3445798201574,968.5840569952518,961.6976397460187,968.0302688088113,960.6880507171979,862.9812233580117,951.9477513009822,964.2214397487548,930.7175915300681,959.7344455155969,955.9993789995146,959.5738693341984,967.913056519223,967.1868010937673,964.0694408776687,958.6105221633766,915.4142160650106,935.2924420727917,957.5749380078342,969.9807663829042,960.8146130680377,959.9857236860202,900.9550020443766,963.0714472429904,783.6777277440247,916.1163347401448,954.7247566661677,940.5967630050519,960.0428294329762
42105263.15789474,961.7915978365658,956.4690052644038,957.4608597537488,964.4146202858796,896.4125059635026,905.0822280992102,959.1442873722299,967.2541171196756,967.2266643806838,970.1917473596219,961.775656442563,966.6799925654879,962.1544536883811,969.2238653716619,960.6641579209272,913.1794918514685,961.1860216297931,971.4369595414054,966.5362964726551,962.2420775401625,968.4550747138311,948.2360899481416,972.7360738578595,967.815861493927,968.4718290960359,965.9078225798884,970.4050892244746,851.1926647659154,969.8859392592782,969.3978167663321,963.2565699706778,965.2967907028516,969.6860257951837,950.4925031794075,936.3332912149192,969.5423988126981,918.2437010920939,937.6259513046602,967.0450461822203
52631578.94736842,964.3597551864931,941.1037703917627,950.1427257455617,967.6543780099652,965.2763388637361,967.64846532926,960.3713110340269,959.862482380999,961.620809111899,972.1828795354452,964.6279406805118,963.760992118031,960.657837764213,970.3211427084957,968.8069265055524,810.7883968600936,971.0907090443324,971.767372438617,967.9037912709231,963.2254375817042,966.9060248783751,972.4793280772556,973.6901706300283,967.5197729418812,959.74760771194,970.7106421941535,972.8752127108152,969.1711600155381,943.5571836314043,972.7299634829122,882.01267356473,971.3119883078288,971.7817771315905,944.1950925965058,971.2077913791189,968.8007226421232,965.8558791783378,972.9651792013084,971.8139554361227
63157894.73684211,972.233651493725,967.9880803681476,971.4014933723493,974.5116599392032,971.0183663807417,968.0077134978408,973.4540627435304,949.4733391405803,973.9940954476513,972.3107794414267,973.6164161782516,960.7908374031495,973.2251146087356,971.8405084798211,970.9336423926736,971.5270085509794,970.3397535785743,975.0456245024778,970.6344751017245,957.8030960985828,973.1206024383243,970.5714805704074,976.0032903695701,970.4634924291573,972.743712898767,972.5160886944166,973.9793661921968,969.8874289649345,910.0079839391392,973.2924669373399,766.006909751496,970.4936102367834,974.7722947610713,968.5752101710628,972.446438707143,969.1614589374151,973.9187981976696,973.7938307896876,971.6905799833361
73684210.5263158,972.9698701986315,975.6100095256214,974.2477034261022,975.2392853513319,970.5329208250191,967.7559191790974,974.160107784324,974.9921457769137,976.168611126098,972.5733404892634,973.8340587480577,966.369500786809,975.2134060006063,974.230080395194,974.7577762217403,972.5648081680745,971.8661721482501,976.7934657457463,975.1713969159324,975.5567399192385,974.6978467324764,970.9038470156305,975.8706652353675,970.2989083923131,973.994644755802,973.6912468013011,974.4899600595649,973.6562419687282,973.3553311649782,973.512942425432,972.1059239316845,973.0312743622841,975.6195074567504,972.7695827206746,972.9108288273256,973.2601989263312,975.0528450950031,972.5583044138641,975.4740419235916
84210526.31578948,973.8161041743207,974.8119551930731,974.619455679632,974.555347235249,968.5666309010619,968.9975674819418,973.648830722904,975.8068229537921,976.6255907946346,972.0187511866773,973.2559662974772,963.2109845285601,975.685066249562,975.6414729802563,975.1773763706809,972.2033785637726,974.2253762955811,977.0903597432821,973.9128577821473,975.6881487970537,974.1163614899168,973.6988637599259,976.135443077193,975.9700387468629,974.3586901891925,973.6342019546065,970.7590804734058,974.9807234668996,973.7370101513955,975.7354073696189,973.5110747886827,973.6147898359642,977.162671234469,973.309608868945,973.8976165105762,973.3694909642608,975.9365808851501,972.8075805938805,974.4907847481091
94736842.10526316,973.0364170350197,975.2195329927011,974.6004693948992,974.1513520888675,968.6860459055597,968.6827180425216,974.258582645341,975.3981618519636,976.0951400851609,971.2201419021944,972.4887164279695,963.2778136162216,975.0259706264058,976.3388534393007,975.0103726791543,971.4687934176083,973.7700001118586,977.1521492029161,973.6702927088473,975.3508284141483,973.8011473058993,973.9307897287392,976.1473864429215,976.362370295868,974.5883716571034,974.3770691856453,970.0902295962925,974.3586315152718,974.6332659514987,975.3597272906937,972.413149753766,974.8044331073761,976.9512059358349,973.3879101854282,973.74883580472,972.5511172484823,976.0214726617792,973.8647965995228,974.3530780408852
