steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13
0.0,379.572265625,731.5400390625,508.7900390625,361.0283203125,517.2080078125,523.814453125,487.275390625,518.2431640625,577.2919921875,536.103515625,566.9287109375,362.6533203125,549.322265625,533.2490234375
10526315.789473685,381.23414623440135,739.725681508347,513.3597123735169,364.5243496432529,520.7921369716402,527.1819597017071,493.27221470724515,522.8094041935294,580.4248242999048,540.305229564783,569.9133625717375,365.2031763134901,551.3423044305099,534.6111099105792
21052631.57894737,415.357608795166,876.0118028529794,588.121899216459,426.8917864326625,582.6092437310892,583.2416652140525,597.1534419337138,602.9928358717308,633.8341968356738,613.1663821529484,621.3115893282059,414.0004757381873,586.0324827442539,559.5109346236549
31578947.368421055,466.0367080920951,877.5479634356301,581.755064153275,461.3628583205374,599.5884040055843,586.3014181221621,631.376962315673,638.0610007737812,643.8433292130023,637.555824216383,637.3038763854643,463.9688740938984,595.2550121291523,579.4067237700782
42105263.15789474,465.6315039426006,883.9993373627808,598.7320814370448,466.0993142907309,601.2641832557741,601.1349404987536,645.3125399222334,649.1540864643298,643.5047355081236,649.1002798212533,650.6649098066082,463.00697039236985,600.389284635845,591.8824776520029
52631578.94736842,466.96481829138673,912.1000173468339,600.1823904111445,458.2424773377395,611.8617417132095,605.190479838617,660.7838517793988,654.0038189742704,646.6787745906375,661.2251935441078,655.378311891635,461.3739494260328,605.782433385664,598.5710917153186
63157894.73684211,477.18905787058486,935.1821591807865,602.7406882130208,463.74551302310175,615.8272158657085,603.6680419108213,664.927640751128,657.7210514142573,653.3333987925522,640.8854470556793,649.9725262702667,468.6907651748023,606.699918857902,602.6962390381874
73684210.5263158,475.2232659992419,919.0717160681938,596.7915525806247,467.8617505129024,616.17587578792,603.8915229543754,666.3531951534451,659.5632765735616,655.7702963609775,639.3803733524524,649.452209377553,469.2613506977578,611.3423682606451,590.020484221609
84210526.31578948,478.1959053948315,950.3625166832245,596.7364173952562,471.4707789962642,622.394122897753,605.9861605953312,676.8565413456545,669.1997474818348,658.0167016745274,656.2478196416205,648.5474287968264,474.86901196086177,613.7267609487941,597.8456327063225
94736842.10526316,479.4581678052358,948.7268836135019,611.3207632154639,466.4936894498704,626.9314842752473,607.6329491105437,696.4867505630958,678.0100501686583,662.2609856307012,663.8808652819689,651.6408066260848,479.9069488425004,615.638641301945,603.984099393406
105263157.89473684,480.9375288427041,955.7858654191289,618.1650060828042,470.97256323373216,626.632037725475,607.1813979796095,701.8833391184291,675.8098812261777,663.6867075204188,658.4044329994604,657.7092453172003,484.85688068992215,623.7577728894939,596.6366339601639
115789473.68421052,484.99123304372347,951.8840167000683,618.2632185098537,481.75080413237174,623.0959487899189,608.5773120018914,710.0556625646237,676.4907366258616,666.1075045725645,657.1648804725372,657.5327924744244,479.33995928988895,623.7353140099227,593.7234925880326
126315789.47368422,481.39747830969475,952.9099092140092,615.9721654749313,487.0605748353573,623.9099533947551,611.3350162770279,715.92114515648,683.3275385087877,673.1179170370763,659.8087271058989,655.3516808612856,485.3730986428723,633.6267534609977,606.7889102185533
136842105.2631579,488.70992890883684,942.7392524999265,618.1634801642716,485.30122624077626,625.0193874274595,607.3936496586681,707.2317585086558,700.813628896782,670.7008787086465,662.9388296016366,657.5441559741372,488.0458369400363,633.5637864802353,612.2848384888879
147368421.0526316,490.11415678642464,916.5592898424312,631.7882351439415,481.21471270299685,635.524079267338,611.0178807541274,716.5048026246047,700.8944415781967,675.6238920999035,659.9222500978084,655.1023566914397,474.51389725914953,620.5386557750754,597.3600820979914
157894736.84210527,481.74804669271873,940.224941919385,621.977795851858,473.68419467577314,630.5281605575224,612.4903324872173,703.9024227279705,706.514575316305,682.4214109093199,667.9042404523517,657.9294344355195,482.4961279211282,633.6659841933739,600.0801488263455
168421052.63157895,487.69667539305965,957.8875416679066,627.2426104347461,488.78302885356703,638.8227148505129,618.2264635503457,716.8168071630589,712.1909745234861,681.6271302706647,668.5001198301024,669.1273505298054,491.0883031617902,620.3468283444561,611.1547656283815
178947368.42105263,482.0131691248463,969.3477551970125,623.7343388079277,489.80996774636475,633.768854917912,617.6508317323933,717.8457300418631,709.9287549650239,687.6491288953871,681.4268722270004,661.5634318534027,490.0607592273617,620.7748378822348,602.6264919508197
189473684.21052632,482.5184909101999,964.0636086450719,636.6326220927145,490.6665283425033,639.6464044407134,611.6823377530001,718.5397998725279,710.9934511475286,685.3096530628997,676.4949383141261,666.9176371090961,481.42102366207047,639.657670240323,615.2224402282377
200000000.0,489.6048523752313,956.3564756293046,621.6085287395276,489.1182999861868,639.9318213713797,619.079013573496,714.3422182986611,704.7323874423379,681.599131784941,680.7223842520463,664.3000485771581,490.9439384560836,639.6620163666574,600.9865517365305
