steps,trial_0,trial_1
0.0,32.50823974609375,22.7117919921875
10526315.789473685,34.056299364137516,25.26932679166259
21052631.57894737,59.55520477585515,69.10727289397465
31578947.368421055,57.891498869455255,88.46887897733095
42105263.15789474,67.83950767152197,297.3744563574277
52631578.94736842,284.20988289727063,862.525003435374
63157894.73684211,802.6850191077368,895.7479211801967
73684210.5263158,906.7644774976529,938.7954190789497
84210526.31578948,952.1796585027531,962.4974714078402
94736842.10526316,975.081761819504,971.8671816960597
105263157.89473684,979.7448221930506,976.4567302297027
115789473.68421052,983.7226384899623,979.0039145249739
126315789.47368422,984.7437711607387,980.5220029453161
136842105.2631579,984.912693933932,980.6795071961146
147368421.0526316,986.4055574676667,980.7922276552364
157894736.84210527,985.2251808945492,983.5646068450486
168421052.63157895,984.9652177382704,972.450361164653
178947368.42105263,983.9795191707374,979.8236775348721
189473684.21052632,984.9684720475258,982.8892176095138
200000000.0,983.2620896728415,979.8082060908016
