steps,trial_0
0.0,949.8729248046875
10526315.789473685,949.4476742424133
21052631.57894737,943.7391290684486
31578947.368421055,954.5491809395872
42105263.15789474,956.7287773861449
52631578.94736842,960.4190815924937
63157894.73684211,957.4579308746264
73684210.5263158,958.4976213699892
84210526.31578948,959.9252211750379
94736842.10526316,962.6253124784234
105263157.89473684,965.0959419124345
115789473.68421052,966.5536297280703
126315789.47368422,965.561060220581
136842105.2631579,960.1117351705678
147368421.0526316,965.5416725751766
157894736.84210527,963.0286168150625
168421052.63157895,970.6126599774136
178947368.42105263,967.2491830716173
189473684.21052632,970.8102718370443
200000000.0,971.3719942005057
