steps,trial_0,trial_1,trial_2
0.0,0.0,0.0,0.0
2564102.564102564,0.5950020032051282,0.6412510016025641,0.6575020032051282
5128205.128205128,0.75,0.8399939903846154,0.8800080128205128
7692307.692307692,0.8612530048076923,0.6737530048076923,0.8262469951923077
10256410.256410256,0.6925080128205127,0.6900040064102564,0.6275040064102564
12820512.82051282,0.6000100160256409,0.6312850560897431,0.6750300480769227
15384615.384615384,0.742487980769231,0.804987980769231,0.7774939903846154
17948717.948717948,0.7724859775641028,0.875,0.7612429887820514
20512820.512820512,0.8699919871794873,0.7550080128205127,0.8649839743589746
23076923.076923076,0.8099459134615392,0.7912409855769232,0.8112229567307696
25641025.64102564,0.7374799679487183,0.7625200320512817,0.7124899839743591
28205128.205128204,0.866261017628205,0.6599559294871802,0.803761017628205
30769230.769230768,0.695012019230769,0.8125,0.8524639423076928
33333333.333333332,0.8125,0.7737630208333331,0.7975260416666663
35897435.897435896,0.7549579326923083,0.8174579326923083,0.7374298878205139
38461538.461538464,0.9125600961538476,0.6937349759615381,0.7562349759615381
41025641.025641024,0.8649839743589746,0.6550480769230762,0.7924679487179492
43589743.589743584,0.911232972756411,0.7961989182692333,0.9211989182692333
46153846.15384615,0.8949819711538464,0.8949819711538464,0.8324819711538464
48717948.71794872,0.8787309695512817,0.8125,0.8199619391025635
51282051.28205128,0.875,0.75,0.9375
53846153.84615384,0.875,0.75,0.9375
56410256.41025641,0.875,0.75,0.9375
58974358.974358976,0.875,0.75,0.9375
61538461.538461536,0.875,0.75,0.9375
64102564.1025641,0.875,0.75,0.9375
66666666.666666664,0.875,0.75,0.9375
69230769.23076923,0.875,0.75,0.9375
71794871.79487179,0.875,0.75,0.9375
74358974.35897435,0.875,0.75,0.9375
76923076.92307693,0.875,0.75,0.9375
79487179.48717949,0.875,0.75,0.9375
82051282.05128205,0.875,0.75,0.9375
84615384.61538461,0.875,0.75,0.9375
87179487.17948717,0.875,0.75,0.9375
89743589.74358974,0.875,0.75,0.9375
92307692.3076923,0.875,0.75,0.9375
94871794.87179486,0.875,0.75,0.9375
97435897.43589744,0.875,0.75,0.9375
100000000.0,0.875,0.75,0.9375
