steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11
0.0,635.029296875,611.1240234375,691.4072265625,890.140625,767.8525390625,203.255859375,863.26171875,765.185546875,811.9345703125,694.9208984375,867.2744140625,928.0185546875
2631578.947368421,623.5866187246222,625.6621009636453,703.1877406984155,892.9098722769613,777.9388342484873,231.80557503792718,866.2032895127822,773.9980215379076,814.0188428080974,705.5503005479511,871.6971804943771,926.1957576096553
5263157.894736842,481.2654592614425,872.4769224922412,902.0982835774937,940.0957388415561,945.1074723695453,719.438418993329,915.2621556068061,924.0358701320237,860.36176158979,880.4794717350164,940.3314302819588,899.7979670020021
7894736.842105264,851.1337786381264,916.8239331443555,927.3400235506306,948.3694228941054,939.3090075495501,830.053266247884,917.9040383737834,951.8216963025671,947.4169946364088,878.6388662713387,907.0514055236225,927.9261472892233
10526315.789473685,844.2340838255315,939.9714832358743,940.7192391054782,946.4137798636904,942.1443111916328,889.8228349976263,924.7414096716038,953.7731838279153,935.3736049409058,945.429139388235,936.2447016602408,917.6204292529837
13157894.736842105,922.6282435678709,930.1307426727379,943.8990179997072,949.6727175699376,955.7443399217981,902.1503890848556,927.3989656638571,950.7496812720048,961.9659847988646,954.2523208813654,937.0614372211149,933.0663578794273
15789473.684210528,936.2026343887202,946.53525955327,941.6705471683407,955.4845489966903,938.3266845396681,909.3028244166493,946.4928278407892,962.0265731441677,960.2856895626417,951.8545881466853,926.5141022383672,952.7736278385997
18421052.63157895,930.9164149213035,955.521946748538,957.5255979342473,953.9358190420262,963.2878195268626,929.6348221480351,952.0878676417132,954.9688661237172,965.5125110367328,953.1749243960817,935.3669486217551,952.7043371623242
21052631.57894737,946.4420254567324,950.8247449457481,962.7242776548433,958.0772537062373,967.1549084734719,930.4972391102123,959.5815628347634,958.7824993609062,963.4512088807336,953.1705112404441,931.5603969077324,957.9923375306697
23684210.52631579,958.3359279209888,960.5326741871081,965.8520066982492,955.8767434064702,966.3237776426067,936.6186767483022,963.9425787304907,964.5152678053795,965.0956189057833,965.6509427892204,958.7519540126303,966.5189506551895
26315789.47368421,956.5326142720569,964.7823552266383,948.1740406226584,955.5955381102839,959.4714149517366,925.0949614411246,956.179548881721,962.3236954443342,956.6976398298946,965.6507859745184,937.6810958154314,963.4919103902463
28947368.42105263,940.3779471944243,962.9562401705501,948.1964950403018,963.3081217578243,963.1710198843579,940.7167503404485,960.2627757275864,964.5925573206345,958.7004444539712,964.0950904592582,938.1779562112697,953.5018593558314
31578947.368421055,948.0816955460737,962.11794148918,963.075878312383,966.7060558498731,969.4330817669052,942.9007219119085,966.4375774351844,962.1155723825386,967.7049102994544,951.0902910206127,961.1869923705209,959.6589349868225
34210526.315789476,956.6135507779109,965.8096734361305,966.1791149202807,968.5786353848317,968.9078738537521,956.0908801271645,967.4721864848256,965.0652093200472,968.0260105608573,959.5625250544244,965.9467533565954,965.396920048299
36842105.2631579,915.1659355005069,968.5265006966208,963.5855758276012,967.4283275709919,969.4431427826181,961.9418534677775,966.8372690301193,966.5414964987631,969.2477825355002,965.6701753093265,927.7918269086082,953.4166139777017
39473684.21052632,927.6744397261136,965.27929770187,954.9703074743213,967.6121953847996,969.3541103373605,959.8505159494289,958.9345086697396,963.5648645786697,967.7444476315189,960.6752609031022,942.074816436979,965.4372729356929
42105263.15789474,950.2887077437214,964.746690913911,968.5301174258922,957.9413760705668,968.2980308638386,962.5655966042812,962.6497063887747,968.0246130607795,959.7457077153172,963.5324380298731,963.91233009909,965.3928836389262
44736842.10526316,957.8109131202804,968.0591120944459,967.5574465881094,964.3405332750231,969.5894604442523,976.9877709919726,965.7556854390701,965.9246709881727,954.5215387397195,967.8547539248691,968.1048757204388,964.0486430434969
47368421.05263158,947.8767793290833,966.8336815926507,967.3666045487422,964.0886473087722,967.3064940074804,974.8664738451675,968.416381297019,965.7722914000958,964.7484984780943,966.8663932081735,916.4478113856012,966.998949684925
50000000.0,965.1480124624152,963.4423450168811,970.6283218986109,955.0843863236277,967.5633459091187,974.9319326501144,964.924014643619,957.8971803564774,969.4067846599378,961.5209152824,962.0549541774549,967.4489068984985
