steps,trial_0,trial_1,trial_2,trial_3,trial_4
0.0,163.6171875,171.46875,118.046875,178.4453125,115.96875
26315789.47368421,953.96875,898.25,937.203125,918.921875,928.078125
52631578.94736842,953.96875,898.25,937.203125,918.921875,928.078125
78947368.42105263,953.96875,898.25,937.203125,918.921875,928.078125
105263157.89473684,953.96875,898.25,937.203125,918.921875,928.078125
131578947.36842105,953.96875,898.25,937.203125,918.921875,928.078125
157894736.84210527,953.96875,898.25,937.203125,918.921875,928.078125
184210526.31578946,953.96875,898.25,937.203125,918.921875,928.078125
210526315.78947368,953.96875,898.25,937.203125,918.921875,928.078125
236842105.2631579,953.96875,898.25,937.203125,918.921875,928.078125
263157894.7368421,953.96875,898.25,937.203125,918.921875,928.078125
289473684.2105263,953.96875,898.25,937.203125,918.921875,928.078125
315789473.68421054,953.96875,898.25,937.203125,918.921875,928.078125
342105263.15789473,953.96875,898.25,937.203125,918.921875,928.078125
368421052.6315789,953.96875,898.25,937.203125,918.921875,928.078125
394736842.1052632,953.96875,898.25,937.203125,918.921875,928.078125
421052631.57894737,953.96875,898.25,937.203125,918.921875,928.078125
447368421.05263156,953.96875,898.25,937.203125,918.921875,928.078125
473684210.5263158,953.96875,898.25,937.203125,918.921875,928.078125
500000000.0,953.96875,898.25,937.203125,918.921875,928.078125
