steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10526315.789473685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21052631.57894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31578947.368421055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42105263.15789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52631578.94736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63157894.73684211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73684210.5263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84210526.31578948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94736842.10526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105263157.89473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115789473.68421052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126315789.47368422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00598037804262791,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136842105.2631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19811232664578535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147368421.0526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8005365915906072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157894736.84210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9867977845041376,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168421052.63157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178947368.42105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9969998991060125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189473684.21052632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9970703125,0.10743497283174733,0.0,0.0,0.0011177327163992177,0.0,0.0,0.0
200000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9970703125,0.802734375,0.0,0.0,0.0078125,0.0,0.0,0.0
