steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12
0.0,439.2734375,283.16015625,311.0693359375,375.2578125,265.876953125,237.6884765625,285.669921875,326.6708984375,208.857421875,384.3828125,344.5322265625,330.3310546875,270.181640625
10526315.789473685,443.36966421597555,293.33078584116254,319.82460939190725,387.7092364541051,274.3885815480409,250.51810405393056,294.27524288737544,332.83129693398513,220.87665276778372,389.2054890265425,353.2254259077796,340.2754820165872,282.3239676324945
21052631.57894737,517.470460648682,493.97593692134956,482.2708131837713,626.1964455390571,446.1026259657419,469.764582657748,448.9005659901204,459.7396460239907,436.17835604913347,480.876251733204,518.9306737260475,531.9063626339562,506.7761688919279
31578947.368421055,572.7988010707654,749.6815928831655,653.8268143820301,881.0980962742728,688.4138037531,528.2446423131673,561.6244787813224,694.3747050848034,590.9016711480731,568.3943436456188,706.2653771450646,746.2213191352063,714.1075620096476
42105263.15789474,651.3393576032897,824.5222007455588,841.8226219029308,928.5317571750968,760.7194774025365,586.8965810633102,705.3319515112034,914.2181801835586,773.1553252899085,597.0984020074649,834.8786763220282,797.033727450384,882.7680334159872
52631578.94736842,810.3301609229513,915.922986918209,834.4338580789329,934.1075501296659,876.6699624840903,574.7712173963848,835.2944328672668,937.1224808204207,839.3514509597313,778.3683037110643,899.6780331524456,819.916430045363,929.8565578724869
63157894.73684211,903.9303718577462,926.5851119192023,896.4112520085807,949.2289413600087,857.5664834262923,596.2012998945495,909.3770325467857,928.124627464696,850.5794534498303,891.878451608885,912.9453670522844,871.7183590146644,910.3528164998315
73684210.5263158,912.5027517757258,944.9704006041846,903.2619271899194,946.046776037137,904.5932142754341,651.4036308457647,935.6452754567534,925.9794417959831,819.2130359242828,885.7352982518415,931.3811076182737,917.2191764377161,889.3414703987312
84210526.31578948,929.7049486577675,947.2515072598021,901.6664079153637,948.856321572597,926.2019364840436,789.3606448820753,935.8142720484008,943.4684819144885,913.8985622754718,924.4927912366027,874.5123788511323,884.2517096817988,925.538625468838
94736842.10526316,932.2508823680085,939.7111390211576,933.8399980154064,933.4787013854346,951.5708853201193,897.2057425084206,920.1948649387941,937.0848829924565,921.9794048483682,935.1736624709787,870.181161806524,910.1297277122984,941.5004580595487
105263157.89473684,936.2754276360171,936.019399156861,955.1087895866247,941.5191986157954,954.9972445680825,909.9426822451013,922.1642463610112,927.2869595662379,928.0366329129713,937.4603836978902,934.0227736370055,933.9739356106999,933.1451671632043
115789473.68421052,949.7343262622231,933.4447811131993,950.5756910197292,949.885482722042,909.8033749509057,878.9890021670228,941.780471973472,934.7395119653844,939.832201920718,933.2970194512787,928.5081082130073,946.0902346111731,927.5363448504926
126315789.47368422,962.2040685511032,901.0190491293275,951.7915019619168,930.6568377169875,914.4176588824582,910.6014385910246,932.4940352822935,949.390886998903,934.8202660156419,944.3049727357986,931.853501137604,947.8187872022803,945.0257029335255
136842105.2631579,943.231542404999,934.6134282849173,956.3440612835237,922.1188512257922,926.9014827775823,919.6924046756818,946.8673408909848,931.6471608338924,928.8119923256111,942.7377460405767,929.4575280112903,926.5174488109894,932.006396914453
147368421.0526316,932.9573433366179,921.7369642918129,955.8235602550559,932.6113181602922,944.9172575097335,916.4992347146666,952.7229486555274,923.0039532151579,899.6220551382471,943.9645123732718,915.0586217737595,930.3222749504026,909.2272700470901
157894736.84210527,921.2670767221424,925.6196735281693,940.827377633705,941.4134570145541,917.7199804987604,913.3016447769968,924.2825005734726,940.0406856536865,923.9288209693253,948.0797326914821,943.4745604258826,944.666131566436,934.8572311744796
168421052.63157895,924.6001307521831,887.7027645375259,922.5805943032051,947.4149861428216,941.2809952923466,903.2256176808535,945.9584660833892,958.2071015418732,935.5987174755319,947.8736363883825,917.9346145249469,954.3199909664587,939.2171515467425
178947368.42105263,924.3922471366101,937.8233843245995,947.3864051734312,949.1908226224524,946.2801264184334,910.9477143644295,908.3906004871358,931.0631936725817,950.0323810867986,939.4846328460609,929.7932177990098,937.6777614952784,935.8294189537661
189473684.21052632,958.6948694350647,938.8184142125941,950.9087084402998,932.029974295492,942.6541178484042,927.4223853874735,950.6559351606712,944.2886168302922,942.0269018157368,949.5968364335163,958.5629684046695,960.6135217608507,938.3189393939074
200000000.0,953.119461410924,952.1123068960089,931.4446288660953,936.9855589615671,945.8362798188862,949.8248213215878,944.9696829444483,959.7976909938611,947.7317167081331,954.443985688059,958.5465882953845,937.3662128448486,905.739036610252
