steps,trial_0
0.0,317.28515625
10526315.789473685,324.39189419786027
21052631.57894737,455.76945836920487
31578947.368421055,548.1759468326939
42105263.15789474,500.1466126270241
52631578.94736842,540.1467484133395
63157894.73684211,597.6918192570229
73684210.5263158,574.8239168790569
84210526.31578948,677.9568425440062
94736842.10526316,791.9724771600021
105263157.89473684,784.8253307131189
115789473.68421052,724.4230647681493
126315789.47368422,817.0285376128729
136842105.2631579,779.8507217607998
147368421.0526316,789.4073676270461
157894736.84210527,805.2127559825655
168421052.63157895,799.2109101525305
178947368.42105263,776.5809526073635
189473684.21052632,806.0897044290135
200000000.0,732.9933058086194
