steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11
0.0,1.0,1.0,1.0,1.0,0.9990234375,1.0,1.0,1.0,0.99609375,1.0,1.0,1.0
10526315.789473685,1.0,0.9998338783877048,1.0,1.0,0.999078811370765,1.0,1.0,1.0,0.9963152454830603,0.999944626129235,1.0,0.999944626129235
21052631.57894737,1.0,0.9972918079830603,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9991341852415302,1.0,0.9991341852415302
31578947.368421055,1.0,0.9991895591122952,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42105263.15789474,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52631578.94736842,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63157894.73684211,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
73684210.5263158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
84210526.31578948,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
94736842.10526316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
105263157.89473684,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
115789473.68421052,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
126315789.47368422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993355135508191,1.0,1.0
136842105.2631579,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999743297819946,1.0,1.0
147368421.0526316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
157894736.84210527,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
168421052.63157895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
178947368.42105263,0.9990586441969938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
189473684.21052632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200000000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
