steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12
0.0,360.90185546875,409.03167724609375,661.1403198242188,533.6257934570312,613.35400390625,350.2364501953125,302.9287109375,466.44775390625,527.9478759765625,511.1147766113281,271.0945129394531,653.43603515625,837.2237548828125
10526315.789473685,389.7919508544032,434.1853411019344,651.0859545964613,550.0629317245325,621.5879254456703,376.78437966488076,329.2611599107198,485.2567419454332,546.0037724516068,529.7904364827432,304.3169474955906,664.7251615629963,837.6446516744978
21052631.57894737,871.321090670834,853.6848435580235,527.2316160991252,828.2413358341624,771.7865151956141,823.7106507425493,779.3377052875767,804.9841244078739,849.9427170013787,843.3460415677681,858.4507803530574,853.8437096072036,848.1264458406005
31578947.368421055,878.8734411268683,862.2596767891476,866.6163775328124,865.1760117928408,875.99104041406,865.179473296427,874.091703234452,859.1128894123674,878.2144120996019,865.9416312715683,870.9873658365821,864.5661259222559,876.2885396898288
42105263.15789474,880.2854716031505,864.4944610899505,866.7407686948115,857.0766715527901,879.8141866351099,799.0903140990027,878.0142947762297,863.1147289309145,879.8921541678939,865.0505078968249,877.5256766665345,866.7226706271026,794.176327372852
52631578.94736842,879.2421385254556,731.7479753301084,736.9317373742357,844.4483656054389,691.8292257561661,656.6911340636559,878.1380933716357,864.307344181881,851.313175700543,860.6769527348786,879.9882186789922,866.8121281641012,602.156813903446
63157894.73684211,813.6459879465709,405.048093133686,564.1749023958589,879.7199330349708,443.98884315446185,876.2318361333863,876.8238722941221,865.8973581576281,814.0376179991007,864.6041240764787,867.8050815804843,702.0417271343953,865.2179684632373
73684210.5263158,623.9191004060972,607.8759113302524,866.0375240932211,879.719032778139,879.496739257901,857.4386848503533,875.419193356156,866.8240995172648,878.4926060259837,866.7348452783358,857.7652196131255,579.861206969231,856.2825489248926
84210526.31578948,518.6258577818355,816.7852818523418,866.755823016497,879.5839173853233,879.2208270669975,849.079435433047,880.4456304381098,866.3087703858056,880.9126947011974,862.3861755954922,878.8849903460684,880.6201773693687,849.4568594063418
94736842.10526316,411.7132553957671,811.1042001169805,865.2949856664995,750.2220617971922,878.3032289203514,880.0439249656868,786.0063640367952,504.8976268191251,509.3718460737173,857.9658276856441,880.5839094519615,881.0674561288548,861.6511899766169
105263157.89473684,272.37043636327303,629.9889042209061,864.8548344406724,758.0064280118968,878.7060015871914,880.0556357824902,652.8902485730575,157.50203928533023,154.68546952839702,862.013805474601,632.0174300654113,880.8309647165177,864.6944768488243
115789473.68421052,243.2381320940408,713.378485779848,866.440324551346,862.8872701347369,880.7364918670496,864.5125769571584,619.3914367123984,156.59488302283506,256.5934139404683,865.639006098882,699.4539413916107,409.6341677683709,503.12221120549714
126315789.47368422,273.41206496722816,879.9673762697922,860.72816725649,866.3719832514131,881.1418526601924,752.93182567216,208.63348124042045,155.86043660429377,370.2674886638769,866.5376834400473,844.9184045989757,52.952480389635866,255.92688437974348
136842105.2631579,289.22728510428004,647.4756344708707,862.1772685090591,856.4228604061121,880.619585440925,433.82538013725696,4.484686596323419,156.00965508141675,398.1543042839729,866.8717675963597,854.3670410444532,622.5167055499446,236.90927735895661
147368421.0526316,245.30507104003854,812.3239523608271,864.4557648055111,853.5312395194891,880.9903372295015,529.7685973825879,626.1245599336605,156.06449711851135,399.7133837033507,861.9150237528571,863.3171279222352,857.1551348793209,48.44015351878318
157894736.84210527,238.29687756919134,878.6075930431939,866.6986302853951,853.4208813587054,816.5312065389678,325.0431218991813,849.936971624142,155.24055840153443,265.43165206372566,862.6275999922501,865.7153462944268,864.3806923872216,0.945465215232642
168421052.63157895,251.81727023137904,880.6101130567429,867.2511890284572,292.52511868318334,347.13310134840117,246.81841515768267,866.2412418486999,155.1505658976589,175.17509970968777,863.8198717069758,861.017281799105,872.2526064738012,16.522508168133847
178947368.42105263,308.67810408709124,222.49499874048104,864.5419924183235,825.7140308732061,406.8542913090324,147.82962153521765,174.5364181637102,155.53706745328665,6.680655145050821,866.2337192166545,150.76957586989647,875.7164584147303,827.4456351406751
189473684.21052632,331.97820277408886,196.29465168433836,862.3425297727215,205.7722625732422,169.18746861939286,6.446316580778347,157.79212700429056,156.54729442038365,0.042439493502522616,865.5825406124717,144.17554455021423,880.5644046731933,864.493091345824
200000000.0,818.6079634208428,191.7572361458289,864.8760161995888,205.7722625732422,181.63458552250736,0.1852194068500658,186.12129250953072,156.6854980211509,1.4657799528090676,866.7818603515625,859.5995505577639,881.1389437160993,858.7974320430504
