steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7
0.0,34.8441162109375,35.024681091308594,27.207088470458984,33.62006378173828,46.82499694824219,23.996654510498047,18.723386764526367,33.411582946777344
10526315.789473685,35.70483835702994,35.324101237698855,28.40711703792297,34.856395761701705,47.28602076146411,25.115235684713003,19.922788158012683,34.22599847713831
21052631.57894737,53.4425760359604,41.87357798117598,63.70315032598881,58.90134480859764,58.18021972432031,45.711642786055556,41.08069954628842,52.06061043695565
31578947.368421055,110.34163931457955,86.33903860822944,205.64658114660813,94.49604665217639,102.36070664206373,66.15356334168825,52.4088048334556,87.63734691963631
42105263.15789474,405.17521329731835,373.9014010634119,375.31721282401577,165.73094291716734,353.99387453632676,95.94951803846043,76.79529572201899,93.31975130559334
52631578.94736842,911.8761628043949,829.7726571720062,684.8720207359652,400.47121692826545,897.3788932723681,125.28547500057398,142.80943678781762,101.9268641427283
63157894.73684211,922.9753954595476,863.1372317739471,941.9118587617398,801.0787853068593,904.7515329039989,213.1381634442431,287.24027918291574,154.7630625408442
73684210.5263158,937.1996422008795,895.1056716319927,965.0530027727341,940.9952680443793,930.240605042912,532.2007869799054,609.6618377125495,351.4298895189639
84210526.31578948,956.8817081240076,936.4669400925782,977.7377518590467,960.3353284125183,960.9195914506251,857.6038512549572,829.9960526865275,765.3323054075902
94736842.10526316,967.415272797574,952.2926849166442,983.5413312837688,973.4220717323124,971.916685174872,905.2087109343167,895.9824122718827,891.9503301210351
105263157.89473684,974.2650010688153,962.7816394019325,986.2789993933363,980.6305793315751,977.5738602929498,928.9795605465977,920.9310860666872,912.7965222461733
115789473.68421052,979.4959043579748,970.0204928973045,392.3812877853968,983.7647158987304,982.0774702244848,953.8273129814879,947.216129144473,936.782880147078
126315789.47368422,983.3221526344067,974.6213623341431,683.1861405747842,985.5362879820477,985.6619098113845,969.3018463985411,962.5441486624139,961.6253594804009
136842105.2631579,985.0279463882922,977.2093594647181,989.3228435045794,987.414867166502,985.9504600811202,976.7771226537525,971.1191552479512,975.1545061355152
147368421.0526316,985.7838252168613,980.3464305539541,990.6573845986844,988.2322431475832,987.5965006367982,980.0841863512002,976.0187902635485,980.4485908885412
157894736.84210527,987.3791843007145,982.3959330647276,991.5767328082029,988.727302804548,989.2182289277748,982.581112419139,977.7419232060705,983.3418628036811
168421052.63157895,987.4341384855994,982.6510731440832,992.4335028101533,988.5734513433356,775.2572909220432,983.0557835438906,980.0791571345026,985.5751521171295
178947368.42105263,987.8994859164771,983.3758977549228,988.8476254064951,989.6211962628893,980.3019318486515,984.9635175403796,981.7244774350829,986.4980954800286
189473684.21052632,988.1063603248623,985.6251620830261,991.0606023555317,990.7008823238912,989.5655510078838,986.1721223001665,982.2493574866958,987.4923848471814
200000000.0,988.9087589790946,987.4023316784909,992.4556319305772,990.2224342321094,990.6138715744019,987.2595047574295,983.5491122979867,987.6075099926246
