steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31,trial_32,trial_33,trial_34,trial_35
0.0,23.639856338500977,10.638126373291016,10.493552207946777,12.459945678710938,13.452856063842773,14.175239562988281,19.803972244262695,11.557003021240234,11.537374496459961,11.28696060180664,6.185410022735596,10.18105411529541,12.635104179382324,16.59115219116211,14.853376388549805,5.502263069152832,11.962642669677734,12.532665252685547,12.020156860351562,13.25549030303955,10.379379272460938,14.373985290527344,7.81657600402832,15.869211196899414,12.942686080932617,16.065326690673828,11.40471076965332,12.088000297546387,12.789396286010742,14.60343074798584,16.935375213623047,20.106910705566406,11.362815856933594,9.640819549560547,19.411277770996094,3.7327919006347656
10526315.789473685,28.097400481325067,11.10699867562925,11.228851509311461,13.087303082327104,18.682313046652897,14.893240207723675,20.851653557936366,12.287373236966141,20.33761293990564,11.726743344289774,6.558240537125349,11.797291676121716,14.445971486715916,20.525163099468994,16.716433623155524,5.977489036476947,16.31618419245216,16.001951815813285,17.16382663094354,13.938183886416958,10.557085271563556,20.777340971077912,7.9466356533680145,16.055018112099525,19.680089936325963,18.278448559632757,11.63269618933458,13.626171623955164,13.460217743941746,15.912508906917829,18.155578039596865,20.754603298004316,11.851581979408818,9.879209470808753,19.638119860843773,4.569464482480552
21052631.57894737,116.19587058266445,18.8002380748638,28.71746318475692,31.116087284362223,114.26616239910972,31.34602992309882,43.277975980966374,39.000968210347565,167.1836703354467,20.042661007318305,13.299845110604391,44.02415240122589,51.0029746947031,98.64438647378515,63.38760323052675,18.14120980198405,89.35387359101357,90.727384918697,105.15439874965729,38.59745440116137,13.212964964447506,133.12853690102656,10.868619209299911,25.669606829696747,136.5162791078936,58.31213405751043,21.73332258583746,60.989060250469535,40.06498849839799,46.197158006378494,48.70197721461345,41.47009327665096,26.316792797472672,26.563249047278042,37.67374402978084,18.0803988254126
31578947.368421055,224.1707341471207,31.590082891037774,93.77445933583952,106.74609422514482,182.65903923575897,92.7185830222727,104.58473782519971,139.55637332528744,176.00929973255896,29.181111871948534,29.218459509813613,106.90995029069053,117.14608586953125,204.3552641023229,197.05588714089092,65.54612218801172,107.7233964857385,238.45557152114583,141.96201351716334,153.73985959568844,12.101668337829558,185.0739981143676,25.80104949910948,92.19653763283573,176.21753669561113,96.99474153593391,99.58993015227807,244.65850414678332,160.4526726938681,125.2262218842216,138.25582133572024,135.8797626103226,93.81746604931324,126.79803719765756,154.47703011366966,15.967749793972523
42105263.15789474,241.5920660125912,114.01580329846148,217.35046055376364,225.17218793164992,190.40295221386194,232.98205205443165,221.0321867297561,94.968210906038,217.4221108171088,88.00505154433345,94.50922387491633,212.653036196146,199.26112873303262,249.30550099013584,260.7474537008027,117.87662401481677,175.88767264737976,302.84402434152247,248.94424230883988,222.055024902246,18.398927117690157,230.37815199862558,93.69611746369968,170.06269923273547,194.00414914404587,164.29949265289176,262.01317736745875,326.90950582760524,161.93333899809713,196.93383164633676,189.68785533796057,231.8265048123463,191.02545814385374,140.25155986841366,185.69469091221896,23.712155067627616
52631578.94736842,330.2225624560649,170.12715754825157,257.8894174630622,377.93778011145025,198.47160626027392,298.3548687266346,262.9665754909661,163.5897009593133,295.89621826370666,286.34121667315094,133.07710862073046,264.4487383001564,225.08890693459318,307.2054661230037,315.9569126788599,79.791190945128,187.90837205727675,298.4846673023337,293.2738060660227,284.7104824114374,59.92784219267687,301.60875734191524,180.0441436368838,179.4819738842196,227.8246627208929,172.8073033832447,359.40666708358435,396.9785599962826,176.87300034317283,250.55780497791858,223.06005607120218,299.3309657023884,254.94675993556132,174.27336894227528,214.51481491182815,68.40254855885523
63157894.73684211,371.36363884385605,175.52426875628262,317.1691875170473,442.4685618375477,208.5416657553155,369.19228015695586,313.56030078063054,166.6308271110553,416.01032584922143,368.5249082434541,164.76033040468383,398.72164978247935,263.6375411227965,359.72896311421806,383.96825884798557,140.61412643853814,212.29566386721802,346.37503916603043,304.98601325454814,339.0040337732294,162.7845813213458,379.941352770104,196.6541331381514,196.91380293093562,300.2201502339662,201.30772866263288,430.91303561103643,441.8991008547865,192.98324876825566,305.41738074935375,285.54119571523324,364.5663716411657,362.31904669795347,181.1777715277639,255.04840770900418,164.80446472400774
73684210.5263158,412.1088412134932,183.86166038741862,369.95497070314815,482.75725235486624,221.09316446906644,418.7010264757433,346.0262130382484,186.07375852239431,541.675684434225,451.72780060834174,174.59363304833957,464.7728402507272,308.3356344162427,397.36621170641644,410.2245553148255,169.43704409992264,246.86584692211034,386.0823758029872,457.1990848181981,388.04644024091414,164.31338041331463,443.77123581570606,218.2356099343944,251.72284240025897,390.8481207017754,268.4878179780995,499.1559872571121,472.35879366269074,215.808171364244,355.13343278374373,345.5248658483709,418.75058562422066,427.7565989042748,191.3034335146155,306.1138696966905,179.61552481972444
84210526.31578948,451.6380179304826,203.972170655417,433.48030465659673,510.1085554609008,250.47950220108032,462.05839926252077,368.9583585136815,218.1919895602065,592.5658750084959,493.753816368177,176.66468494024303,508.40456519430694,366.52026853336855,425.65408793710935,430.2797046658735,169.1637989487344,289.4696864077919,484.0071967566113,490.3609615376121,434.51533728755413,157.96537555452858,497.7783063772313,260.47121102823115,328.48275290829986,446.1878178654615,352.2975305493849,545.8704326727384,493.9908938916436,246.0082087688499,414.4484195563932,408.4056028949917,463.4222825967044,482.53497770420404,203.7766170300275,357.24510631072553,191.6738695768108
94736842.10526316,474.81239619941925,230.1558664805176,473.6329679514728,541.4018427041099,304.1491603002654,496.19963549477905,440.3160784972672,266.19756849787075,629.5683235181006,547.8316219244307,180.82429649955347,543.2146953288208,421.7515749647347,445.3450980989722,457.6598842060632,167.40418127818947,339.91893454007493,534.6389751280774,521.0329031118725,483.20797279394566,154.39892168326557,556.4282553179443,313.616640230873,385.1096100402671,475.6700949029909,414.0196638462286,583.1387505210998,511.29390043837543,283.47642544242154,445.28904700923164,477.7497532171226,511.54753740656076,543.5170929184251,220.85751704867528,381.535433965294,205.2215475632791
