steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31,trial_32,trial_33,trial_34,trial_35,trial_36,trial_37,trial_38,trial_39
0.0,334.18475341796875,359.5364074707031,341.3829345703125,295.6469421386719,462.66754150390625,512.134033203125,427.49090576171875,377.2231750488281,344.9070739746094,415.19415283203125,333.93609619140625,368.86865234375,413.79833984375,177.07411193847656,459.7372741699219,271.9679260253906,379.015380859375,436.561767578125,395.108642578125,401.40911865234375,298.8185119628906,260.7287902832031,366.4236145019531,443.91888427734375,322.30853271484375,411.2823791503906,431.5527648925781,341.11212158203125,379.05133056640625,359.424560546875,435.73431396484375,267.34075927734375,427.70697021484375,212.2984619140625,499.12335205078125,478.18804931640625,459.2772521972656,391.26409912109375,400.8826599121094,462.012451171875
10526315.789473685,346.2269852323215,365.965118327547,346.15705340349444,311.45556101648765,473.02247264130955,517.5589663307093,435.3508806301286,388.1809424824827,353.18064147506396,425.83451896889386,342.58631849123833,378.13455248655043,425.0934500894058,197.8337683013519,458.7081455904526,284.3372547552196,382.9147257778453,440.6749525420223,409.28265766919156,412.15375724872393,314.95934983922837,274.06698870807475,381.76874369886445,452.91069068159095,319.0568215540737,417.02745804223656,439.046554084052,347.93340376523065,389.8139379838497,370.8689414437788,434.3328532087836,274.66357991239704,436.61616572564327,233.17332448028134,502.5587954451833,480.16992514235824,467.33268125557504,394.8278558870927,410.58090366394237,464.04956589478206
21052631.57894737,555.828168372038,490.98512141790417,454.90038480933686,577.2513639177312,648.9815653747469,607.3259312297499,574.4869747931277,565.0332910083338,487.53171879531936,608.846621733293,489.73817242182525,530.6980632451102,613.2636904799047,552.6977389284779,458.73718092183987,505.61996552042683,457.7645667058279,521.1475767428856,654.6797893080354,571.6582675706646,584.2255451180598,502.6731090068487,639.2403925799267,614.0206874585879,307.78453373727376,521.788962319287,569.6695856777254,480.85622631215654,573.5989391493335,564.857849769315,432.19665401265894,400.7732643962237,596.9568929718472,586.7871284445237,570.0984137114395,526.9405952767983,608.1022184743775,478.753230992942,585.1570796920322,519.5606000720629
31578947.368421055,641.3215023470717,634.6491311402202,658.6912902681121,609.0901031571742,685.2104290210309,621.6769001655632,644.9244639563099,534.6398948706749,497.01830382756583,652.2404927056582,536.007805895277,541.5037023372267,615.4483516252602,616.5771153526293,603.8854796298654,639.0878854970192,556.5308126675126,627.1744686705254,715.8481559878901,459.504848187485,601.690809284551,566.7567556226353,638.796204751053,701.6024631440145,658.1290866311567,604.3042495762543,623.7123487112925,645.1451801474406,614.6926772505293,599.3742098476419,614.9235218319207,475.0310044818639,693.9352762684267,634.8266938048056,660.453168032242,639.8883656859398,654.4411966143552,668.9104862417871,691.2972458812338,646.8565314784439
42105263.15789474,712.4771991159117,646.664890100421,543.5395027613706,668.8916352541493,652.2377891765076,701.4253825111072,679.2745595136838,616.8505179406534,677.6373889036786,654.9674635844877,655.2356622793668,659.3305973517928,647.7287660840476,576.9944783577959,676.700126183,689.3157210402871,661.2612251522138,703.0940585605325,656.7467812019041,645.7806338359114,669.2272606133754,629.6825393157652,578.6429901288157,698.8121885348555,740.6156871114081,629.0804692344982,658.0618524643853,699.1114547378138,650.766272466929,607.7096418673972,712.1369687447587,671.9104818531681,695.5643901144699,648.9851790742531,704.0839196704432,676.8284877786346,641.5827028341901,670.1081048458237,703.1881004997898,502.9928707445758
52631578.94736842,681.8284989940493,681.5561060380408,622.0935862508506,726.3571632900727,516.937225319507,690.4744993869288,653.4023499466541,678.4177437172042,721.2005494260061,732.1862099887261,724.9095950123345,684.5378135548405,762.0200640574056,629.1329982071042,747.0056261771933,692.433120787639,679.4315879457215,742.2643357658981,701.2561444943962,634.1921525361465,727.2102138421542,665.940102678752,686.425052947615,704.3734346860994,755.5525068904884,568.7216572064772,686.3646197659157,697.4055933118527,702.7503530194884,531.3403401510207,748.676079100354,684.2012743794687,602.2420248486659,697.9217814657827,718.198143752328,727.5600811655831,686.020155282397,715.1176991693861,722.9892902993429,724.1001017962136
63157894.73684211,589.1067004279748,764.8239312251188,734.2153148971436,768.5329953990155,768.2878120833817,752.9123778019585,574.5831118526553,683.104861969763,760.5219045781693,694.8818086653204,746.8897376552513,659.6754903416884,785.3371054535097,693.3926636561794,766.5746064077124,786.8522859887734,717.3682952422515,714.6923229423587,669.3165066473371,582.0166245163973,777.1401757114152,650.0716324691296,735.6057448720668,673.0581795697068,750.1974595960157,701.5622675451876,761.9020055007406,738.0813313233886,713.4348008576522,596.0233565684501,742.3451263250737,719.9214946550015,562.6876158469934,647.6500678306802,769.7037384526551,754.0400298797523,687.9354260512667,727.1485102150249,762.535398992475,773.3913363357
73684210.5263158,733.9323905815379,771.6119282840032,721.7620180216193,745.1118907840959,776.6047020767535,793.473709966007,749.7138094657677,788.0896883431894,782.3473806572753,663.8158817495996,744.635182999673,598.9370329484054,795.6896160160736,754.0399966109493,771.0038680079241,774.1269401189693,762.9387576084719,789.6120704290279,565.1581662620864,613.1672797353315,752.1916601988087,510.2057549496932,753.5284517427231,771.9966193587827,787.0746038665071,798.9943055201766,767.9678560080952,751.425006770031,759.6135271513562,722.0129665773661,723.6797766110903,727.0404182319165,783.1098089411319,705.2613628452175,785.0085408537342,761.6352214512733,745.1178306252011,737.5703860154773,758.685584294829,752.9473322700926
84210526.31578948,754.1627915427295,804.188644492395,728.5680376908786,764.7397385832346,780.5456438460839,811.6478717294096,800.6752222106068,803.7210847479485,808.2794037472838,805.8066126831351,778.7620470702153,672.9802092594454,801.9713319741458,771.9725444112128,757.7720293311861,783.4209541706498,790.4110859160278,823.9077761562908,709.6017853876891,755.7466576026748,760.9551254190567,572.4098968657761,802.0478294219337,816.615114410168,821.3697868212438,808.3194350324509,815.4186309235909,777.5119840669499,795.0731189627396,746.9276994271952,727.6417174009075,786.4331511235964,797.4445516409306,755.2701642863308,802.0146533656979,789.7942622573091,703.0935028979653,758.9872923769119,814.7991589324296,750.197278144287
94736842.10526316,765.3164789650249,832.9607352918205,789.2007750129105,830.0254620075887,812.7580564142595,833.8011673114306,829.0873461882494,821.580534430422,832.3743924853544,822.4749263491988,784.9825148767382,711.3568167267083,831.0788556796361,797.7822792713332,792.9558833257973,804.225617477273,831.4770761931372,837.22897030376,834.530391187714,779.3492835322576,818.4140061818662,748.2147490294686,828.2123545505664,822.544153088678,847.4130188269628,825.739747658826,832.5525825096299,800.4800758781196,827.3406891377018,769.0130705357918,837.6761114478442,804.630131991286,843.9662345225131,786.914046903066,829.3524290750892,827.964855024524,792.0965783487067,813.1797373321248,830.3327351295056,809.408722688947
