steps,trial_0,trial_1,trial_2
0.0,0.0,0.0,0.0
2631578.947368421,0.0,0.0,0.0
5263157.894736842,0.0,0.0,0.0
7894736.842105264,0.0,0.0,0.0
10526315.789473685,0.0,0.0,0.0
13157894.736842105,0.0,0.05863229851973685,0.0
15789473.684210528,0.0,0.1703587582236841,0.0
18421052.63157895,0.030414782072368498,0.0,0.0
21052631.57894737,0.0436883223684211,0.25,0.0
23684210.52631579,0.0625,0.125,0.0
26315789.47368421,0.2267937911184211,0.5940583881578948,0.007735402960526301
28947368.42105263,0.1664910567434211,0.5215357730263156,0.0
31578947.368421055,0.30037006578947284,0.5181949013157907,0.0
34210526.315789476,0.18477590460526244,0.4728361430921063,0.01494397615131561
36842105.2631579,0.19585217927631504,0.38335217927631504,0.0
39473684.21052632,0.48127826891447284,0.6758968955592104,0.10179379111842081
42105263.15789474,0.36163651315789536,0.4126233552631578,0.0625
44736842.10526316,0.375,0.75,0.1631501850328948
47368421.05263158,0.6724660773026319,0.8417711759868423,0.0
50000000.0,0.74560546875,0.875,0.189697265625
