steps,trial_0,trial_1,trial_2,trial_3,trial_4
0.0,1.3125,17.015625,25.3671875,1.046875,1.2421875
26315789.47368421,85.25,207.796875,54.484375,100.328125,31.0390625
52631578.94736842,85.25,207.796875,54.484375,100.328125,31.0390625
78947368.42105263,85.25,207.796875,54.484375,100.328125,31.0390625
105263157.89473684,85.25,207.796875,54.484375,100.328125,31.0390625
131578947.36842105,85.25,207.796875,54.484375,100.328125,31.0390625
157894736.84210527,85.25,207.796875,54.484375,100.328125,31.0390625
184210526.31578946,85.25,207.796875,54.484375,100.328125,31.0390625
210526315.78947368,85.25,207.796875,54.484375,100.328125,31.0390625
236842105.2631579,85.25,207.796875,54.484375,100.328125,31.0390625
263157894.7368421,85.25,207.796875,54.484375,100.328125,31.0390625
289473684.2105263,85.25,207.796875,54.484375,100.328125,31.0390625
315789473.68421054,85.25,207.796875,54.484375,100.328125,31.0390625
342105263.15789473,85.25,207.796875,54.484375,100.328125,31.0390625
368421052.6315789,85.25,207.796875,54.484375,100.328125,31.0390625
394736842.1052632,85.25,207.796875,54.484375,100.328125,31.0390625
421052631.57894737,85.25,207.796875,54.484375,100.328125,31.0390625
447368421.05263156,85.25,207.796875,54.484375,100.328125,31.0390625
473684210.5263158,85.25,207.796875,54.484375,100.328125,31.0390625
500000000.0,85.25,207.796875,54.484375,100.328125,31.0390625
