steps,trial_0,trial_1,trial_2,trial_3,trial_4
0.0,21.6561279296875,10.346607208251951,56.81705474853516,27.82503318786621,45.642608642578125
2631578.947368421,101.63762863738495,87.52308175771644,129.92097311571504,74.17043285192759,84.62190591766122
5263157.894736842,181.6191293450824,164.69955630718093,203.0248914828949,120.51583251598896,123.60120319274432
7894736.842105264,261.6006300527799,241.87603085664543,276.1288098500748,166.86123218005037,162.58050046782745
10526315.789473685,354.56647466149246,335.12387991160676,344.1189266861531,241.2939328478094,215.6232065840771
13157894.736842105,483.6477753337015,473.07364261411783,397.88520010573825,393.85038725116794,307.7827466334167
15789473.684210528,612.7290760059107,611.0234053166289,451.65147352532335,546.4068416545267,399.94228668275633
18421052.63157895,741.8103766781196,748.9731680191401,505.4177469449085,698.9632960578853,492.1018267320959
21052631.57894737,774.3674990670722,777.8452066454971,573.1029476701168,775.8054285467716,570.3779306411743
23684210.52631579,720.9475551028,709.558348015735,653.186166775854,785.2064763778135,636.2876292467117
26315789.47368421,667.5276111385278,641.2714893859729,733.2693858815912,794.6075242088552,702.1973278522491
28947368.42105263,614.1076671742557,572.9846307562109,813.3526049873285,804.008572039897,768.1070264577866
31578947.368421055,572.5731545122046,612.7964602646075,824.0415350637937,810.831467992381,738.7737588380512
34210526.315789476,534.134645212115,680.7666202020228,816.654137351011,816.9827882417461,684.630912487967
36842105.2631579,495.69613591202517,748.736780139438,809.2667396382282,823.1341084911112,630.4880661378827
39473684.21052632,461.858281129285,811.7329560518265,801.3059863416772,829.1216944707068,575.1548137915761
42105263.15789474,503.0268890313935,793.6361166636149,783.9975686993515,832.4398497531289,500.4138570417437
44736842.10526316,544.1954969335021,775.5392772754034,766.6891510570258,835.7580050355509,425.67290029191133
47368421.05263158,585.3641048356106,757.4424378871918,749.3807334147001,839.0761603179731,350.9319435420789
50000000.0,596.648654550314,702.2087230583032,748.3021208246549,838.2111698389053,340.7739686568578
