steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16
10526315.789473685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21052631.57894737,0.0,0.0,0.0,0.0,0.0002214954830602927,0.0,0.00033224322459043904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31578947.368421055,0.0,0.0,0.0,0.0014950945106569774,0.014080002697551039,0.0,0.004092538786066538,0.0,0.0,0.0001661216122952197,0.0014950945106569774,0.0,0.0,0.0,0.0,0.002824067409018735,0.004817526756561372
42105263.15789474,0.0,0.0,0.0,0.01919935020383376,0.08985434872952196,0.0,0.022390867534436684,0.0,0.002214954830602927,0.0009765625,0.013883458610386732,0.0015504683814220488,0.0,0.0008859819322411707,0.010188792220773464,0.023467922474869073,0.045375464695642534
52631578.94736842,0.001661216122952194,0.0,0.0011074774153014626,0.08818869181286926,0.1772168732746156,0.0013843467691268285,0.07678133100684,0.0,0.02333222333744292,0.0006996931461746344,0.04786216122952194,0.02040253583744292,0.0,0.025225190244553157,0.057104126568316094,0.060718467691268284,0.11486726850684
63157894.73684211,0.016158914962303622,0.002325702572133076,0.025834302822969002,0.19710531789510208,0.25455056927540953,0.013521136339351425,0.13869307245904394,0.0009967296737713183,0.0719036461573889,0.012625242534436698,0.10811712735247417,0.08525387666232043,0.0,0.08973334568689406,0.11114765072133076,0.11696669137378812,0.15252525456394186
73684210.5263158,0.04272230312104371,0.023891089695642548,0.10518299905877368,0.2511177327163992,0.2961565133937508,0.05508093160275279,0.23956100696341817,0.052544675705505584,0.12325401781668625,0.07005682810521856,0.17688975770057408,0.1697263611981083,0.0011628512860665371,0.1576408481333725,0.22292014040114813,0.15626503952322243,0.19821792296095242
84210526.31578948,0.089059634221888,0.07815610933171746,0.1668916950595676,0.3069038285442997,0.37452727341585873,0.12865570575576743,0.3427648993410232,0.16026802802680273,0.20037784734921443,0.16397329314593795,0.25057459273827043,0.2554078458749026,0.006030624262844097,0.2844230672989526,0.3419383886448234,0.21179512002791728,0.2571586122803411
94736842.10526316,0.17268168695085268,0.15117714477708136,0.22864825705742242,0.38375454265985465,0.42349691206068213,0.21124582211396703,0.4696633373271065,0.24307485564593795,0.25348855385819963,0.2516824135819961,0.34510120064267824,0.3782841584689069,0.0635890273836511,0.3924485837983953,0.41859974689430807,0.35349273417464916,0.27586882266311435
105263157.89473684,0.25412911919675707,0.21117984951368,0.3654182835629112,0.4246542922677756,0.4784660656366322,0.337621630724117,0.5211818673934302,0.3416375981803746,0.3144247630956761,0.35824975940989656,0.45458626152736,0.4696469240901873,0.12686288786066535,0.47968497765031215,0.5309297292186282,0.44679324184428293,0.3152598119508527
115789473.68421052,0.29685517625465285,0.26628060486177985,0.426641937107921,0.4845274558027695,0.5086434514899003,0.42720149032296895,0.47260975771663594,0.4115665784502954,0.3809356029013848,0.41954451320574226,0.4880395873431684,0.519230116107127,0.15584290258772154,0.5576537679106905,0.582263000784158,0.4792207892251477,0.3572762639899003
126315789.47368422,0.3744989115115349,0.33092514629839537,0.4121794449655633,0.5270019383311602,0.5820736449180879,0.4749829828574057,0.4947159045951189,0.5107951811476099,0.39586022289836176,0.4793329106803747,0.5716944665459716,0.5899562148836512,0.17660707383935143,0.665404132198429,0.6264711734000337,0.5138841454672352,0.4147587826377468
136842105.2631579,0.5327389603506496,0.454965683892163,0.4753565907148114,0.6148040433339466,0.5996039039210269,0.5545586456552438,0.5861713113547032,0.6145921162951357,0.4231192068380002,0.5569694577161626,0.6185267281994595,0.6649047370762706,0.2281748436164328,0.7170590482590271,0.6404687902603783,0.6084312639738385,0.5334981247328656
147368421.0526316,0.6213367863705284,0.5759127925967906,0.5689958429732812,0.6699126499841749,0.5993779676442661,0.6042816341748859,0.5872958650879583,0.6531999963142205,0.41866297206720154,0.6000028066027527,0.59085961656227,0.6671125036857795,0.2482181242628441,0.7131521114021787,0.6146396150879583,0.6594018698399087,0.6084702246076843
157894736.84210527,0.7050754013484205,0.6624436787951357,0.637581154250042,0.6900475414836176,0.6205205309754264,0.7085092681927034,0.6126177938360917,0.6630408189303327,0.4557388575123288,0.6778776057869444,0.6328442961885659,0.6913266115901874,0.3420515403853229,0.7566209433811854,0.67650829854104,0.6982633849590439,0.6814362296107074
168421052.63157895,0.7160014736355177,0.7393907879858467,0.6526862485256882,0.6959267402289647,0.6417430761448234,0.699892461465006,0.6039883515841412,0.7048176688830938,0.504531775815335,0.7347287841120586,0.6416015625,0.7113507553480999,0.40181155217981734,0.7557886181775882,0.7026522734158588,0.7253651288737881,0.6959267402289647
178947368.42105263,0.7478264098022123,0.7620967986511061,0.6561443799090187,0.7471222758623371,0.6501441781210437,0.7207995200751561,0.6505482084533184,0.7108670866060125,0.5294988901661374,0.696896801364719,0.6914934200593309,0.7354831642721499,0.5342743892088492,0.7002841759256379,0.7841168057555308,0.7830790548773684,0.6953477066969938
189473684.21052632,0.7415134451065698,0.7303275797836007,0.6460639552066201,0.716647166624624,0.6490743114017054,0.7403352108688566,0.7001751453262287,0.7421153694638916,0.5740000019443332,0.6764467667344535,0.6234215131426782,0.6943072321672519,0.5660377935689572,0.7939856468475426,0.8218739105393682,0.7898978922836007,0.6749055233688566
200000000.0,0.755859375,0.7236328125,0.71875,0.755859375,0.7255859375,0.7451171875,0.69921875,0.6923828125,0.65625,0.7080078125,0.6875,0.7392578125,0.6875,0.7958984375,0.849609375,0.783203125,0.6796875
