steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
0.0,214.54666137695312,148.84024047851562,219.10244750976562,133.38259887695312,142.93942260742188,112.28878021240234,118.99191284179688,260.5899658203125,161.4008026123047,118.049072265625,149.73501586914062
10526315.789473685,227.5331197834246,157.28326759741248,227.34368186099377,141.9893267317327,159.66702624445477,120.98546508328158,132.84499136050982,272.8712985477619,182.32164019994295,123.12876315245668,157.29432792363076
21052631.57894737,449.1254279309693,312.003500833901,368.28069563106817,308.9297137374363,456.9517543626294,295.64556531050863,382.3154158494809,477.1098528238545,533.2125590887756,232.12122157273862,290.3853254544438
31578947.368421055,496.61730992794037,425.41973702613666,407.4952465601245,508.88030051648457,604.336329036142,540.0917313663583,545.1689304640089,491.0351608405483,569.5865485524537,433.753782741581,379.1318486030743
42105263.15789474,532.1113549890281,448.7933636751862,456.01690644207423,577.885981336525,603.2242650378114,598.0789163099431,619.3767218107662,571.0125693026672,639.8463708845862,499.26171593256606,540.4677564206216
52631578.94736842,588.6450716683079,511.6092992798939,490.7181056578569,589.0001056166237,625.6622708461291,633.0309511140773,641.2594513633906,604.7895615698558,645.2812067943927,561.8900603827017,575.7052198501505
63157894.73684211,604.6178447757732,558.4262628710501,563.3449255736581,618.2322471828672,643.7338293407762,647.8869791087021,663.1865814498257,619.558936536147,653.4757826787283,594.645196725457,589.8875468219746
73684210.5263158,613.7501088324676,586.629260261138,597.2357377708784,625.9150166529698,647.7418844401011,660.2389175455986,676.9546138044869,644.649723183085,662.2778241137388,622.8827757028001,594.4954762823694
84210526.31578948,613.0996648888839,603.3948611790454,615.5854179112865,634.6757564108788,640.7274382979585,673.4178339371721,676.3825437923548,661.6258491320623,655.4033534652308,638.7645239922479,620.2085564711087
94736842.10526316,615.6528947944456,616.327041127345,637.971145133893,625.0547166380856,644.1557809778197,682.0539471328754,675.6592202293906,671.0487028145724,659.2609336349773,645.5975797123526,629.5518256562899
105263157.89473684,630.0732225334875,626.1682626124564,658.4333248230889,627.1003191220133,661.1548333660057,687.8183086050515,674.6701683793372,674.930632638469,660.0994241746179,654.2564303775904,643.886229035927
115789473.68421052,632.4757646104306,624.540495555817,671.7276307398923,645.2704485375796,669.3055521515598,675.7267149655443,663.443464826679,677.6844961651475,671.6125275444787,665.6724672263018,647.9057871350951
126315789.47368422,627.8893806927753,639.6173767125508,652.0252361238167,661.6238901060374,655.59680479121,679.5253000279213,677.536223859338,671.1770563033149,679.7202131140596,661.1352266208617,644.561189595352
136842105.2631579,642.0993264395114,645.231523767898,658.5491157165856,679.724223894921,654.988640786373,684.4806262763253,680.1198874495697,663.7228538425345,684.5385557223225,677.14382542451,658.3936288962734
147368421.0526316,646.8085216062551,652.1926710354654,668.3180018673313,687.4018814600075,672.6177178697243,694.0459019619342,665.4652542371168,669.4780826641252,681.0326395117345,681.9028146323075,659.2731887237517
157894736.84210527,659.6076354184639,636.7523176161536,678.7216357659765,682.3159139020952,681.8008128789323,690.5145414438605,679.4458353849659,669.4844814893942,692.5280730151404,689.4020740165274,657.0993843810049
168421052.63157895,671.4122791554458,663.642005302239,675.9268220890922,689.621251293827,668.2598843482062,688.7441890589748,663.6994251240653,695.262157696436,706.007832392431,688.1368517386946,652.4342379741721
178947368.42105263,657.6261388416766,661.0663172574585,681.0934807476575,688.376321736135,685.9825901985168,691.9252666677464,678.9852036640584,689.8060926724008,701.3625063840042,688.1514031855684,673.8992292526026
189473684.21052632,668.5045819715119,642.8401415080575,687.820515343357,689.2817182960273,688.4749965799813,708.5988571921214,684.9661594312277,687.8147939453495,705.8698664190366,684.0790863941911,681.5440950948446
200000000.0,675.5885080130477,667.5360862487241,672.141855271239,679.0237456371909,663.9277762864765,715.0971716579638,681.18778693676,676.9360035281433,708.9729865569817,689.1909721023158,684.3541965296394
