steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26
0.0,16.99676513671875,23.366069793701172,30.693056106567383,34.52169418334961,23.363529205322266,26.426837921142578,26.89680290222168,41.16697311401367,19.612974166870117,17.98522186279297,35.39486312866211,24.614524841308594,22.86302375793457,33.18231964111328,35.26322555541992,23.809955596923828,18.85647964477539,31.921926498413086,23.126996994018555,22.811294555664062,25.80777931213379,34.156410217285156,18.741605758666992,15.91567325592041,7.132430076599121,33.30141830444336,12.690299034118652
10526315.789473685,18.553819115286554,23.039020248840966,32.013587842352294,34.41793003866134,24.056315812243568,26.472722094805288,28.10976375600741,40.91888151756408,20.585132875162437,18.8998043992843,35.80964175654044,27.66246664678869,24.108192953433317,33.87080828392481,35.379599368741474,24.918488360332567,19.43044409133143,32.347253956824254,23.575564606424802,24.166224388555314,26.65663641674181,38.2859239839327,19.960475393810885,17.61448558739585,7.134031809071837,33.14594188619436,15.137971695463516
21052631.57894737,45.97902268646001,20.97726321639364,54.2117401992185,35.685020024736005,36.471508364185404,30.509201473620955,50.142211639897646,38.65539342458063,37.848945107383244,36.28371819878549,43.87081310561654,136.79263833891656,44.88867406666774,45.07837386101154,40.29805942370951,43.39953095282214,30.0290550058527,40.63027834052277,33.033173394644855,47.132954179208696,40.92221396492789,149.2682506698816,40.329602113514724,44.266422346337514,6.869141510158901,31.633657680303273,55.56191222790701
31578947.368421055,57.34228945482223,48.51030012146877,66.69845095441944,58.93926496636587,43.73760542580007,56.01146005051742,69.53735900831273,57.325716271005845,47.39854622980028,52.94875225544471,54.43652290824048,646.9238825468476,51.361863561139714,45.509805701384096,60.40709510825347,43.64704208041946,41.41186639738793,51.86927446198761,51.14246079003712,53.347289916571654,44.83125004370457,559.651677542281,42.44935257338669,36.139701050517886,7.4524182558183565,41.14633146061503,53.38333899287347
42105263.15789474,57.11636658066528,52.40839955004299,167.42153060634382,67.88999722951668,48.57232930191336,58.1915209314417,100.77165092383396,91.15270360008172,60.977363212410765,58.981384557452564,62.201492406077,921.5674907071439,80.27703397013144,55.33436979811608,51.08298283464526,51.20344997174688,58.78629877090124,59.83847194720173,63.45684264315462,66.55725024343363,54.14521680958053,955.7978443168207,51.0328819175919,58.47689024439479,29.34990910294149,47.80398748666461,54.79158262648411
52631578.94736842,72.29879079206003,67.20855182312285,499.1822477050765,87.66607600907663,65.0357564191058,67.14162977830277,336.2032556642992,208.73623074838824,213.6639814887433,87.45158448947434,64.33257796276887,972.251252152583,104.46242293467812,51.26631672467799,82.23232993646589,82.61933737473144,66.44686252415346,70.63213524168714,54.92741429756223,66.31213001243337,42.248124534620224,979.632914587071,62.8651043257142,60.312824643941966,60.09736811563661,52.194709530022834,57.3729861536556
63157894.73684211,97.35912816511298,343.9121559748528,921.008463645906,302.83230390098413,71.18789911942963,77.04526224728272,885.0107489147344,559.4473160984116,654.6333929287101,102.78373744720568,69.9178318098559,815.4593349761246,367.03145759150294,61.22726792955664,111.49908323519944,114.30132071108372,70.85383277058271,120.3427143271115,49.25210808465192,84.96756867552565,55.209502918588996,981.8926170119948,71.08313157413556,71.85385564749758,298.95472372651466,128.632476449921,51.37645463373026
73684210.5263158,139.9699922403801,833.2753262348123,934.4237402596632,617.6124120501598,92.22258280861578,92.8124757373597,920.33903497441,554.380548374598,906.863086328447,108.87739712784165,74.32934789650575,692.9675617166836,808.6119673400705,128.35423805089957,157.49791491006883,436.2920294094452,70.35051391826855,202.32115121210552,78.71297959267184,178.61407955861824,71.98067652663201,984.6728877582049,392.92809021509083,126.98600387701205,814.9647106594327,443.05137076478604,53.363234056546844
84210526.31578948,497.2824604068768,916.2506013960059,962.960216726953,607.6423863426802,292.3119135358658,148.28159101716042,937.0797254689182,437.39288241149995,914.8746397237699,140.302728355096,77.53385186261418,983.72199183752,898.6243112305194,245.58289955626566,316.0801341586497,845.0331726827119,73.41734300475372,324.6073354175547,73.3451958027903,561.4742318005444,78.05771355929467,956.9838881941713,905.4901332115533,500.9948800277183,933.555627442463,789.5492730167105,82.75808315561089
94736842.10526316,761.211655171294,923.3436098471904,505.82043771526236,907.0892892818372,674.6088647427982,552.5222461930273,486.5873400672155,942.969503483944,938.7101524118901,269.33246833672155,89.55689190509742,581.3134521184866,916.3906940614747,337.7132289404684,675.6406903742424,405.74881997374024,85.65664729040498,531.375485715526,80.56512160605423,901.5225545555932,90.66160216040063,951.882084123976,916.9243701894528,899.0314566973504,962.0473606124149,451.88746771939776,104.3666191733032
105263157.89473684,663.0918041721935,929.8648591599637,580.8415430790417,947.5384930018903,883.7427962460346,887.4680924078764,573.7955177089514,969.6242556268159,678.5125357424454,596.1794462767003,91.79200498095179,641.624794504649,946.6595435954857,421.53766194869274,906.74371875191,519.4093449033043,107.62070188339067,829.0733406487594,84.4010619149644,917.5286398148603,161.16180988807756,984.3404193611357,930.4452465584403,909.7590882279536,978.0110160155309,540.2578151281974,115.06457415495552
