steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31,trial_32,trial_33,trial_34,trial_35,trial_36
0.0,11.156391143798828,10.807920455932617,8.812761306762695,9.716477394104004,11.280070304870605,13.52845573425293,8.649725914001465,6.858755111694336,7.592777729034424,11.095888137817383,11.464485168457031,12.926987648010254,10.15839958190918,10.015148162841797,15.091547966003418,9.332725524902344,13.993780136108398,8.262819290161133,16.17703628540039,14.300286293029785,11.570650100708008,8.978133201599121,11.213071823120117,11.40949821472168,10.921483039855957,13.65697956085205,11.394563674926758,9.973983764648438,9.737068176269531,13.689395904541016,9.222774505615234,11.169979095458984,8.67032241821289,16.54590606689453,8.20002555847168,8.325860977172852,8.136468887329102
10526315.789473685,13.177897573188154,11.249963577124715,9.649891155650659,10.451264270859928,12.07468843268401,13.761748771892648,8.931524353465607,7.312194326902815,8.331694744892388,11.841016787927279,11.690178250486335,13.586880174883412,10.998458730191034,13.539349166650606,14.901690917210834,9.81451129509843,14.349089714283139,9.019898530059699,16.474169447667215,16.10047390580002,11.996875437781462,9.670420199934487,11.495399288539039,17.725007250930837,11.62991465792999,13.752549021579634,12.100765899865994,10.370093178519994,11.720424604351914,16.00489778772327,9.913887026314715,11.959388780781685,9.215191140244626,18.33476718151916,8.715938180329026,8.69809441090435,8.988160550099002
21052631.57894737,62.508104907467434,20.703667004610775,24.96875330363078,24.917261801113135,32.930430849977974,24.45426898148334,14.567831921662073,16.68049619767887,20.095761788854183,34.76923873267263,19.037920014102045,31.206320182892426,26.72350364684068,85.50849730511122,13.853629732829548,20.908330735840792,25.061112508219036,22.771148238599384,22.958529480008043,66.9178512902141,18.950162764793454,21.587948624034336,38.00252713199056,137.21891716068967,39.23192350659262,16.010891074841002,38.71945982111665,30.420845766291237,61.28267024207727,67.76542707406749,21.880502822089145,45.73630822724419,21.57816340237691,65.98382972878433,24.917608657764106,17.080597645523145,26.973410994051815
31578947.368421055,196.25435296076654,60.70802280007558,39.862198017486,69.2928575879567,110.2359527776694,99.17725888338367,56.03153791482929,58.832070190800074,22.00284379055864,129.44806027125537,79.46076984447626,97.82025728839093,48.88385958483552,200.4506183363642,32.29089127175531,68.8167554651519,90.18777251334406,37.622112374696016,45.547951559507794,242.7463333217061,20.982841945163024,25.724404620311102,213.98948909812853,244.14104624926384,163.8065766413126,20.283269888427302,157.51240093267197,147.93224158396023,196.33853886815155,172.01282998032022,26.80514033172806,215.97711825680372,71.93375920957355,218.75535546255577,97.10017249239947,39.89949138084856,77.97988170668114
42105263.15789474,260.5237723205889,194.91102709763598,90.2450718260538,205.3184570922746,201.7754402537095,219.9092583352509,232.3792584304004,200.39354856423725,78.82912327906433,195.73203561180517,250.98415229756418,169.98134619624992,109.71778843888286,251.27999880290758,42.590218926483246,197.2780734393075,235.17283815690357,88.44806895353459,118.08772425952051,308.1595716268402,41.60953222776549,38.67343772221305,248.26904544110442,254.26878859494863,168.30619747453778,27.793776269155945,171.22612887472326,218.0216717924768,236.95766638025353,176.88933732899272,63.66728709551438,261.0947473458636,206.6284359333588,306.2390632853944,164.3385284706496,97.63223590514008,185.40117221360723
52631578.94736842,292.2924010294626,261.3489650575408,191.8944511395825,243.63539114115642,232.43637410074555,303.6486665329114,278.0394896561089,250.01373332763643,179.0756431716466,232.80476648358427,309.8643539590849,183.61536449656262,182.3355512072918,293.1203010705534,68.38374034117216,250.05411497212512,287.6019968704999,174.13174068283837,199.2270873667378,357.3917501343419,96.66317191263892,98.18687130795621,199.43168551582647,403.49206137970873,171.35599301462358,104.8136266591311,176.59777986396548,268.42353522595937,297.05368781065016,186.23481192714289,198.63161136589716,287.45439556992284,274.2220310741349,396.0637839882328,189.48467762566008,205.72555241661553,233.75849999239733
63157894.73684211,324.86247849811156,291.1666877713891,165.01515692447688,311.148952315884,273.14170582324186,388.23472324220097,313.9769850949502,345.96789258701983,201.6393393459743,291.8583995524866,348.96930822474144,225.9420575748025,213.33635461264373,430.6683478948152,162.98404358843362,294.72214567265024,352.47326404070924,207.3959512171488,228.99611117106727,464.85671856925103,212.7591085442216,196.8788999457769,22.358834827798656,474.19702406173934,184.75343119899983,212.8812797922342,181.9900697624089,321.8029895258082,335.69293830995747,215.7583912704295,288.74209006159595,358.4027360200552,344.8670031715629,447.1671428954503,219.48689520243465,230.02297015442744,344.8528176276968
73684210.5263158,442.44944229689,364.57222536974007,200.76925955411477,348.95194782230004,300.68437049395493,428.37684375815445,343.36275955374225,397.45343134830864,217.06519482369404,347.4746538854702,377.46959866843395,262.80690542755036,267.13522058745997,482.5377432824502,243.9531367904922,344.4090620124109,412.0441884299395,283.22164043552993,255.9549446695399,506.20905754688374,272.7548979710674,252.26787336447234,116.31658872567806,543.8032265776083,226.4479555586699,261.1568810139832,192.23963533007537,367.53735052367,342.20415836613927,268.343100579987,330.6149097690127,426.75938246991495,420.11272674551304,524.3272083579999,268.78262823894414,253.97847755397785,421.6586017990872
84210526.31578948,511.8311902287925,395.8250444952471,333.0196521599207,373.41639733248473,347.85406676752086,471.9052493149554,378.65034662125186,447.3388850074726,235.49006340873538,396.9302192942918,410.2321243986199,321.75442920629337,327.56966509647316,522.5187295718206,265.2540416275035,394.13381467037254,465.56855096182994,393.05309611212186,295.6342973583623,539.2622804985152,304.69758352942745,291.2059486387839,252.26340086176126,577.3236830426055,302.3096157256256,318.610599401585,206.61152608771073,421.54283213021023,401.68860317861606,313.9051626144684,366.4203906964067,450.9752665576512,466.32836438083916,567.4092617787813,320.93325745432,259.4844251497961,495.8396427373807
94736842.10526316,558.2579018311818,423.9954839423918,376.4459146266994,395.64210052792384,396.5927364876561,500.88519694113336,414.4711328558314,237.5188647938061,263.01554591619407,429.8114865363635,444.85188072341964,388.68144879628414,383.38990095868667,569.3190462022937,282.34205767338955,441.89654289140594,521.8802650476757,443.5878915072643,372.2153118837243,561.2556943008444,268.9741356388106,318.19763141969565,305.4479804957012,603.9421173779918,366.6000968070077,375.3195198654633,231.15863872135776,477.1814079448127,423.66880229189786,354.08398143934744,395.01938710821963,487.5020740554769,500.19197898409703,622.4146895765267,361.3585859973015,318.6825201768129,551.556564803599
105263157.89473684,594.9555231279944,464.5556758744565,409.5872872717823,410.3220505367686,437.1843093925896,531.6592863111284,456.8713866754582,315.45998598706393,297.65808718686617,455.0765642319029,472.9526703065452,436.42449449138957,433.622343217402,597.7174785582973,306.1328799939222,484.81387891960935,558.7417759122611,478.9400951489187,448.9836883733147,578.1793977761863,324.1359385538464,348.8376812928271,370.64603508261763,627.8670401906703,412.32709667738783,434.65774335590424,266.8324521325962,527.8779376817872,415.0494638577392,402.9634807096624,417.12591712610214,557.8817829382386,533.9198955581459,663.4033303320243,390.22300009978443,404.84966940480257,595.2717395433099
115789473.68421052,619.7398320933459,486.91781801018357,432.75025534274835,435.45345057790627,464.6728206960448,562.3068201908444,500.3498439552711,570.5977741839813,329.07269559177337,480.73927455149857,500.82630091228646,470.46273437885367,478.1454610879071,618.7213051200243,329.70666653314123,523.96898955503,594.7476042893785,507.9888561358082,486.7881216170715,593.6463457897429,436.502467608683,368.6623708036137,434.81753583149236,646.6708411130219,450.6786754119759,485.12717159071786,300.60006705520885,563.5685030829543,332.22474700427125,447.6667198795526,436.97264271495743,580.3598384624373,561.6363152338197,700.486897736375,414.7843798304859,451.8871880654153,635.7770900259057
126315789.47368422,642.8888988864719,508.0338123835355,453.6704345888709,457.9692470333913,489.4806417527292,598.7071707466633,527.9898296036549,601.492628437,358.6810500152884,507.89344802358477,525.06273888584,485.9843099153603,525.1293976759316,638.9051288858345,348.4499974323442,544.5878820524982,630.1211725186113,534.5264496539108,514.1872128727033,601.1351781756593,484.18571247882795,387.5229686531664,478.4208536825022,658.4905342593418,484.5688726726992,525.2579022153924,330.6082535566056,587.566966995308,405.74414164273713,484.1540373900591,455.3826516714783,590.542843036044,586.3024120297789,730.1029785346457,447.76183762444685,491.2808608008224,679.000510143111
136842105.2631579,667.7690704980055,534.7297966298635,467.0632128116992,478.81664579215146,524.7288041519326,631.7442798768054,546.6535434684926,624.1195027834821,394.67358980251487,535.3440549654314,548.4343705453041,505.97364245474836,562.5814224740806,660.7669069742232,373.8920703536091,567.7081403256784,659.5316195471465,559.5362949044421,538.5580701534108,618.4919111233339,526.1598581400935,412.59828640045885,508.5501926025361,674.4655520207664,510.89158967896844,552.1368614398872,363.518573543124,607.6962114344674,492.28282026529644,514.837141690492,469.33060228750315,588.490109862218,607.6133281662854,764.3110888369196,482.90789699892923,523.8725399022453,717.8653372441963
147368421.0526316,694.2493228555717,559.593796984971,484.36748664250337,496.92863041426665,553.8149584548295,661.0842040750789,563.7523419536712,643.8921631789274,436.3274641424996,562.4002343914846,572.168318073175,521.4693369422923,589.0917433206395,681.796069154779,406.84483813892774,583.785268441792,686.8236717197043,583.9625429265056,556.8338410728857,632.1821973680459,551.9432295362706,438.0083805066727,541.3668242108458,684.1279376556998,537.323019481762,579.9315852055589,396.00613546041245,629.2057470634703,511.3652835816888,553.5171955028069,487.81493717415515,613.6559259343346,626.7586525440877,797.894250366166,509.79577544207723,550.1023049849883,749.3706637237872
157894736.84210527,724.8208233477997,591.3907402694391,505.987367031812,513.5282465233532,564.2648688449093,681.9975654487795,574.2334130592953,655.871514802164,471.5310305232322,586.1596334891967,585.5814126954515,543.1149526466293,603.6626505296977,694.7037738954592,434.5522229323097,601.1725562095972,706.4842812666602,610.2325163100566,567.3284456525153,638.0650741996197,577.1992026532786,463.00207118619846,565.7667492775046,687.0987154420393,558.1035211627833,605.3309385050037,423.1213259865373,648.2394880914952,509.0712353700251,579.014797207061,503.0946950615278,626.4267833061166,644.1773533730295,829.4861092745763,544.1795190884797,561.0367463132021,770.0340091617484
168421052.63157895,747.1769538414445,611.2208555702357,522.3806895892706,524.7756243940865,593.5728045804349,706.2047926144587,582.4863302014211,668.024853922984,404.3786510087116,609.7201468845484,587.5710703250113,560.0012359170042,623.2460845989534,699.6777908610505,464.170869626497,609.2094978638963,727.1450125992793,635.1557391317267,594.3591749344506,658.5674642816475,598.8319804886371,480.841851855249,575.4278805064363,704.481843103002,577.3287593651346,629.9140391521507,441.71175313194044,662.6144399352352,553.8114707119908,614.9774916271093,515.932713714663,635.5546669259957,655.1610355297945,849.2924770952262,554.4189078735183,589.4877410027459,784.2750481687424
178947368.42105263,766.9079064289289,640.477187186232,536.6080645179154,549.8153894337261,593.9377770854826,686.6535353769556,604.7659315153172,684.0015954097883,344.0547195734079,628.2543021298511,602.8324582406689,582.7367480479779,641.83104208087,717.1492570085538,488.2080464043611,624.6078147141887,745.9764666091702,650.0033789858263,614.4151817393436,674.2646270562738,603.3314304218068,499.328359372563,606.7394772044839,717.8209725331071,593.9421068192189,650.6492979017981,460.38846321152187,671.6021611175379,584.9966846291709,636.2069589492356,542.5366247329355,650.5201940156746,662.6723756223835,858.0574775054184,604.1317248925608,616.605807040867,796.8805831102784
189473684.21052632,794.810922662307,667.1241878822569,548.6909790593832,560.7267333460646,629.2098693728777,734.2208164018938,624.3433623858766,690.3751826966568,379.4832185014793,646.3334805242242,614.6786933338212,600.7066448890602,650.079383307877,731.1026830359509,511.1969810717654,634.4854927888538,756.919580560642,663.8606402798042,639.1243812601982,689.7026151336131,635.3175793631916,524.2316527221342,623.8670907889046,725.4555960051571,615.0312385248676,661.4931016176362,476.41101609224097,697.3956998196995,603.4285609946687,658.6314776950926,564.5517539410049,668.1956265226955,688.3638581770609,864.6236720118166,627.4381214106182,617.6615540211881,853.3384464394683
200000000.0,808.6571374598302,684.1642359777501,559.9816182945904,579.2180123046825,638.0039479356063,761.8033181899473,638.6480085379198,699.8460182327973,326.76737258151957,661.8658742810551,622.8570048401231,613.1716227154983,663.1431623477685,746.8813414103106,533.0216681769019,642.1091801869242,771.6115817804085,675.4380516158907,658.1570785861267,706.161169378381,652.5377562830323,548.8031156314047,641.1999460678352,735.0396710508749,633.5462806162082,685.3223661717616,492.6276974458444,731.2105596128263,613.0177045370403,679.4506369640952,578.6439177833105,676.3580022203295,704.0469220186535,873.007250619562,650.3634633233672,647.2986978700286,871.826704837774
