steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9
0.0,924.177734375,951.61328125,967.0517578125,953.4912109375,935.9326171875,919.3447265625,953.6005859375,902.75,928.37890625,882.5947265625
10526315.789473685,925.5006715214483,951.9551595281035,966.8562880486993,952.819692006732,937.8104558928852,916.9348003329333,952.2843490294142,905.4124864541262,930.0732359476697,887.0601862487371
21052631.57894737,946.9863919657023,955.6144547343584,963.1826540400117,940.1947626446753,968.3547518616568,887.4031041639333,933.9589777336226,951.3616428428079,955.8863307762674,961.4222096472236
31578947.368421055,940.4263011187397,938.2563852009021,961.555450679853,935.6603343361303,963.2388552034331,967.0977863935223,963.6912930401409,953.6890228937207,942.2261602370032,958.8009000603843
42105263.15789474,936.630832249438,935.5413947065781,969.224966498293,969.9756076210424,963.6491158292564,958.2415244612337,971.1415470049321,917.0308892733502,964.7142152865507,946.7938207589358
52631578.94736842,961.1560607603712,953.0447016713362,964.3635860057419,973.2048969400887,960.1900206008446,974.8335631494707,967.5414851075064,968.9599527665453,962.2490159190593,961.157563531828
63157894.73684211,959.0878930924011,960.9143118501701,961.769789127762,973.5720685129351,964.8213822267062,971.9015242610942,968.2265221762195,967.2857698139392,968.070988615464,969.4884359460128
73684210.5263158,971.2100406102527,956.3198849210448,973.8537694503066,973.9848342377724,971.5858031508004,970.3269731621994,968.3922721857509,957.8809481644564,971.5365475974255,971.7468853710101
84210526.31578948,964.9806925173941,955.4043068080067,975.92052757707,972.4480736856646,972.6918395193,973.4286548899812,974.5575682198902,960.7607092606394,973.3471074830792,970.4186269279332
94736842.10526316,967.7790920807054,971.4065913123767,975.54236572403,973.093062694053,969.0979706323047,976.0138154016637,972.8374102241114,972.4976556809655,969.745069049402,972.7483968787576
105263157.89473684,975.6566747786926,966.8369206933104,974.0131935109061,974.6024195758259,960.5270960694205,972.3204432352758,966.6573218295449,973.2758506341654,969.0689300473707,970.2151567982174
115789473.68421052,977.0892254361816,966.0896065756885,974.987388021728,975.6100778077778,968.7464054297873,973.687145116917,971.282551894888,975.892602923174,973.4854880462393,969.6584103021595
126315789.47368422,975.2632173131377,971.8256548619997,976.5069098327299,975.9344448924395,973.3596826695999,971.2739071093107,972.9452501016971,975.8600848295682,968.3706283252325,976.4515186531722
136842105.2631579,974.8084673472058,971.3603035881908,974.9471792236919,975.4358807402634,973.1414840888449,970.9127191163166,963.9227318459931,971.5262202952377,970.1593910967545,979.7591721674742
147368421.0526316,972.1728829307239,975.8469085165008,974.8901096301726,976.412499562525,964.1260927522611,974.1427200190578,968.9195514689522,973.245801286354,972.9659762976903,979.3237972523697
157894736.84210527,966.6055052802174,961.1847398234867,969.1914357927698,975.901577621946,974.626937974523,970.8069709001155,975.5690925841186,976.0156522972762,977.8387697885571,980.8643093267636
168421052.63157895,963.5930868978315,959.2049442618837,975.0773795172779,976.9476862349999,966.8856839420392,974.9552432665204,972.5551186347602,975.9615691124237,977.2823637647972,973.6821771764359
178947368.42105263,974.532784712942,964.718908391831,975.0009716593988,976.8885956233228,975.2975139010316,975.6441498146163,971.7846609046915,973.8320299106291,980.0419187915622,979.5686827049361
189473684.21052632,972.1210536903952,980.6792719780243,977.2865909671519,977.4263382803371,977.2523014142573,971.2400499011011,969.6160359210916,970.4539650734772,974.133577811751,974.4816528595055
200000000.0,976.1458600696765,973.3897362759238,967.9442394658139,976.6097735354775,977.0943785215679,976.3064161099886,967.9217113695646,976.1706164510626,976.810039419877,977.3092422987286
