steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8
0.0,14.174375534057617,10.455537796020508,10.818490982055664,15.313043594360352,10.870092391967773,9.880674362182617,9.46033763885498,10.745782852172852,10.342428207397461
10526315.789473685,14.109815981718931,10.779759920756861,10.892061388112316,15.446131123725191,11.052012753613562,10.257940112724075,9.87180838094369,11.647581054403387,10.566722774733673
21052631.57894737,13.88980003082067,19.56149072396128,23.03497171486081,19.82317919954864,13.780190952762013,17.653182147509337,18.318747180692046,30.945331767758674,13.987877132546497
31578947.368421055,21.230953911298737,71.46754652515594,118.05334529094915,58.289040108796996,13.350382276508867,35.62435512388142,39.37732599833543,67.21356146464801,17.368213277916404
42105263.15789474,21.81493303939246,205.72450191938316,164.87870378523982,164.58750651698364,24.532859287474956,83.93156843461158,112.50232868437294,108.23124660126392,45.59460767711464
52631578.94736842,37.92393764771954,247.1835323328209,155.00032296343358,182.38186064197416,43.271302566066424,97.77943622289932,234.45782729116502,215.1691512569909,51.48434038636716
63157894.73684211,121.53704160823389,286.97803751335914,145.82071533997305,233.7847396260814,108.59153904272584,131.17159268544822,292.83896247881603,267.277177484412,100.58593718691057
73684210.5263158,120.23144328947126,354.2701231816634,175.32107040005377,284.351105157771,195.52660090358637,200.38069549467096,363.005796635993,263.20695636910574,178.57333109005668
84210526.31578948,115.30669494926767,412.6149080176103,184.8231089217511,331.5002158606152,257.6682113755773,250.15219044553277,433.5850163536389,233.33808192354823,225.27303366383688
94736842.10526316,202.82471903564198,460.3451262622494,194.23777519455413,387.83007560220454,322.6072368819958,300.89247482965527,485.7707964806015,282.361593947929,265.30532875417674
105263157.89473684,248.77721173660908,488.3849844982089,205.48483624823206,453.09825223568737,379.5538576332816,348.6231701228757,525.9193118170027,261.44495771672587,298.77257553444673
115789473.68421052,297.13982901125735,514.3448526600887,234.7163786443977,486.1174295960701,422.0431274490178,384.989336588211,551.5126563180187,291.1709241378753,340.9638246760969
126315789.47368422,271.48270136497683,547.1572698450485,277.27677946754443,516.5170861710473,454.4704991443666,414.8225156118335,561.9000026968378,360.56210992144753,371.71279311081054
136842105.2631579,349.16212270654484,563.1306217522502,312.93146740515147,594.2792121137279,484.20418944566865,428.5942252684498,600.3228808387165,475.51880354737654,394.13952679366616
147368421.0526316,391.77720198885555,590.8543687731936,347.846442262882,637.231397990705,512.0697706650499,446.69318198777967,622.4568908482047,506.77875074669925,415.19633392828655
157894736.84210527,417.69059348188944,607.1622489994583,375.2056419746202,664.329878656818,542.1304847148978,460.1302132339854,651.9634725784991,494.3555748266196,444.16573044905374
168421052.63157895,439.91092872355455,632.3114037817535,398.0186243493141,690.1495959157759,571.8923691672962,473.0878628284317,666.9897841033513,536.6695240290211,476.3304566108619
178947368.42105263,458.25647583851526,656.4710388949703,423.8451800823542,700.187501256816,591.7390569397287,489.1596132762875,679.6591563318905,573.1053301102567,496.2490741461928
189473684.21052632,471.5643799318171,680.0994152259959,444.5778455336338,718.7421222938395,618.4318762347309,501.20285299280016,708.7796383237575,576.0939770180763,518.8000375091865
200000000.0,490.0044948866493,703.7219961850267,460.349917676888,728.4401457027385,644.6660560557717,518.5801771094924,724.5998851719655,602.3650144840542,541.491047862329
