steps,trial_0,trial_1,trial_2,trial_3,trial_4
0.0,223.5546875,130.8515625,159.3828125,190.4921875,141.140625
26315789.47368421,954.9651700739275,962.4461565519634,952.3276083427563,948.3646138509115,947.8872972454941
52631578.94736842,971.4812782689145,968.4821536415502,961.1402063202439,964.654236910636,967.3486992016174
78947368.42105263,971.9115785297595,969.5484129253186,965.2631161338404,971.9812782689145,967.6332293058697
105263157.89473684,972.8125,970.0859375,970.078125,969.4375,968.625
131578947.36842105,972.8125,970.0859375,970.078125,969.4375,968.625
157894736.84210527,972.8125,970.0859375,970.078125,969.4375,968.625
184210526.31578946,972.8125,970.0859375,970.078125,969.4375,968.625
210526315.78947368,972.8125,970.0859375,970.078125,969.4375,968.625
236842105.2631579,972.8125,970.0859375,970.078125,969.4375,968.625
263157894.7368421,972.8125,970.0859375,970.078125,969.4375,968.625
289473684.2105263,972.8125,970.0859375,970.078125,969.4375,968.625
315789473.68421054,972.8125,970.0859375,970.078125,969.4375,968.625
342105263.15789473,972.8125,970.0859375,970.078125,969.4375,968.625
368421052.6315789,972.8125,970.0859375,970.078125,969.4375,968.625
394736842.1052632,972.8125,970.0859375,970.078125,969.4375,968.625
421052631.57894737,972.8125,970.0859375,970.078125,969.4375,968.625
447368421.05263156,972.8125,970.0859375,970.078125,969.4375,968.625
473684210.5263158,972.8125,970.0859375,970.078125,969.4375,968.625
500000000.0,972.8125,970.0859375,970.078125,969.4375,968.625
