steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
0.0,903.0355834960938,957.3533935546875,905.6842041015625,951.5264892578125,940.8815307617188,934.7906494140625,945.892822265625,947.7091674804688,941.1868896484375,956.1585693359375,946.8406982421875
10526315.789473685,906.0645653747456,957.8340802833314,909.0525828167342,952.2719599929873,942.259713726856,936.893032626267,947.0661530567338,948.7021698005642,942.3713055963001,956.808187900818,947.8324823371261
21052631.57894737,957.6411581518247,966.0910356516983,965.8726900109293,965.4776981695867,965.8098872249476,972.1668570236486,966.8757813449051,965.5430998412526,961.9081914996176,968.0938540261208,964.3367191652181
31578947.368421055,967.3677542305389,969.128023687327,971.6418982664965,972.0224590961953,970.9371193432742,974.7375669793079,968.9307320725554,968.521111611184,961.756835982575,971.9691843159311,964.4532287520385
42105263.15789474,969.1127596410028,972.5162755458969,970.4601704942222,973.5001165919687,972.4348424332954,975.8849232454379,967.6830758077616,971.2126550938614,967.9552279898995,972.7882902826959,966.334479334612
52631578.94736842,969.0292673888629,969.689299822349,972.6322247744267,973.9558263744674,972.9359523868627,976.0144432353841,968.0623347212734,973.1031517013288,970.7047900948828,974.0810224920759,970.676761238859
63157894.73684211,970.7062879345093,975.828490647913,973.8453114435613,973.2239018675363,971.9114606496039,976.4050063320805,972.0060043021252,973.007443267883,972.1326292868796,975.9966536185748,969.2515617942546
73684210.5263158,969.0834404131052,972.0704415012925,975.8177928766055,973.7420570812398,972.4537504389675,976.0493669836806,974.6274703145027,971.6457555581328,972.7053963081328,976.0029452235085,970.4536338836533
84210526.31578948,973.2338006344528,971.0202945328815,976.1333574812828,972.4628331813126,974.4339941096108,975.802655739137,975.1012455221688,974.4444039891631,974.8551975868415,975.202907800014,972.0672304227412
94736842.10526316,974.8897122593797,977.4828694930037,976.861202410879,973.0823712071553,975.5535910781731,977.4558431998184,975.0733576763699,975.9192705273298,975.0689370618962,975.0358962421602,951.4619907584877
105263157.89473684,975.1583098671773,977.7263309420641,977.0109901504173,976.0472654503799,976.3496296105293,978.4240240608226,975.190320388432,975.1534712994858,975.0555115944791,976.260414908137,948.7193119687716
115789473.68421052,976.2560037772411,977.3436908982798,977.0734279438069,975.7063675567384,976.5983694512759,975.7205841689889,975.5846724599352,975.4746092392797,975.3029445579838,976.5540582037369,971.0325476964755
126315789.47368422,974.6342865548966,970.1373153697091,978.6307423227051,975.448462057642,976.6021597867527,977.2043919470832,976.7345371418052,976.8041721288517,974.5476903413471,976.9586135608007,975.2728306104602
136842105.2631579,976.0261582372261,975.3061474799449,978.0290736077235,975.3921111780851,975.9418240138368,978.6929326595692,978.3465596620727,976.8579784674657,975.4194084315088,977.4031395570393,976.267130366818
147368421.0526316,976.5596802614402,978.3574695722548,977.7592740309866,976.4053989100654,977.4982920128883,978.37268578709,977.6928383148278,975.1871623114536,976.537526927166,977.9334492561229,975.1785900675359
157894736.84210527,978.0819845780771,979.8736353823683,975.8181518106579,976.8014001020764,976.7577921086071,980.0022632791726,975.8532078208356,976.6430005872019,976.4019499577975,978.0151551702677,975.9875383707295
168421052.63157895,978.0414407074946,978.0793227488974,977.9827117048142,976.2592108401566,978.0976505015366,979.62884569036,973.2406378769808,977.2077008139064,976.3942262089483,977.6815326695958,973.8602830617382
178947368.42105263,977.1987369910831,979.1245540573657,977.4830048959341,975.7393301862429,978.176803090896,979.5570536212908,978.0552599433387,976.9828905499543,975.1619754544256,978.8606596336471,977.2682591392723
189473684.21052632,976.7162712218028,979.8441162109375,977.3954679216374,977.9537063133683,978.9495150072092,979.9603225963598,978.0274870547562,978.8726105287135,977.4856093682741,979.5814872795195,977.8272700831501
200000000.0,978.2497551284338,979.8441162109375,978.8676371699885,978.225169263388,977.7803371140832,979.5897996739337,977.8910653653897,977.1994169605406,971.8344675710326,979.4578795056594,978.208835686508
