steps,trial_0,trial_1,trial_2,trial_3,trial_4
0.0,126.3828125,69.0625,77.953125,87.1328125,51.6953125
26315789.47368421,911.8656559994346,914.5441019158615,950.6302265368009,920.0530042146381,877.5173677143298
52631578.94736842,952.9576721191406,953.5900032980401,955.0525828579016,956.2701303582443,946.4788566723205
78947368.42105263,961.1613616943359,942.0797793739721,958.0139850817228,962.2308261269018,948.418676275956
105263157.89473684,958.140625,933.8125,961.6328125,961.875,950.03125
131578947.36842105,958.140625,933.8125,961.6328125,961.875,950.03125
157894736.84210527,958.140625,933.8125,961.6328125,961.875,950.03125
184210526.31578946,958.140625,933.8125,961.6328125,961.875,950.03125
210526315.78947368,958.140625,933.8125,961.6328125,961.875,950.03125
236842105.2631579,958.140625,933.8125,961.6328125,961.875,950.03125
263157894.7368421,958.140625,933.8125,961.6328125,961.875,950.03125
289473684.2105263,958.140625,933.8125,961.6328125,961.875,950.03125
315789473.68421054,958.140625,933.8125,961.6328125,961.875,950.03125
342105263.15789473,958.140625,933.8125,961.6328125,961.875,950.03125
368421052.6315789,958.140625,933.8125,961.6328125,961.875,950.03125
394736842.1052632,958.140625,933.8125,961.6328125,961.875,950.03125
421052631.57894737,958.140625,933.8125,961.6328125,961.875,950.03125
447368421.05263156,958.140625,933.8125,961.6328125,961.875,950.03125
473684210.5263158,958.140625,933.8125,961.6328125,961.875,950.03125
500000000.0,958.140625,933.8125,961.6328125,961.875,950.03125
