steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
0.0,372.5712890625,316.818359375,327.361328125,262.2548828125,410.0048828125,265.595703125,423.8857421875,383.1884765625,314.4404296875,351.12890625,379.318359375
10526315.789473685,374.4493492633682,319.7789787493254,327.2079978768515,266.4702187244912,407.15451281486787,272.87210661288447,421.3881591205121,392.5005896613208,317.7938159271621,355.31018723147065,381.9975687380973
21052631.57894737,418.04341393890803,382.1866419731415,343.15099192061916,350.83509399223857,361.2032927093083,404.22054914754517,379.14403585713984,557.467943804416,378.71921632296494,427.6459187483854,430.01228189336297
31578947.368421055,517.8877600672503,502.62296987570556,481.16295642799946,469.929890680181,378.8846571782289,489.3907685768571,380.0122423304085,619.6140088929363,433.6100416975999,443.31248302671054,440.87621820402273
42105263.15789474,520.5119043915556,559.699911048868,452.66030000385484,511.86576547384925,419.52554975388125,496.6893540802425,439.5290390289391,561.8659230916454,492.24075024676125,440.0023063913277,410.66335636889175
52631578.94736842,488.88625223682857,499.7341595541407,479.10429608986976,501.0891420887448,467.24673003569205,461.1321840471178,536.1059231322228,650.4101535923924,458.2540213619243,518.1755495520509,611.312248790033
63157894.73684211,602.5799186209894,591.9558640741575,512.2906566049254,468.5052238950439,468.8764280387899,496.32923614417416,584.6996074158731,717.7366847727768,491.301022051444,482.31480159918027,651.2937911448386
73684210.5263158,762.5991601362783,629.0334586331059,519.9076083492374,562.6754279731053,407.99162069780346,541.8860441376959,665.73341070582,793.1729258619187,504.6113182263361,494.29531225537335,614.4043209519743
84210526.31578948,754.1795609069993,672.3250686349631,592.8157045147756,634.3544311734778,440.51361791975285,697.5088568605545,628.9135694847213,781.2541190910867,502.07213994076375,524.1321192183983,665.9270450877351
94736842.10526316,758.9655493818161,662.2182179078501,647.3007280027437,667.2501653132347,483.1481142440331,688.9134947731884,673.5908536303407,685.090335119464,506.4370703974589,503.1861115875667,582.2042321181364
105263157.89473684,700.8105836535425,617.0873769353301,607.8094271820999,684.2760055890705,494.600185917355,676.0875894012873,693.8578106359762,630.5354550380125,548.8789963867525,518.3914338901762,636.5977391324875
115789473.68421052,706.3503882865166,552.8666546179647,642.8700224725824,699.3266110248513,530.7487795636924,766.3890561502726,714.8282948412063,721.1841579659164,662.2523603571418,541.7651823683128,666.2984370789039
126315789.47368422,736.5991934356266,615.7629987975569,729.5074424743653,696.0022484734448,553.6501035399715,716.1370182195858,694.0146448341433,822.7526871213623,735.945195818872,536.704842934648,665.2534916315053
136842105.2631579,695.6269961037464,734.9576343605064,663.6351041873074,722.1400838439815,501.42468490759086,670.3864606318381,754.7201488183147,733.840951729349,691.9212346407185,523.1365748270726,620.8157693487785
147368421.0526316,624.8124440475843,784.6616604030958,764.8304919192667,533.9081499094445,518.4931248271234,782.0241798918664,762.749405097433,660.8255203490112,690.944780952052,517.1953787552683,818.7839343845021
157894736.84210527,777.8514633601394,584.9711003105394,687.521616587018,719.6508665798115,481.4100740385187,777.1227039062416,731.7806695425609,701.9329992436967,653.6565745689202,566.3964785420003,676.0873322711425
168421052.63157895,648.3781713765743,815.3526577090954,784.0706953645744,606.9657461742283,568.7747206753971,738.4335601468496,623.551178908414,610.0131436926506,700.36610763423,580.4426522717251,708.1026468884581
178947368.42105263,747.9840369264175,885.3808432470729,714.4975721591727,622.2462412974181,597.7824690652355,792.1149527425581,784.7915914303048,670.0581138167025,645.896312996291,608.1763083122444,776.5111346125933
189473684.21052632,811.2737823285555,613.3866501277173,688.6168627540821,704.3771072873778,532.8953784562214,723.5393677391834,812.5345982369294,630.578780277284,785.2825425166502,553.338838767477,662.332549821637
200000000.0,823.5963150827508,679.8513783404702,805.2132682800293,786.0689587844046,526.5029132240697,679.7451395737497,823.6962912710089,737.4803817146703,715.5145847922877,670.64463148619,795.4319898705734
