steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11
0.0,386.078125,162.998046875,262.06640625,311.708984375,294.9169921875,376.94140625,353.75,334.91015625,265.498046875,354.0908203125,346.103515625,326.1201171875
10526315.789473685,388.5672912386316,167.03862285085663,269.6694048276568,319.8219209285324,309.90254596329794,379.23565646353853,357.5346933190512,337.0047836594304,273.05320242831584,358.6152531711018,349.0084288853357,328.4825326359503
21052631.57894737,439.7808385621808,250.4121627332101,398.03142084771576,464.3477404058145,564.7835628689161,419.7997001109031,424.92378845637523,379.33325709398434,404.7985989948389,435.1094544851879,406.7920629971576,371.6749895101109
31578947.368421055,529.7001463765913,386.2409618198046,428.0691618668406,585.4398928269786,640.5930814584538,474.2666110331993,498.4912581509831,478.86822252722664,450.75639307598,445.0191689752806,496.9912021008225,409.4117642162249
42105263.15789474,597.9594190074466,484.2081334756022,542.0878243908658,817.1737158291888,810.769202034229,656.0760499526259,721.4611448039639,695.3244867826763,449.0479972712551,531.5966893880321,618.181680758574,437.6121364181392
52631578.94736842,625.3840156116644,692.5014207211227,669.9565016067589,803.169727526213,846.3735287262132,712.2951240381045,849.7793061211498,750.7098088251256,490.04675955257255,834.6747202014659,785.159082832759,425.7142503479511
63157894.73684211,729.1785473757504,796.1620393525861,684.3789823643059,777.6261176006286,837.6434637846379,816.5444255152568,868.7394846126313,746.014501106706,566.2394778021816,848.6512863180313,835.5697667129813,462.4862068155135
73684210.5263158,815.8403085671633,847.6178047782497,710.4565605311512,898.2935414168974,886.5284248415453,878.1292169813964,848.0667751687386,796.2856597530546,656.5075181844823,831.6025709062402,801.6204498613309,546.5811968272413
84210526.31578948,799.5860133501301,841.3054657405103,748.6652837103425,892.8826591935515,879.2481295725645,890.5313181150653,882.2777224511651,888.5572682008188,781.7047021712623,867.1772253189721,794.4461904721247,668.0991921887173
94736842.10526316,835.4128726393892,853.3239311392617,869.5693598348348,854.0429232774349,858.3191554394455,879.414857896081,875.9197038322935,882.8925597647881,827.4033320947367,862.4978622505209,815.0237890016339,728.2393049308798
105263157.89473684,842.094503587633,860.5014295657255,874.9426777329802,837.2620346988667,856.4949485430096,886.6104086508711,860.7740206625983,873.2034166711189,830.4151924799023,869.8195058817348,819.0981667642778,820.8545119848278
115789473.68421052,859.6651745370881,868.0130773819054,852.1886012296598,861.6208071246372,888.9698962531261,898.0359676022939,852.5892256237463,887.3261133363042,838.2187517197839,878.7182128145424,862.7816046506084,796.8137521585269
126315789.47368422,845.5018377858846,867.2660240215607,875.6192956327402,891.079483930424,930.030474464649,900.2307549051301,860.5965427388114,843.8275964900727,839.1220402915723,889.5485990106895,880.3198141061038,860.2792519651293
136842105.2631579,839.0260626906503,875.2200190023702,831.8704981156662,905.3779837510592,903.5002556534024,870.644225136395,878.0566275113177,873.8123024573288,843.7212006048483,737.7751508723334,829.9346645730353,821.3502309091202
147368421.0526316,827.4997176172991,893.7440235370415,878.4425211084847,918.4476114098716,914.407285632189,902.3655932048682,839.3960184799997,876.6573778717801,841.4548324098878,861.6659972436543,782.409413255813,884.4902435471807
157894736.84210527,869.9945238039435,923.6305390011901,877.1527705892631,902.9363128736078,920.742189631898,922.1014612546588,906.4994385500034,885.0700454077893,836.9985888288292,876.6453263132196,854.1056834350333,854.0060316466228
168421052.63157895,878.8092440026619,919.0259997085191,901.9188558731713,903.2939786620417,864.5425080698283,897.309111745734,883.5140273075684,858.9776400832918,865.3408291042676,843.2428286650174,860.74733786966,831.5192097164587
178947368.42105263,854.2732998089778,883.4248647663402,917.1810350840772,865.5549442867162,914.4711291902283,935.2009892925992,896.7351292005206,922.2414232343848,847.1343256060106,908.0019396995904,816.4027422484929,862.305170180725
189473684.21052632,887.5998943836074,880.6671985087303,819.0773241196313,898.6252040598862,945.5518051633544,902.557137095697,914.122356446496,938.7320943393865,783.3093554002756,881.4349004581694,862.7350962155414,889.1696733754758
200000000.0,852.9067188062166,892.3928894745676,868.9733632238288,892.3735999057168,899.1619361576281,884.2462756006341,920.7841493706954,911.6570734224821,901.3484051854987,860.5244750474628,854.2251187374717,910.0443747671027
