steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31
0.0,568.76513671875,421.7705078125,565.8310546875,545.54443359375,527.92578125,520.6953125,360.673828125,565.92431640625,593.896484375,609.39501953125,596.48046875,630.71923828125,331.86767578125,623.24560546875,400.11865234375,526.11474609375,574.27197265625,322.76171875,596.9921875,470.65771484375,623.7314453125,500.8701171875,462.912109375,443.43310546875,525.587890625,580.7880859375,360.01025390625,459.0673828125,522.56591796875,584.3388671875,444.98828125,435.57421875
10526315.789473685,580.7075917397179,432.3670178437167,572.8876792823179,553.092141361448,532.060188249868,528.096750188072,370.8370653044154,576.2239117424243,602.1973598459091,620.4481701877309,603.5307807235506,641.0594503516305,343.73293962637143,632.5721711478405,410.49330696174644,534.4954983732376,586.1619609346681,337.0547115241392,603.9773798015309,486.9177259421415,633.7791725974995,511.3106390247715,475.48015070093635,451.2219664436298,536.1863387416935,591.3707248140901,380.93144363709763,475.1475949525173,531.9954790474635,587.6825353128428,457.4200474799835,446.8451271532645
21052631.57894737,787.7858578901212,623.928137277302,702.7830843436751,695.8486036078751,631.8837747573853,664.9158895022321,555.5354896450307,760.7223620454361,756.114194904338,817.065872200308,732.7501549258457,821.128896863837,554.3915526265913,799.8191536879606,600.5826259016,692.4816008935014,793.1836117139484,581.256160453416,725.3444788396523,769.5187503148975,812.5635413753689,694.9947673052632,691.4403828676387,592.1860821583925,723.2334496136187,777.6765168367,742.646468484831,756.0543758994654,710.9736147719407,665.2870670461258,680.7939713866426,648.6457837545971
31578947.368421055,863.2756980172155,753.3437865328591,820.8645857628693,845.1569674827385,882.8945929997516,784.836349614109,694.2066859366821,873.7693536710872,885.4920135125559,919.1772433951951,835.295593051699,890.0318707746152,673.5299223149583,900.4769142922272,751.1150390408376,846.5763699341348,871.0248946615203,657.7411791624455,776.6415710753021,868.7560624230932,909.9362911160963,784.7460666085875,766.717398107217,697.4058357592766,823.8178679593052,868.1743066779794,854.6462294639313,867.8528472406382,890.4873993456199,843.5128114639557,819.1997936557865,775.22579427307
42105263.15789474,914.766612731849,814.4931476624719,923.3190621193756,921.892946364807,927.5586502571846,859.3108870117949,793.4831503553734,926.320543991892,915.2036353029373,934.6966347839693,882.0859985827079,921.9589755779489,765.5250904896914,931.1904918533282,826.9744854343235,894.918913542729,902.9855228910155,806.0232034931553,846.351234937969,894.1302353074346,943.2538021172182,848.1406074006142,877.6105611542255,792.2443884429509,907.3496645665896,923.9783773237318,886.4546358367413,906.4038169152849,927.2937256609634,881.4241393345545,873.75558159424,860.5678809422205
52631578.94736842,931.3364165760473,864.2345942909368,936.8560563586756,936.7030641022151,943.3679752997084,906.0131624596931,864.419201047797,938.7599225942448,922.5028353648833,945.5969753265381,893.9871790164725,931.2264197130282,834.8758250194243,936.1285645757025,863.1414706806066,914.0132291878359,917.5401653596239,885.0303950917357,908.8116235666988,909.1884196048959,949.3440127769005,880.2672848001412,906.3620700400292,859.5868616685312,921.3803006367671,942.6322878338293,915.569728300512,923.1745864677957,940.7185132747873,907.5636327326133,912.1453910494776,903.3642179919742
63157894.73684211,941.0052860793645,885.4906755325867,943.9305390809711,942.4465311240622,947.1826193246815,931.6252009003447,889.1270747594226,947.3974668180513,924.5909629462499,945.1358191022582,918.0118339015506,930.7889151427885,871.3941381776763,942.4780432365608,883.1642406680247,922.2135771912551,922.2855147602155,912.4090285710681,927.8998927647388,925.6215516933114,949.288282156651,905.6506693435838,926.7905834282534,897.4954344651705,940.1911423728077,943.5399827534472,929.3775352493877,930.9954600954981,939.1882881312489,924.3390078003057,915.8107966029413,903.6620907981641
73684210.5263158,941.0327712294137,892.3391976660308,944.461455190611,952.0906367605743,949.1411730444003,946.4726024928846,901.9219828761516,950.8516844091653,932.2819238382693,947.0261304107729,936.5031821404137,933.9301120713146,892.0928504156605,947.6302016580535,888.3911806011464,925.3573175176689,928.0801818337798,916.5107440882442,932.7395014353406,933.5305320417451,950.9285445252945,913.3487832618882,931.8339784151959,908.1615839691374,944.6077932505726,946.9500556771445,928.7634169309093,934.9026467199141,944.5444135758355,939.8719654849361,920.4660159636733,920.347433111344
84210526.31578948,941.3132834183542,895.6464268480972,946.674609229175,954.4019641612045,952.7027332908228,948.060708159555,908.5265019488137,950.8806369496184,944.1772195705087,951.7646719808394,941.8798361485025,939.1328809849113,908.3155237763212,951.7197333359652,882.4645234739351,934.2763943975982,932.9343131849971,919.582424766139,940.3712060352442,938.4180829267423,951.6439434484762,917.0007798889667,940.6176480005322,909.6991393070803,942.4056930330652,950.622516589812,928.7544386380267,935.4841626344295,948.8245793498454,941.720152751891,925.9633857642515,932.8756717248637
94736842.10526316,945.8627425045848,904.026684949933,952.0135626079633,954.7298848503515,955.1147512649895,947.1714057539308,916.9529367932982,952.7602175345381,954.1719789108741,955.2845349998686,942.5163567561522,944.8821601114774,917.5436897489172,954.4753654445637,892.8238810172041,943.2838352842674,938.6935200691223,925.9242982124688,947.819731814049,936.4337908013046,953.8878766334618,918.9604627603969,942.6174295060853,905.4835155241377,944.0711657941506,951.5039118042944,933.7599691935193,937.7930100631186,950.0249483090029,945.6206389635884,930.4747107920555,941.3129994202188
105263157.89473684,942.7276403395423,913.0793120894075,954.8309252836698,959.5685464827308,960.0188948242949,948.974431656074,922.0789665053095,957.4950061095388,953.7371057077128,956.6426477273745,945.2948738267218,950.4248189001532,919.8018982007563,959.6344832502243,907.3258371009721,941.4240266556885,942.026431075754,929.5798242891265,951.4831765774545,934.4516721471855,952.6559008336794,920.5926916090735,940.7791420970927,903.75651945764,949.926522569313,952.9094035341469,928.5308939017087,940.619890884019,953.2673060240178,946.3602294710535,938.4702200876378,944.6532857636005
115789473.68421052,943.9084414392297,916.0850439917018,952.9307611246188,962.1791271238776,960.4645683309708,952.904295004636,923.3210129143458,957.0544750683856,954.2004566113375,957.4735491599403,947.7409907628955,954.4706188925745,922.2633359742626,960.2531792424062,916.9761127619862,938.9341136742166,943.2585264163664,929.825143976555,953.5266599245679,943.6977202793238,955.0067229416231,921.4698367713231,937.8131575875005,911.4168906740205,953.5727315200003,954.4202612536105,927.4315365120315,941.414592448364,958.5571067630419,949.2845829134172,943.970346185309,947.6905132647696
126315789.47368422,946.3334064483643,916.1503399825162,955.0534234245068,957.5764842680617,956.6721023020651,952.8836846972437,919.4695720091421,956.3677271528587,955.4413018847437,958.630033841754,950.5660929851584,951.626434389574,930.245713046383,957.3783490875751,919.2641290997534,942.6419415936246,946.326696210951,925.5124901272253,952.4674276526284,950.0127332851167,952.7624202051982,919.6065149492174,946.2140046328389,919.3032788675578,955.6398314108809,953.7728717941327,932.7176101769106,940.9995413117132,958.8040127159816,950.5014443806995,941.4861270555829,948.3948768922166
