steps,trial_0
0.0,51.56938552856445
10526315.789473685,54.95758354708222
21052631.57894737,111.353206854035
31578947.368421055,205.45880964608915
42105263.15789474,699.2624483993509
52631578.94736842,843.5674265079881
63157894.73684211,849.1792242543518
73684210.5263158,799.0799549510936
84210526.31578948,871.3972402490738
94736842.10526316,839.5476026876811
105263157.89473684,760.9982962875815
115789473.68421052,719.7823065362478
126315789.47368422,765.0050478562755
136842105.2631579,841.4398034038306
147368421.0526316,823.1577406616422
157894736.84210527,716.9494639006017
168421052.63157895,734.388444332535
178947368.42105263,766.7896363885449
189473684.21052632,604.3594224195401
200000000.0,424.2101544737816
