steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9
0.0,0.0,0.0,0.0,0.0,0.0,0.0361328125,0.0,1.3984375,0.0,0.0322265625
10526315.789473685,0.4717853789184235,1.2605861679668908,8.489977239571784,0.0,1.2157887065179467,0.0423346860256882,0.0,2.641913141900483,6.102422053794124,3.1506060946350956
21052631.57894737,7.376741742163153,31.267132048461583,164.18443849410377,23.349500085508406,99.07645904456483,7.187624453177416,4.487387739060001,39.6733841724343,122.53050845349595,72.17574554401092
31578947.368421055,116.38380484435716,120.15635015957906,356.53790883674526,192.7986863551047,585.9195859385987,179.1565847740281,70.65052347632331,196.31480679551655,200.27118970812847,224.12156472245744
42105263.15789474,704.6123238243885,333.33762113407386,755.203547522632,166.24380373756642,170.7010314074911,747.0240619585454,192.95609369040193,433.0269373949215,178.30598249990203,419.23856886338007
52631578.94736842,794.2401071426941,707.7299445884049,798.4013284065056,345.8129341040952,752.8709006639729,742.3826760215442,184.92449720018126,761.7647379058881,666.4987256190124,787.9662740448505
63157894.73684211,832.1723212403274,647.6541368532049,779.1829373473275,466.4252596086412,741.1849007012111,748.0357452403146,492.26725715151133,761.5541812812193,556.5858398712244,755.9064054674059
73684210.5263158,761.9847481904598,703.3864164167494,762.1461912561982,509.00778843887633,726.3859787277898,757.3365184857905,688.0289127212483,757.1574504170721,738.9119470258169,738.6764029558346
84210526.31578948,763.4451953750569,662.4468697418466,816.9270429109272,548.6765971513996,758.3918288592816,784.6478141298585,764.3850233336896,764.5215600349236,718.183248144768,828.622391740371
94736842.10526316,848.6387914092256,738.4373441706734,769.8761390701885,587.0091425665859,759.8777270092528,762.2740007463915,376.24792088696165,694.7312022470701,581.3355835705913,843.7220837046235
105263157.89473684,848.5531548898966,803.2427622353931,774.1757640468777,626.700104800618,742.9817912822946,320.4196752564069,482.1399445309202,701.2488346575369,561.9517719765449,836.111115733012
115789473.68421052,833.6118234967261,846.2491574168536,831.7480299651128,406.8546050988407,747.1804873315912,526.349406823557,585.1931107988648,752.7714965693508,697.8395248027389,840.1663723388207
126315789.47368422,821.1482750002367,807.9604772108082,845.8562065399254,670.7293838543251,755.9342743934357,845.5698331901572,489.00355972543656,753.6241023203672,758.2129735233382,848.3753364964535
136842105.2631579,271.5007188326757,832.9790530693499,840.7477623287,747.2395914215128,759.1731102776989,843.8512756817889,742.1670432975751,671.8761314804203,768.0795117137835,848.0165609428427
147368421.0526316,683.6675610212084,849.3984972089942,847.4557087124219,820.4952963620343,587.7112880823023,846.1441902572759,843.334845180987,738.5893158001254,766.7219359749242,846.7667443547552
157894736.84210527,842.9192835842143,793.0571068766375,835.5323570547341,837.8973728850938,723.4081348408624,126.58628453178028,845.4856918445914,834.5369186982555,769.1971675735431,821.7788299840573
168421052.63157895,828.3309728141637,839.2944032452443,836.3261460491825,813.5775976207448,760.1889018642605,767.9469893183408,800.5492729968971,821.8098324593415,770.4091534812695,766.8581614824543
178947368.42105263,818.9202081542926,838.9815083210489,30.16305599582472,832.4136760082931,739.0701441513864,849.8573140305496,795.9751467004708,838.2140259069089,767.6688502066023,839.6092383630388
189473684.21052632,806.1080438978454,849.9437602405072,848.9446029768757,845.7547488120124,763.5293511049899,622.8357008408311,839.3493550160584,17.501759082656953,763.3257382094364,825.0796206413544
200000000.0,849.2434060448095,845.1510078028629,847.1556515442697,798.3186629947863,753.4532800975599,848.8544422952752,760.6417526947824,847.2601144690262,410.0190034163626,847.9421460503027
