steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31
0.0,173.5508575439453,94.91483306884766,197.52627563476562,194.27574157714844,111.61754608154297,129.70469665527344,184.34024047851562,188.72328186035156,175.4075927734375,164.26950073242188,203.70547485351562,179.09503173828125,173.9464874267578,181.68910217285156,178.58102416992188,188.5149383544922,210.433837890625,157.6914825439453,182.80120849609375,198.8941650390625,194.01747131347656,134.0441131591797,139.6116180419922,95.02046966552734,120.7553939819336,155.13204956054688,162.74911499023438,163.48883056640625,167.06430053710938,95.26567077636719,114.40689086914062,105.54350280761719
10526315.789473685,176.48298879219556,98.39224942468128,198.2691083241285,195.4959264498751,118.66873495225019,132.99292861424655,187.55016599727634,191.65389638367287,176.73467690367613,166.52191512138063,205.00085225144088,178.13447591080396,176.02363659301128,182.75140402699276,182.00521542074114,190.079608403332,213.59317505235816,157.89296902489133,183.73256498934325,196.2229078829371,194.38655373602694,136.25465711488948,144.38116766561927,98.72800165870926,124.37726086660848,158.83683232756698,162.1734066993576,162.536589471711,170.4383914131372,101.15317126382091,118.5641603559008,109.14477710149295
21052631.57894737,231.93844839963558,175.16270890823694,233.09873363342643,229.40006546828886,248.96871846097,189.35997077021904,250.19760436917608,250.24382807244226,205.6198427780348,220.77351022732557,242.72276080273855,175.06471702819715,226.91887024053247,209.6169050264887,253.09841500532264,219.89700613044965,285.3162692108313,174.97234317660332,212.15795961930482,168.25087249270769,213.56325215010432,190.77182507952494,230.31778607540184,174.64937138276747,188.341398931111,224.33161517531917,169.84761943794024,161.1315889407228,230.9390350169092,199.19655638140654,191.4764768734698,176.9103968445614
31578947.368421055,287.25623965213833,336.57015027448415,401.80771086445475,325.3864141506997,336.85157007102816,236.08922856876896,336.7054652285213,320.47300903511507,283.5542397520549,354.1939640691571,377.9243522685981,291.6433303101076,338.1620540311792,291.0650550031266,384.4260744687758,264.92760644489874,417.60033474841936,282.80347636969464,311.7116594247706,292.254925586923,318.32542555616175,344.1932818466937,309.90718807399776,294.53935249797854,251.04917940324037,285.49262691922803,330.27925952781936,279.36329106173355,283.48380153884193,230.52836780662852,265.52089869261954,256.3550348725593
42105263.15789474,336.5663321493735,425.00012244940467,362.58573401304494,299.34236188278305,297.33549559479604,406.5591051383692,420.2565209043323,318.602152853131,413.7550608206984,377.54983683504224,440.84367910976886,370.15563284822446,277.9718237289762,369.6456926942202,476.5550463173198,363.49050443456446,352.40060484640486,286.5453059838419,307.610638667672,294.5077978052261,355.0784743872376,378.22038699154047,417.1951027174075,335.5231082561604,392.0935152788902,410.02729982583475,425.97712409991635,298.3370417336678,406.82822801135586,350.62078945821673,441.899669728781,363.7197115434504
52631578.94736842,461.9578679194906,533.3330963154083,361.8831715673786,388.1708585231093,411.9751678978472,427.177425876136,471.9030092433714,445.33655063060843,457.7588757034649,429.4204241834849,524.7512732836678,392.16742142192874,362.8430490835552,468.73666507847753,480.4440511737504,477.2272725377717,433.56042937063444,312.41688233820355,343.8501433348722,405.71609325133204,465.53096522997623,305.2676831600243,347.3733446840764,350.6289596255466,328.6282515348325,363.410802919366,345.223633248555,307.0392601110268,540.2201198176003,251.07145567172287,318.0822737452231,379.3881289889195
63157894.73684211,489.1126389536501,614.7190768484263,425.4866617919666,448.2375119280618,499.48997463975263,469.1215610076517,501.70629011643564,511.81388984690744,526.5144062270089,511.69109261366145,592.2489692557222,461.41903164594794,438.0346115186935,457.73813925803205,595.532186610877,578.6108061993222,486.69634254057985,418.3972698161147,426.075867651242,499.86935345865686,579.2728128459646,492.8565872192714,462.40464247247195,420.0860261558826,425.7777487174957,497.09536931306707,408.52739458070903,406.3012093119014,601.4738742628256,301.95027250423004,413.36295981800134,262.43781369288877
73684210.5263158,585.5700754714805,642.4992934618961,491.34565099454653,583.9672896127291,622.5729993405105,589.9440252037921,606.7979125591858,576.9995896770023,622.0512864033271,627.9013802115277,658.431601665687,569.2595003990256,543.3038261623594,542.9576185528922,639.7575607466565,664.9033641762351,579.9967236913473,578.3314454976542,510.50219376026104,624.3787491897798,632.8636856701565,631.3462384959007,575.4889743182798,534.546848367456,566.7683096856622,579.4933389506182,523.9028149501439,495.6796439357742,636.5702996356335,470.0827606254338,573.0343194991103,343.0001319273688
84210526.31578948,699.6048617045965,677.9071225142545,578.2873988349683,651.1672556697497,693.5485446076644,658.8736235177417,688.1295705396383,680.3521782935821,660.3470373100852,664.8794386433102,677.0909524743247,655.1371286793759,583.9481153567411,662.6444795534552,635.7357698675668,731.3896126773549,652.2139629300611,656.3625479735166,628.876822935247,678.9772654755294,638.54828220061,684.7810355989557,645.0931581711175,664.3780577281835,638.511491163946,660.2123703983021,661.422318090032,592.3237170301315,657.1901798169039,617.525235115326,668.1529549416413,534.6360128896719
94736842.10526316,677.9535860519991,674.1193188042522,654.2625086081325,647.461741071989,672.4284790615626,674.6991194220791,664.13768295403,697.776454537529,673.8084973136474,682.9606872138224,675.4969240039009,669.8036699270277,595.01807142047,669.3821565148903,657.5120338475605,709.7963787290859,660.9973536213018,655.3178865455525,670.346467665523,651.0311713778411,660.3978397146157,663.6445738314922,643.0212327534142,679.4931278212249,641.4680943569979,678.1183964667888,667.4548233631905,632.4074938541635,652.0224445008175,667.527102372653,658.1040589690539,665.11138019007
