steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9
0.0,460.02734375,417.38671875,487.8193359375,501.2861328125,551.1494140625,369.173828125,500.908203125,549.3115234375,495.1044921875,506.1748046875
10526315.789473685,466.2951121818986,425.38486526943643,493.25472434405805,505.76532521868677,552.5724117934209,371.3051130368769,504.63353565459107,551.1709780177912,499.8401763630706,509.8593266743372
21052631.57894737,571.4658289933138,561.4454589061789,586.4454513507536,585.3893989975103,581.1020701400461,406.95521522162693,568.9760945708467,583.4808651192367,583.8986464577039,574.4855889402268
31578947.368421055,583.4523214540984,588.2142286353494,607.9228713624696,626.4297628640468,618.2921383664878,411.2348659177236,589.0490389160833,596.5589396722429,628.5175095846118,602.1029669082726
42105263.15789474,607.6575420728351,604.1966414728984,610.4199674928618,634.2865047401999,618.4756733585263,425.25933058043927,597.758855201531,608.9619490921992,646.4779706622095,609.1086991328611
52631578.94736842,606.672300013809,604.2247057700752,622.6849382485049,644.1853642107047,631.3414809261333,427.91712150415225,600.5650193565771,615.0265674987328,651.5714961815409,608.1881780228126
63157894.73684211,608.5353952867503,604.6569565854904,625.5738510279774,649.0138764843716,629.6117663555198,428.85325433937135,600.9269630030582,621.3622787771462,656.5629523375028,611.51356691799
73684210.5263158,619.6406329939571,606.8024375524548,623.8159437179565,651.6566225775721,631.4602311998193,429.7631243549886,606.3322021082828,624.2877690428842,665.0720158257312,615.115735371027
84210526.31578948,621.888328488844,617.2606449919724,625.5215170271179,659.2366307435603,636.11465466782,434.8563353942702,603.5256589429861,624.5040449316812,666.0812463311278,617.5134501998774
94736842.10526316,624.4271210356102,626.4804440231535,636.5010862112706,661.0104266137628,635.9445022942286,429.07668970430325,603.2430629201873,629.329569047838,678.1468751701292,613.5507730790453
105263157.89473684,623.5607065058151,625.6651877405901,639.5714137006004,657.5907955645195,635.9029071416882,425.49516550523754,610.222027316318,635.7403349731107,686.9595595489249,620.5913709762024
115789473.68421052,626.0718420694409,625.2213702875491,633.2163571254698,660.9613139266122,639.0151421607696,434.97574321715126,622.1617753248136,639.9024146283432,687.2224339250052,624.9351263125517
126315789.47368422,625.6468120691188,634.9552659116623,636.5477664450859,671.0856053571622,635.4277723740342,434.3343097232385,623.1396778983752,646.0886392989647,675.7544241717648,634.8931348066251
136842105.2631579,632.3395335733726,638.8304751916605,625.8720248188008,676.3679799293877,645.5444571133136,433.3643865373987,625.1984000219203,635.6664838447465,698.1033464521582,631.6556065049527
147368421.0526316,630.6708837387635,627.8664434755277,619.5813539140443,686.5306810025033,644.9664092077113,435.9512391869711,635.8349534349098,642.8729286141013,698.8399972308046,637.1711376063381
157894736.84210527,636.1464354707924,631.2045335082796,623.7026085074258,688.2491118386181,648.6594641386968,438.78138843599777,636.0862314800146,657.1798437044561,697.8753967126651,640.2173931275048
168421052.63157895,638.9749644271554,637.7350830331734,630.5076424976465,691.3687921244021,645.2546152130718,434.2512417526456,636.9698272451469,650.7356456217673,707.3174050455278,634.3089336279027
178947368.42105263,636.729012259486,639.8330268437182,618.8816560127068,699.3168107347145,661.851216067898,436.5165390849444,638.4080587344816,636.4022453339807,711.8509676000748,639.2989923551143
189473684.21052632,639.5132669094858,639.5418976865647,632.1866119786313,706.6862702303646,658.7857412829624,437.6242242850095,640.3578531893997,644.9961006661201,696.7805125957711,636.5738645537739
200000000.0,639.704355490835,637.9221581408852,774.2801823365061,709.4561376069721,653.0109307640478,447.7681367773759,640.0090966977572,645.9002591685245,707.990528056496,640.3204322112234
