steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24
2631578.947368421,8.933081375925173,3.6986581902754936,74.8316136410362,319.3220503957648,18.613870721114324,495.6692826120477,272.3314706902755,424.97413715563323,148.74691451223273,534.5205881219161,196.19219006990133,75.41499408922698,316.70000417608964,400.7908341257196,374.82003462942026,476.87583039936266,451.7070938913446,252.2915826094778,357.623340807463,413.23730629368833,306.9770250822368,493.1646246659128,393.5882937782689,316.36694175318667,2.3644521612870077
5263157.894736842,349.09906005859375,23.86088802939969,508.5132606907895,568.8006945158306,559.4716700503701,752.9918630499589,555.2772891395971,586.8703838147616,568.2641665810033,668.5333798057154,576.8851414730674,345.87803569592927,583.0142083418997,679.9373490182977,563.2576647306744,584.4655183490954,682.6742393092105,391.208884791324,538.6855404502467,649.8282470703125,400.150291041324,583.579833984375,680.3882542660361,593.658736379523,55.205900493421076
7894736.842105264,900.0508985017475,308.94625854492193,560.1573646946957,628.1434583162006,689.787652266653,797.0138469495272,594.450041118421,666.2835629111843,599.3876969186883,727.3724911338404,600.9435810289884,380.25370868883635,628.5369953356292,721.0549701891448,592.0913021689967,595.6737012361225,715.9434461091694,417.3582458496094,567.1795943410773,720.0946944387335,422.21777183131167,603.0302397075452,701.1822895250823,734.9693748072574,430.3213243986431
10526315.789473685,923.078703227796,586.8081375925165,564.900345651727,667.9290578741776,794.5090589021381,831.5182334498355,695.9532470703125,757.169523540296,614.5767629523026,736.6420255962171,612.0421399568256,432.4191316303454,653.2893708881579,737.4879857113486,609.6909950657895,615.8390406558389,723.5163188733553,415.2048404091283,588.7526020250823,724.7811022306744,431.1345150596217,607.4041876541941,721.5196661698191,746.5164537931744,483.59080746299344
13157894.736842105,955.8691101074219,773.0005637721011,584.0073370682566,700.0948261461759,843.0305545204565,873.2435286672492,783.1840980931332,817.5025024414062,628.9488959061472,741.8359648052015,636.757129869963,446.03968891344573,659.1397110788446,760.4278644762541,624.7458704898232,665.497404399671,742.2097087659334,429.97599872789885,622.9573942485608,730.4327007092928,443.04981432462995,629.4697699295847,744.2181910464639,811.62036614669,498.55271670692844
15789473.684210528,978.4870444849918,866.4250905890214,655.8621087325248,761.3173121402139,898.4192761872944,880.6152697111431,827.235316226357,848.2038509971218,657.5561876798931,751.299027292352,691.7314453125,552.490777266653,683.8571616724918,801.0219148334704,643.7916452508224,704.5505981445312,782.7167711759869,453.6471525493422,638.8009964792352,781.4151900442023,559.8586040296053,651.2444458007812,798.5494866622122,844.2197329872533,502.8034860711349
18421052.63157895,977.6697355571546,882.8625263414885,817.4592991879113,804.2735515393709,929.0166208367599,917.72192864669,912.5411344829358,872.2469241493627,725.3877740157278,807.337845651727,772.1771577533923,569.2038477847451,708.2406262849506,873.0159333881579,666.3381652832031,732.975341796875,826.7201987818668,568.6231785824425,658.3782396818463,826.7603374280428,611.9608298853824,675.1656060469778,834.1455222681949,874.4449591385691,506.2626888877467
21052631.57894737,982.8827868009869,912.2491647820724,898.4856471011514,823.0512952302631,947.063810649671,928.5679867393092,972.2871736225329,879.9475611636514,787.1623792146381,813.2304430509869,799.3076557360198,579.0687705592105,731.2350688733553,868.6321443256579,698.7831388774671,750.16943359375,823.3631013569079,656.9480237458881,671.3587453741776,839.4460577713816,688.3899054276316,724.8276752672698,873.582673725329,879.8433902138158,511.5013877467105
23684210.52631579,983.3392831902755,943.7182520816201,914.8773546720806,836.1788474635074,963.3774783485815,933.6481403551603,980.7348761307566,886.9339952970806,832.7649311266448,798.9264012386924,817.9420214201275,585.9173439427426,811.5533334832443,887.6193253366571,690.7573659796464,760.7188784950658,854.5740035207648,725.2140406558389,674.6097396047492,858.8431332236842,770.4216035541735,756.3830132735403,852.247404399671,881.0859439247533,516.9704381039268
26315789.47368421,983.2731323242188,976.8612253289474,970.3454621967517,857.1478207236842,975.2825381630346,939.6118774414062,976.5615330746299,903.6930445620889,872.7876586914062,826.9728425678454,827.5012431897616,621.4350425318668,860.4458104183799,921.4864405581826,695.0410541735197,787.5929629677221,856.1339978669819,819.6628128854852,688.9093692177221,891.7025499845806,856.8179353412829,769.8187223735608,864.3633005242599,912.2266909950658,518.2993260433799
28947368.42105263,983.5577328330592,979.0244076377467,978.1467606393915,881.8936815763775,976.6953895970395,947.1300450375205,981.8968939530222,907.3876471268503,888.0235949064556,841.1776797645971,854.4996771561472,721.4901653089021,918.1483700400904,934.9553656327097,704.3462797466077,803.3497844495271,818.4278050472861,861.4319425884046,695.0979132401316,886.1578320954975,904.5560174239309,798.2357675652755,881.6715730365954,904.2016232139185,520.0947651110197
31578947.368421055,983.7696790193256,983.4721872430099,979.3370746813323,895.4250359786184,982.3434416118421,949.1559930098684,982.7253739206415,912.8751220703125,906.5413882606908,847.5675177323191,877.2067164370889,795.6996042351974,900.9598003186678,937.5973607113486,705.9720715974506,822.7657663445724,866.9648373252467,881.5841899671053,701.4069310238486,899.7059261924342,960.4710886101974,805.287642629523,886.0546039782072,912.8891408819901,522.6967644942434
34210526.315789476,983.9472110145971,984.5244526110197,982.6589210911801,894.2930346037213,982.7679459421258,948.8868103027344,981.5229749177631,923.5572525827508,915.1335931075247,852.7294134842723,898.8107733475534,838.2109037700453,931.8357961554277,938.9548709267065,706.4636985377261,830.7471409847861,868.6898080926193,908.4419234426398,696.6710895739103,897.1169658460116,980.0602914910568,810.0318137721011,881.4610242341694,928.7161881296258,529.6586881938733
36842105.2631579,984.1449006733142,983.6679815995066,983.3569882041529,898.7792872378701,983.637406198602,951.6242418791119,982.0972000925165,929.9409950657895,925.4263691149259,883.0174656918174,920.6432719983553,900.6646889134457,955.7236842105264,940.5459980211759,706.5125571803043,826.9519364206415,886.0525384200247,942.8853470651727,682.3835609837582,897.7946873715049,983.7801096062911,833.3348452919408,891.3522210372122,943.0951666581003,542.3740394993832
