steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2564102.564102564,0.0,0.09249799679487182,0.06149839743589746,0.12600160256410253,0.0,0.3475060096153845
5128205.128205128,0.875,0.7900140224358972,0.37299679487179493,0.625,0.0020032051282050816,0.6900040064102564
7692307.692307692,0.9375,0.9237530048076923,0.6995192307692305,0.75,0.05949519230769238,0.7637469951923077
10256410.256410256,0.8724959935897436,1.0,0.75,0.8125,0.0,0.9749599358974365
12820512.82051282,0.9562550080128205,1.0,0.75,0.8125,0.0,0.7625200320512817
15384615.384615384,0.8550180288461535,1.0,0.75,0.8125,0.0,1.0
17948717.948717948,0.9487429887820514,0.9487429887820514,0.75,0.8125,0.0,1.0
20512820.512820512,0.9899839743589746,1.0,0.75,0.8125,0.0,1.0
23076923.076923076,0.9787409855769232,1.0,0.75,0.8125,0.0,1.0
25641025.64102564,0.9624899839743591,1.0,0.75,0.8125,0.0,1.0
28205128.205128204,0.946238982371795,1.0,0.75,0.8125,0.0,1.0
30769230.769230768,1.0,1.0,0.75,0.8125,0.0,0.945012019230769
33333333.333333332,0.9524739583333337,1.0,0.75,0.8125,0.0,1.0
35897435.897435896,0.9375,1.0,0.75,0.8125,0.0,1.0
38461538.461538464,1.0,1.0,0.75,0.8125,0.0,1.0
41025641.025641024,0.9475160256410254,1.0,0.75,0.8125,0.0,0.8950320512820508
43589743.589743584,1.0,1.0,0.75,0.8125,0.0,1.0
46153846.15384615,0.9574819711538464,0.9375,0.75,0.8125,0.0,0.9574819711538464
48717948.71794872,0.9850761217948729,1.0,0.75,0.8125,0.0,1.0
51282051.28205128,1.0,1.0,0.75,0.8125,0.0,1.0
53846153.84615384,1.0,1.0,0.75,0.8125,0.0,1.0
56410256.41025641,1.0,1.0,0.75,0.8125,0.0,1.0
58974358.974358976,1.0,1.0,0.75,0.8125,0.0,1.0
61538461.538461536,1.0,1.0,0.75,0.8125,0.0,1.0
64102564.1025641,1.0,1.0,0.75,0.8125,0.0,1.0
66666666.666666664,1.0,1.0,0.75,0.8125,0.0,1.0
69230769.23076923,1.0,1.0,0.75,0.8125,0.0,1.0
71794871.79487179,1.0,1.0,0.75,0.8125,0.0,1.0
74358974.35897435,1.0,1.0,0.75,0.8125,0.0,1.0
76923076.92307693,1.0,1.0,0.75,0.8125,0.0,1.0
79487179.48717949,1.0,1.0,0.75,0.8125,0.0,1.0
82051282.05128205,1.0,1.0,0.75,0.8125,0.0,1.0
84615384.61538461,1.0,1.0,0.75,0.8125,0.0,1.0
87179487.17948717,1.0,1.0,0.75,0.8125,0.0,1.0
89743589.74358974,1.0,1.0,0.75,0.8125,0.0,1.0
92307692.3076923,1.0,1.0,0.75,0.8125,0.0,1.0
94871794.87179486,1.0,1.0,0.75,0.8125,0.0,1.0
97435897.43589744,1.0,1.0,0.75,0.8125,0.0,1.0
100000000.0,1.0,1.0,0.75,0.8125,0.0,1.0
