steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
0.0,364.308349609375,689.9852294921875,512.967041015625,607.2159423828125,532.9584350585938,492.91705322265625,397.3610534667969,381.8428649902344,486.159423828125,497.40771484375,556.7877197265625
10526315.789473685,388.3725913926505,694.7828943334788,516.1162845589778,617.1322259420833,547.2762284051018,507.6587785411409,415.2685427768904,401.3122643077968,502.73637765844114,513.1069824398389,566.2316434030057
21052631.57894737,799.8120775001531,783.4603708014924,569.6946545585041,786.8236386756157,793.3071336098985,762.7863129816558,727.1326509116429,734.3806897193772,787.2475926146283,781.7788867148006,736.2754908407164
31578947.368421055,889.1113532717209,857.3259764237747,631.5510799911215,823.9599833118618,856.2562284164152,846.1626850488774,843.3350801401851,815.2650281108317,863.6609280842493,841.026026040068,840.7289431772074
42105263.15789474,903.4650941410223,887.5828995902783,890.1067138239948,822.0158091066947,874.8101691803444,884.1642410695717,884.7627439063011,867.7559664533409,906.3340855265589,855.7041479801537,865.2965567501628
52631578.94736842,906.982806027596,916.1983760859497,902.305072220904,817.3018998249416,913.8624242134701,914.6569179573878,909.1729628643501,897.0312850835251,915.3933254150143,898.7106891163828,899.0979965814593
63157894.73684211,904.3336063765423,920.3057680694681,917.2540552299108,857.3783189982919,921.1303004729781,922.1135220124781,913.8393823400429,904.6569973695972,914.1235714427652,908.4979884317377,906.7380434380343
73684210.5263158,924.5316989273246,924.178838766843,923.1903629372325,912.4798183791195,922.6404922033281,925.7809099168659,921.2009430994948,912.3113294055587,923.9147283837735,916.2376209262995,906.6966504213552
84210526.31578948,926.7112396721034,927.7785594562414,926.7500005468437,918.2054526653976,923.8579543449212,926.2090267936939,892.5178220529635,919.2991865269034,927.3929032117046,922.2092767184461,920.2526201448942
94736842.10526316,922.8576496765224,928.4824162018266,928.3417640191366,922.1497108893382,924.2246360945569,928.7018647274813,888.2487651870852,923.833636439408,928.1929657553371,923.7258559967343,920.5043155068836
105263157.89473684,922.2966967966418,928.9502533608196,928.5410948711088,916.9242154706548,928.0965481369119,929.5045811413398,926.3276971608318,924.0455015141548,923.9673944635734,925.68675494161,924.0007718933587
115789473.68421052,927.9855265183131,923.7555369617536,929.6537863385975,921.6267583271143,929.7203089409918,930.7289497461015,928.5613127590217,925.1665233883831,923.8841490778566,927.1899998722974,928.3239775612084
126315789.47368422,928.8342019481341,926.2121034725221,930.1353926486917,925.7090203742241,930.9852801815624,923.5927050978853,927.4815392309279,836.1394888938628,924.7694777847987,928.4140333468894,912.6721019493906
136842105.2631579,929.2479947285309,930.5486755067292,930.4075642888566,926.605077702583,931.3366469843236,928.3864921169599,930.3118224977786,892.1259150713106,929.6041022421911,929.5523612766715,922.8414786999576
147368421.0526316,895.1507081130204,930.3476588333083,924.5581211687125,928.4416591249344,930.8566531966597,931.3357780336343,930.1003870042738,927.573268394391,931.7344239236905,928.9421649150901,916.8552907715214
157894736.84210527,923.1089699385569,929.2306988275612,931.1770986970772,929.6596904915456,932.4717554671282,930.6679231055556,899.2658880556058,921.4362548170327,932.0666295412175,922.7339207244381,924.6547349519677
168421052.63157895,929.4947385074689,932.5667809330525,929.6779677346142,931.1540671847864,932.1399653743839,927.2800020365834,928.2886263855277,928.7934743241921,931.3328405047388,931.0946399604185,930.1921615574169
178947368.42105263,927.6845269092562,933.4652275816226,927.6790156016059,931.2914797016458,930.6440315165678,931.8674854897066,926.5925483175262,927.5423118501819,929.6893244961952,932.1938652374738,930.7384713468789
189473684.21052632,929.1422359098027,931.5911542411657,932.3433773748762,928.6926637868141,911.8075256109898,933.1968994140625,931.9047740684651,931.5252098396544,931.3301699253991,932.7121126892824,932.43126319452
200000000.0,932.5626219228694,918.8903217252932,927.5025607159263,931.4991297345413,933.0862238093426,933.1968994140625,932.1518127761389,930.2707728492586,931.201138970099,932.5442339683834,931.6213873373835
