steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2631578.947368421,0.0,0.07190583881578945,0.04502467105263156,0.14247532894736845,0.0,0.40928248355263164
5263157.894736842,0.875,0.9341591282894739,0.3400493421052631,0.625,0.03495065789473688,0.7311883223684211
7894736.842105264,0.9203587582236841,0.9032175164473683,0.8972039473684217,0.75,0.010074013157894565,0.8014237253289477
10526315.789473685,0.8313116776315789,1.0,0.75,0.8125,0.0,0.5631167763157889
13157894.736842105,0.9767937911184211,1.0,0.75,0.8125,0.0,0.9297645970394737
15789473.684210528,0.9032175164473683,0.9657175164473683,0.75,0.8125,0.0,1.0
18421052.63157895,0.998329564144737,0.9375,0.75,0.8125,0.0,1.0
21052631.57894737,0.8501233552631579,0.9502467105263156,0.75,0.8125,0.0,0.9502467105263156
23684210.52631579,0.8346525493421052,1.0,0.75,0.8125,0.0,1.0
26315789.47368421,0.9375,1.0,0.75,0.8125,0.0,0.9845291940789473
28947368.42105263,1.0,1.0,0.75,0.8125,0.0,0.9579821134868421
31578947.368421055,1.0,0.9435649671052636,0.75,0.8125,0.0,1.0
34210526.315789476,1.0,1.0,0.75,0.8125,0.0,0.9347759046052624
36842105.2631579,0.996659128289474,1.0,0.75,0.8125,0.0,0.940840871710526
39473684.21052632,0.9767937911184208,1.0,0.75,0.8125,0.0,0.9375
42105263.15789474,0.9872532894736844,1.0,0.75,0.8125,0.0,0.9872532894736844
44736842.10526316,1.0,1.0,0.75,0.8125,0.0,1.0
47368421.05263158,0.9778474506578948,1.0,0.75,0.8125,0.0,0.9596525493421052
50000000.0,1.0,1.0,0.75,0.8125,0.0,1.0
