steps,trial_0,trial_1
0.0,0.0,0.0
2564102.564102564,0.0,0.0
5128205.128205128,0.0,0.0
7692307.692307692,0.08687650240384613,0.0
10256410.256410256,0.5025040064102564,0.3475060096153845
12820512.82051282,0.7390637520032051,0.5734362479967949
15384615.384615384,0.5487530048076923,0.5212590144230768
17948717.948717948,0.625,0.6306214943910257
20512820.512820512,0.5,0.5
23076923.076923076,0.6303147536057692,0.5
25641025.64102564,0.6875,0.5
28205128.205128204,0.6606194911858975,0.5759402544070512
30769230.769230768,0.6112530048076923,0.5762469951923077
33333333.333333332,0.75,0.7715657552083333
35897435.897435896,0.8068785056089743,0.7556214943910257
38461538.461538464,0.621882512019231,0.690617487980769
41025641.025641024,0.5150240384615381,0.5175280448717945
43589743.589743584,0.7615497295673083,0.7484162159455139
46153846.15384615,0.8018704927884616,0.6981295072115384
48717948.71794872,0.75,0.6581154847756409
51282051.28205128,0.75,0.625
53846153.84615384,0.75,0.625
56410256.41025641,0.75,0.625
58974358.974358976,0.75,0.625
61538461.538461536,0.75,0.625
64102564.1025641,0.75,0.625
66666666.666666664,0.75,0.625
69230769.23076923,0.75,0.625
71794871.79487179,0.75,0.625
74358974.35897435,0.75,0.625
76923076.92307693,0.75,0.625
79487179.48717949,0.75,0.625
82051282.05128205,0.75,0.625
84615384.61538461,0.75,0.625
87179487.17948717,0.75,0.625
89743589.74358974,0.75,0.625
92307692.3076923,0.75,0.625
94871794.87179486,0.75,0.625
97435897.43589744,0.75,0.625
100000000.0,0.75,0.625
