steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17
0.0,0.0,908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10526315.789473685,38.50123084747232,911.5722791507964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21052631.57894737,711.5474322628116,971.3402170619806,0.0,0.0,0.0,109.20967689577567,0.0,105.24047783933524,109.77670533241003,0.0,109.43648827042942,109.66329964508316,109.8901110197369,0.0,109.32308258310255,109.66329964508316,110.00351670706377,83.23977449792247
31578947.368421055,966.8505426549515,973.6597829380194,158.71125941395456,164.32484093663462,0.0,964.7010853099031,0.0,933.7836900536704,969.0206511859418,163.8145153436637,966.0206511859418,966.6597829380194,969.510325592971,165.51560065356674,965.8711938408934,967.8505426549515,970.8505426549515,759.0059540555749
42105263.15789474,971.6804341239612,972.4536227493074,941.8456436114958,967.1340568732687,0.0,973.2268113746537,0.0,964.0413023718836,974.2268113746537,964.3608682479224,970.7731886253463,966.8144909972299,972.6804341239612,973.4536227493074,975.0,972.2268113746537,975.0,900.2789668455679
52631578.94736842,974.0,974.2835142183171,972.2835142183171,972.1340568732687,0.0,973.4329715633656,0.0,972.1340568732687,975.0,970.7010853099031,971.1340568732687,973.5670284366344,975.0,975.0,975.0,973.2835142183171,975.0,966.2835142183171
63157894.73684211,974.3402170619806,975.0,973.6804341239613,975.0,327.2888136253468,972.6804341239613,0.0,975.0,975.0,974.6597829380194,974.3402170619806,975.0,974.6597829380194,975.0,975.0,974.3402170619806,975.0,968.0206511859418
73684210.5263158,974.603080094356,975.0,975.0,975.0,964.3815194338642,974.0,0.0,975.0,975.0,974.396919905644,975.0,975.0,974.396919905644,975.0,975.0,974.2061601887119,975.0,969.603080094356
84210526.31578948,974.0,975.0,975.0,975.0,971.1753592451523,974.4536227493074,0.0,975.0,975.0,975.0,974.092754501385,975.0,974.5463772506926,972.7318862534626,975.0,973.907245498615,975.0,969.4536227493074
94736842.10526316,974.510325592971,975.0,974.489674407029,975.0,975.0,975.0,0.0,975.0,975.0,975.0,974.0206511859418,975.0,974.510325592971,972.0413023718836,975.0,975.0,975.0,969.489674407029
105263157.89473684,975.0,974.4329715633656,974.5670284366344,975.0,975.0,975.0,0.0,972.1648578168282,975.0,975.0,975.0,975.0,971.597829380194,974.0,974.4329715633656,975.0,975.0,968.4329715633656
115789473.68421052,975.0,974.6237312802978,975.0,974.3762687197022,975.0,975.0,0.0,973.1186564014889,975.0,975.0,974.3762687197022,975.0,972.7423876817867,974.6237312802978,974.6237312802978,975.0,975.0,969.8711938408934
126315789.47368422,975.0,975.0,975.0,974.6804341239613,975.0,975.0,0.0,975.0,975.0,975.0,974.6804341239613,975.0,975.0,975.0,975.0,975.0,974.3195658760387,971.0
136842105.2631579,975.0,975.0,975.0,975.0,975.0,975.0,0.0,975.0,972.7885890971261,975.0,975.0,975.0,974.2628630323753,975.0,975.0,973.5257260647506,974.7371369676247,971.7371369676247
147368421.0526316,975.0,975.0,975.0,975.0,975.0,975.0,0.0,975.0,974.3815194338642,975.0,975.0,975.0,974.7938398112881,975.0,972.6184805661358,973.0,973.4123203774238,972.0
157894736.84210527,975.0,975.0,975.0,974.1494573450485,975.0,975.0,0.0,975.0,975.0,975.0,975.0,975.0,975.0,974.1494573450485,974.5516279648546,974.7010853099031,974.7010853099031,970.2989146900969
168421052.63157895,974.092754501385,975.0,975.0,974.907245498615,975.0,975.0,0.0,975.0,975.0,974.092754501385,975.0,975.0,975.0,974.907245498615,975.0,975.0,975.0,972.7217364958449
178947368.42105263,974.9639483422784,975.0,975.0,975.0,975.0,975.0,0.0,975.0,974.0360516577216,974.9639483422784,972.1081549731648,975.0,975.0,975.0,975.0,975.0,975.0,973.9639483422784
189473684.21052632,975.0,975.0,975.0,975.0,975.0,974.9793488140582,893.321675900277,975.0,975.0,975.0,975.0,975.0,975.0,975.0,975.0,975.0,975.0,974.0206511859418
200000000.0,975.0,975.0,975.0,975.0,975.0,974.0773540296053,957.2376644736842,975.0,974.4585217927631,975.0,975.0,975.0,975.0,975.0,975.0,975.0,975.0,975.0
