steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5
0.0,407.50787353515625,403.440673828125,304.40093994140625,350.9747314453125,433.63836669921875,381.9573974609375
10526315.789473685,418.7524412802712,419.0584518516493,329.89185489627465,354.4700737939812,439.16472399284305,386.3063332187502
21052631.57894737,570.4065860225884,689.9548195418889,759.9351818620994,436.61744066305107,550.9418983677418,470.8872142746178
31578947.368421055,320.03731860918026,790.7798894478674,812.3105935214959,637.2151778999128,710.490479736447,590.028336834049
42105263.15789474,433.6374885563705,879.2340615436311,870.6314785639005,705.0790730685078,792.3797513877256,726.7685817595665
52631578.94736842,471.7426414322985,952.3707885304647,982.8016844949894,742.0873148500755,986.89618465874,824.2050944319062
63157894.73684211,707.1548286167869,980.567048123999,999.4174716654246,858.907220483817,964.1948582723201,911.1430029050135
73684210.5263158,739.7471636109406,988.7139735377066,995.6012115036021,981.9820024196131,973.5549987216075,982.139266726548
84210526.31578948,868.8673848696363,985.1847094789437,992.1509393945626,939.5184095784238,977.111475107082,965.4862513476131
94736842.10526316,993.3308881656615,998.1205526103273,661.3881008667959,935.1564396175652,711.0653745052391,962.9725030924806
105263157.89473684,955.7033966555159,991.0201773461873,700.1025363718703,986.7954114909978,744.7701900191914,999.3939054368935
115789473.68421052,970.5088356753135,994.3689275534199,974.2459879920423,996.1054523476603,988.2552146092677,999.488231473187
126315789.47368422,999.7892584305391,999.3260601465062,981.8779719384423,999.7676876826299,993.4006709530743,791.4373476835495
136842105.2631579,999.7733516562679,998.8483117865063,993.7781610776183,999.4717976513662,996.3818192886514,843.5459748438852
147368421.0526316,977.951374476306,998.8030787253974,417.3570436894722,504.3257691444117,999.5242135296899,974.4011887926144
157894736.84210527,987.9025802392708,916.4816039718088,827.2597175092748,295.0010257161885,315.58554594701627,995.7442677955548
168421052.63157895,968.639573498776,692.4284502964599,930.5915061020785,916.190470999298,907.9921759687306,997.8134514182558
178947368.42105263,990.5902587601353,576.040659710641,981.1285566388735,994.793338207657,990.6049015657393,498.05559048667493
189473684.21052632,998.7463099540436,998.8896105035191,999.4630644367672,988.284116307454,995.6863689435817,831.6921766438313
200000000.0,945.6034306162283,999.0093590962259,945.1376990299476,998.7399158791492,965.2348388715794,958.1091927980121
