steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9
0.0,28.433393478393555,35.76930236816406,36.93807601928711,33.10282897949219,35.480010986328125,38.47361755371094,54.61092758178711,38.277610778808594,29.801437377929688,38.046165466308594
10526315.789473685,34.30168020606062,37.829161043271135,39.76426602125044,35.708510061772415,38.615083577457064,41.36908783864777,60.455187348994606,41.282562560590186,31.29249111015009,40.013912735656525
21052631.57894737,156.45065310886363,79.61931599523882,117.75825603937841,93.79039637083989,106.97571564269694,109.2595356480732,181.72471928753353,104.61087472658409,60.799078717642054,94.3914590955111
31578947.368421055,361.7235566675663,181.74993070225312,392.99766633013616,238.57901708554698,262.9727171699922,300.4961481764707,381.29098234009876,225.58515212249395,117.93929036040058,280.4310454514879
42105263.15789474,438.5987344858059,413.03821200016796,570.771317401421,394.0062073868728,454.400623253508,510.118498357049,443.04575763151587,331.3868139734559,274.73803051373307,378.2499487954824
52631578.94736842,487.88659368558604,493.120268083758,639.030634400422,439.44174081177925,649.4723245280271,620.5530520438157,475.4887268172572,479.7719298403019,522.5852401352325,443.18088220889547
63157894.73684211,542.7349674354961,543.1673663824879,682.3167068829497,468.17560094446355,740.3288852792037,664.5724701022838,518.3620440669338,661.7424711216851,671.1608736795732,493.37262178226854
73684210.5263158,614.3570876068686,616.2802983737058,719.980088092944,497.84010827954125,778.9971850070267,698.8373462017884,536.3307504062838,720.7416009486877,711.0393524240919,547.9885790679924
84210526.31578948,670.3318773148133,692.4212781068691,752.9714561988112,531.0256480364918,798.1849605726734,719.4939911702334,552.2831502634402,772.4956492928587,748.8022191742451,588.9071737432083
94736842.10526316,702.5271681822899,749.1434286722186,774.1534968835825,558.2021784762596,817.4141762215345,746.2498225934618,563.3369419678756,797.2851569845736,793.1324238435384,622.4348614897755
105263157.89473684,726.3333303145755,785.1827368125361,795.5669745312504,568.4913335856969,844.8567287637917,778.755918713818,571.8725349572887,816.2051573575699,814.8108625841273,651.1351819949797
115789473.68421052,746.8413759271854,801.2814265862727,819.3234779573874,582.8014282031072,864.8972296647088,797.3026606217646,575.3776803105822,832.3798623489541,826.8256887778681,678.0452209146399
126315789.47368422,767.1022385137563,824.1839637076096,838.89075020872,602.0193332053948,876.6504876171123,812.8114313947196,600.6896362165995,842.7140089250338,837.5331072034598,693.622915435696
136842105.2631579,781.8539855098791,837.1867965869296,846.4200542709503,612.6567721707008,889.9495017837289,825.2815288990488,683.763799110278,851.6805091830502,845.8585828706168,709.308864763569
147368421.0526316,787.5335686513922,843.3249760043918,852.1551874502874,621.3557054887518,902.6407399451633,828.3239626091934,735.7566358673275,854.7769398451512,850.0708568271177,720.2793263695577
157894736.84210527,798.7379428519766,850.2018010366987,861.8246424371516,624.463488554195,896.0037164485025,834.7496164439458,767.8618464443492,862.9977609399614,856.2155056661846,724.2862830573172
168421052.63157895,807.9510732793411,855.0682579870039,859.8826226025737,624.8825326243266,896.950661329021,834.2339243743559,787.9439940201609,866.442271515273,856.3492391935016,735.228081354474
178947368.42105263,819.8076351991651,859.6420221090978,871.5055455088285,619.1814429873905,909.6304271379666,840.3822768863879,801.0447619038936,867.1372260751816,861.003296076591,748.0660463140612
189473684.21052632,840.989254118333,862.987838976271,873.6382485717287,638.457617220456,912.3003321024189,849.066568758349,818.5684035748986,869.7349311985138,862.4208216878516,755.5960888116314
200000000.0,846.3908870816231,862.2087586992666,869.6111903033758,640.9358257557217,910.2533645441657,846.6839112419831,830.3442099659067,868.1474737901436,862.853376972048,772.2648552530691
