steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31,trial_32,trial_33,trial_34,trial_35,trial_36,trial_37,trial_38,trial_39,trial_40
0.0,0.0,0.0,0.0,969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0,683.0,0.0,534.0,936.0,0.0,0.0,0.0,0.0,0.0,918.0,0.0,0.0,879.0,0.0,0.0,0.0,0.0,0.0,953.0,0.0
10526315.789473685,53.75429579293631,54.491432760560976,54.83164982254158,966.0514521295014,54.5481356042244,55.17186688452219,52.847050294321356,55.17186688452219,0.0,55.11516404085875,0.0,50.97585645342801,54.15121569858036,0.0,52.62023891966762,55.11516404085875,55.00175835353188,54.604838447887836,54.77494697887815,55.00175835353188,574.9079488400278,697.1757109158588,51.88310195204296,503.72068148372574,937.8711938408934,54.43472991689754,0.0,54.83164982254158,0.0,55.11516404085875,920.8918450268352,0.0,0.0,884.0465530860457,0.0,55.05846119719532,0.0,50.522233704120524,0.0,953.9639483422784,55.17186688452219
21052631.57894737,950.4949251211912,852.017134478878,967.907245498615,923.5775298649585,963.0206511859418,973.2268113746537,936.7630388677285,973.2268113746537,110.45713945637125,972.3402170619806,0.0,898.7731886253463,957.0413023718836,109.77670533241003,933.3300673043628,972.3402170619806,970.4536227493074,964.2474625605955,966.4536227493074,970.1134056873269,958.1547080592105,937.7630388677285,921.6909355522853,109.5498939577563,969.6804341239612,961.2474625605955,0.0,967.907245498615,0.0,972.3402170619806,969.6804341239612,0.0,110.34373376904438,968.6804341239612,109.66329964508316,971.2268113746537,110.45713945637125,890.8865943126731,110.34373376904438,970.1134056873269,973.2268113746537
31578947.368421055,969.6597829380194,165.00527506059584,975.0,975.0,971.6804341239613,975.0,808.314290815443,973.9793488140582,974.1701085309903,975.0,0.0,910.2684654172438,973.3402170619806,969.1907597169321,975.0,975.0,974.1701085309903,974.1701085309903,970.1701085309903,970.6597829380194,975.0,974.8298914690097,974.1701085309903,965.3195658760387,975.0,971.0,0.0,975.0,0.0,975.0,975.0,0.0,973.3402170619806,974.1701085309903,968.1907597169321,973.1701085309903,974.0,738.6034074186285,972.8298914690097,970.8298914690097,974.3195658760387
42105263.15789474,968.907245498615,970.2268113746537,975.0,975.0,975.0,975.0,221.36790166205,970.1340568732687,975.0,974.7731886253463,0.0,975.0,975.0,975.0,973.4123203774238,975.0,975.0,974.5463772506926,971.0,970.1340568732687,974.5463772506926,973.7731886253463,974.5463772506926,964.2681137465374,975.0,971.0,0.0,975.0,216.15124004501396,975.0,975.0,0.0,975.0,975.0,974.2268113746537,973.7731886253463,974.0,220.23384478878128,972.6804341239612,971.1340568732687,971.4536227493074
52631578.94736842,972.8505426549515,971.0,960.8242890841412,975.0,974.4329715633656,974.7164857816829,976.0,974.2835142183171,975.0,974.2835142183171,274.7252775493421,975.0,975.0,975.0,969.7010853099031,973.5824289084142,975.0,972.7164857816829,972.4175710915858,974.0,971.8659431267313,972.7164857816829,973.5670284366344,972.8505426549515,974.7164857816829,971.0,276.4263628592451,975.0,958.9537985846607,975.0,974.7164857816829,275.57582020429356,975.0,975.0,974.4329715633656,973.8505426549515,974.2835142183171,971.8505426549515,974.1494573450485,975.2835142183171,973.5670284366344
63157894.73684211,975.3402170619806,971.0,942.0108530990306,974.6597829380194,973.6804341239613,974.3402170619806,976.0,975.0,975.0,974.6597829380194,968.6597829380194,975.0,975.0,974.6597829380194,974.0,971.7010853099031,974.6597829380194,972.6804341239613,976.0,974.3402170619806,971.0413023718836,973.3608682479224,975.0,975.0,974.3402170619806,972.3608682479224,975.0,973.2989146900969,953.2467592191828,975.0,974.3402170619806,972.3402170619806,975.0,974.3195658760387,973.6804341239613,974.9793488140582,975.0,974.0,973.0206511859418,976.0,963.0924028306787
73684210.5263158,975.2061601887119,969.8092402830679,975.0,974.0,974.603080094356,975.0,975.603080094356,974.603080094356,975.0,974.0,970.3815194338642,975.0,588.0030919970563,974.396919905644,974.396919905644,973.8092402830679,974.0,962.8862426419668,959.7262838685941,974.603080094356,975.0,975.2061601887119,975.0,973.8092402830679,975.0,973.4123203774238,970.2369611322715,971.9845995282202,937.6090341499307,974.2061601887119,975.0,973.396919905644,975.0,973.7938398112881,975.0,927.3542108509348,975.0,974.396919905644,948.803286227493,975.603080094356,953.8921966975415
84210526.31578948,974.0,969.3608682479224,975.0,974.907245498615,974.0,975.0,975.4536227493074,974.0,975.0,974.4536227493074,974.4536227493074,975.0,440.01406682825507,972.7318862534626,975.0,973.3608682479224,974.4536227493074,959.155059729917,924.1130540166205,972.6391317520776,975.0,974.907245498615,975.0,971.092754501385,975.4536227493074,971.0,968.4434729916898,974.5463772506926,975.0,973.907245498615,975.0,974.4536227493074,975.0,975.0,972.2782635041551,911.5274844182826,975.0,975.0,938.0318559556787,975.0,974.5463772506926
94736842.10526316,951.5456739092798,972.5309767789128,975.0,976.0,975.0206511859418,975.0,974.4690232210872,974.510325592971,975.0,974.489674407029,973.4690232210872,975.0,972.5516279648546,972.5516279648546,974.489674407029,975.0,974.489674407029,975.510325592971,942.1298611712258,973.0413023718836,972.9586976281164,976.0,975.0,972.5516279648546,975.489674407029,972.0206511859418,975.0,968.8967440702909,974.489674407029,973.4690232210872,975.0,974.489674407029,973.4690232210872,975.0,972.0619535578255,976.0,975.0,975.0,973.0,975.0,974.510325592971
