steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21
7894736.842105264,899.4255403217517,883.0110393323397,959.4972164756373,967.7200140702097,954.3795326634457,645.6592182360198,965.9428373637952,837.7485881604646,722.4103666606702,953.3575680381373,968.9245444849918,900.488928543894,948.3282808002673,949.3999794407895,873.8694184955798,893.6928887618216,871.9391607987253,970.0088886461759,477.66336541426807,974.733059531764,977.9353701942846,964.8604848761307
10526315.789473685,950.8676629317434,940.9893413342928,965.8734966077303,969.3205180921053,959.0922980057566,719.3889802631579,966.3469559518915,834.7406648334704,714.7086824115954,958.2000668174342,970.205476459704,928.9160670230264,952.1404836554276,959.5643567537006,914.4489681846217,918.4395109477796,930.4097193667764,971.0003854851974,473.018355520148,974.7598491467928,978.8548455489309,970.1083984375
13157894.736842105,959.5719668739721,965.3514275801809,968.2178890830592,975.0700619346217,964.8627142655222,823.8574684544614,967.5305802194696,905.1606268631784,705.0791658100329,965.4972935726768,968.7616095291941,961.7331767835116,961.3964410079153,963.8433629086143,947.1602702893709,933.3492271021793,939.1589483963816,971.36376953125,485.7566255268298,974.5904765881991,977.9881704230057,972.2544989334909
15789473.684210528,965.6067665501645,971.2691939504523,969.1485338712994,975.8107749537418,967.9343582956415,874.7513684724506,960.6829866108142,953.7368196186267,838.0553010639392,965.4782522101151,969.4951460988898,964.2837909899259,959.0308002672698,965.5474628649259,952.2164499383224,944.3758063065378,945.7930297851562,973.2165720086349,451.52133660567443,977.5993331106085,979.4303781609786,972.6932854903372
18421052.63157895,969.2005695543791,970.0597020199424,971.3834533691406,976.8091366416529,970.7622423673931,902.387261641653,969.5840887772409,964.7284738641036,930.7574254086143,968.0054754959909,971.6280822753906,968.1828725714432,966.5115661621094,968.9577395790502,968.3501892089844,965.3842982241982,962.0475849352384,973.3034121864721,584.5659003006785,976.6297061317846,978.3313775313528,973.7708129882812
21052631.57894737,970.5676012541119,963.2409539473684,972.21923828125,977.671720805921,971.7645713404605,932.5231419613486,971.3992213199014,963.9169793379934,947.7928531044408,971.9590229235197,971.9618498149671,972.7370476973684,970.7408640008224,970.7492804276316,972.7586477179276,968.9061857524671,967.2947291324014,972.6333778782895,684.2964252672698,976.9579435649671,979.5782406455592,973.8708367598684
23684210.52631579,970.4526254754318,972.6254690069901,972.5947538677015,978.0434714869449,971.4673815275494,943.5582837556537,972.6273225483142,961.6707426372327,960.0431807668585,974.3857935855264,972.9830290141858,973.7822281686883,969.8500318025287,971.9091315018503,976.1692440635279,970.5527070697985,971.0637929815995,973.7125982987253,761.6466482062089,978.432083932977,977.8805606239721,973.1866969058389
26315789.47368421,971.8728412828947,972.8779136256168,972.5057308799342,978.5798821700247,972.0804475483142,957.9390901264392,972.4513806794819,964.4372012489721,964.5932713558799,974.2829814710116,972.4729839124178,976.7505525287829,972.1562853361431,972.4772563733553,976.3645244397616,971.4195428145559,971.2501349198191,972.8649163497122,799.8878719932154,978.9600862201892,980.2559204101562,971.879484477796
28947368.42105263,970.9743379291735,973.2154974686472,970.7850277549342,969.1222325375205,973.0728261847245,965.1591636256168,973.0392375745272,959.4651184082031,963.2524751362048,978.6770758377878,971.7238689221834,973.3166584215666,972.2085057308799,972.2949909410978,977.3826920358758,972.0052104749178,971.9792046797903,967.243657162315,891.5698065506784,978.3428473221628,980.4729389391447,973.9811658357319
31578947.368421055,971.7333727384869,973.4541272615131,970.5161968030428,959.6070106907895,973.3696353310033,965.8644698293585,972.7412109375,970.0503122430099,965.9169279399671,978.3548840974506,971.7666079872533,970.1742971319901,970.376753957648,972.3549933182566,978.3699822676809,972.0219983552631,971.4738833778783,964.692961040296,918.6587042557566,976.2745361328125,980.5876786081415,973.9281391344572
34210526.315789476,964.6939359966077,973.2971432334498,970.8482248406661,975.6090120014392,973.5376345985815,966.5982810572574,973.2808757581209,969.0828022203947,968.5545252749795,978.02172369706,970.0672687731292,978.8438608269943,967.4896882709704,972.7663654528166,979.4362632349918,972.7214178788034,970.184077212685,973.3336133454975,930.9204213995682,979.2001583701685,980.4658845600329,973.9794327585321
36842105.2631579,960.3924046566613,972.9799097964639,969.2506617495889,971.4544934724506,967.6727776778372,963.9685379831415,972.9586245888158,971.8853952508224,970.0204403525904,979.6782547800165,972.4825214586759,978.5198717619244,972.4889815481085,973.087736430921,979.7925350791529,972.4959973787006,970.8550318667764,972.5393741005346,940.1919684159128,980.0047157689145,980.3709042197779,973.8460821854441
39473684.21052632,970.6905613949424,972.0983212119654,969.9103072317023,974.2068095960116,964.5319808156867,965.0455675627056,972.7852767141242,972.7955739874589,968.687834087171,979.3604945132607,972.6702527497944,978.9460417094983,969.8843383789062,972.9731429250617,979.6259974429482,973.2997982627467,970.7658000745272,972.43970208419,940.302883750514,980.3597877903989,980.6173095703125,973.1195228978207
42105263.15789474,969.55078125,972.9051706414474,970.2930458470395,979.0008994654605,972.4900030838816,968.80419921875,972.9431023848684,972.9169150904605,970.1909950657895,979.2330386513158,973.00146484375,979.8184878700658,970.5510125411184,973.5233347039474,979.8719932154605,973.2985197368421,973.798828125,972.7268708881579,956.3046361019736,980.8564710115131,979.2849763569079,972.1021278782895
44736842.10526316,973.0442954615543,973.2600177965666,975.9669783742804,977.0364781429893,972.4858478746916,970.9698534513775,971.0671707956415,973.3889513517681,970.4382019042969,979.6703908819901,973.0797777677838,979.2576550935444,967.4021092465049,973.1574915835732,978.5588925010279,973.3457256116366,973.7194053248355,973.8209630062705,963.8410740902549,979.5297947933799,979.0858764648438,972.4985174881784
47368421.05263158,972.9454731188322,973.4312583521793,978.4028834292764,977.9626368472451,971.0856002004523,971.3431267989309,971.0404116981908,970.325394479852,969.416015625,978.8517841539884,973.1512097810444,979.3332101922286,967.0730976305509,972.110505756579,979.0168746145148,973.2629169664884,973.5839233398438,973.3805541992188,966.1676892732319,979.6553280479029,980.6363107781661,973.3648424650494
50000000.0,972.52734375,972.857421875,978.484375,980.0625,969.19140625,971.396484375,972.423828125,967.5537109375,969.416015625,978.07421875,973.3486328125,979.732421875,972.728515625,971.5439453125,980.458984375,973.22265625,973.6484375,973.11328125,967.5263671875,980.9169921875,980.6484375,973.748046875
