steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31
0.0,227.05467224121094,224.4328155517578,234.90322875976562,227.26406860351562,224.4492645263672,229.62220764160156,227.86785888671875,227.4982452392578,231.11048889160156,223.05828857421875,219.97467041015625,222.91432189941406,220.82960510253906,229.99375915527344,221.68670654296875,224.8091278076172,226.64418029785156,221.55697631835938,228.76528930664062,227.83580017089844,233.55014038085938,228.184814453125,224.13609313964844,221.69204711914062,223.447265625,230.37818908691406,228.1531219482422,225.8180389404297,224.3394775390625,224.25767517089844,226.48744201660156,231.40196228027344
10526315.789473685,229.01041246537852,224.23093972328297,237.9460541061087,229.75223119073956,229.0062234775264,230.4404630038134,229.54275581661685,230.0280152338446,231.71335720087188,225.01388603762575,222.20217780508824,224.1124584541922,224.30863378975036,232.95160204911002,222.77724734076668,228.30196708428397,227.94964958372373,222.4129551300299,231.1471219489614,230.63246703127248,235.55226227830983,229.7593998856987,225.5653610962167,225.08975149018283,225.6726480476414,232.383438742846,230.79542203082437,226.99062131906646,225.27960992561154,226.6502771658663,227.75218641617622,231.59578640185234
21052631.57894737,263.5911880485569,221.67688105583522,288.8909286116959,272.509377283733,308.39194243997747,248.13348629451525,260.8671115820097,272.87292802730093,243.36202139619976,260.0472868557122,261.1365566706063,249.72355386845953,283.59904768807075,283.2563607568886,245.6204814185231,286.63640702860505,252.61435958189978,241.551709610587,272.3491448092989,281.1293598038668,269.9735536043664,259.577263329498,253.01806656343456,291.6219457300416,266.84450720766574,268.6336203631932,275.9078291832905,249.55688032251976,243.78288849899315,284.9703065837189,252.74498273832646,237.6046167538602
31578947.368421055,297.1095494490086,230.60614041616714,300.1986687429394,288.3322496854202,365.762751003877,281.4026016938059,289.81420171624075,280.7187754413593,259.2834251852412,282.96502256575053,278.59034654762274,299.3408712045473,299.6433456384079,332.9529736870875,284.07526778704243,290.08813520844956,277.7420852694485,301.0950755428245,307.65673289933034,348.62312169699135,299.52588807339487,291.7390709786039,283.6501619479828,392.2762457181873,299.11269777815096,294.01841267588395,287.2853659631638,274.64511356707095,270.10598788416615,450.4443224931028,288.2972657512925,263.2022420718564
42105263.15789474,416.5142357923978,253.750966012643,396.1641435147653,367.79283059468895,533.8836921687932,289.20637070505245,300.9085121191109,295.9059730992753,277.9885129076622,344.7242250122192,296.6919770732811,326.7166769514454,327.8616904746793,552.6376754154459,294.70468573094735,308.8902323850304,289.3239029748288,431.06276423680157,455.56659832258305,549.9781034157877,441.9301062766205,313.9884649518454,298.1890892685285,530.0213483433314,304.03087035936,311.36745496073587,328.131391716796,283.0712038572475,290.49298751123064,578.1755350124803,315.15673738107125,285.3982242127865
52631578.94736842,553.5993614203381,303.29602152282513,598.2043953854952,581.9674702953764,639.9097544143075,304.43101483525663,325.1260612737439,354.9217118284874,306.8437461735799,534.2456097706863,322.3367573745198,369.870980462209,405.273959581459,635.0451754955703,322.4741410999417,415.6650710603702,303.64672828430616,561.7854518832593,596.9681776506088,657.3719871037555,601.1213077049176,327.41481503580087,334.67026456034745,648.7872670102978,325.51109245691936,332.0654130871111,476.63192108636747,348.90704246282246,298.01632044495307,696.6121782551512,332.13463594584914,302.10119409359726
63157894.73684211,633.1160614493812,350.2529430346476,664.5234766723047,671.4253610385753,707.8332992844964,349.9403543249392,440.89985008682254,516.9426252306995,379.4991267444025,638.6398858224917,402.4942648108647,540.3593550433413,594.626347722109,691.672722703202,425.38065786407935,627.9129026490896,339.6514013374942,697.1871186399064,668.2242149108005,743.0769094575476,657.3464789585394,339.9199370948232,452.24983701134664,719.4491398658118,342.36103356115706,359.65041016574713,640.207839200041,536.3873037895669,367.9600054963475,785.3092274877173,350.0788298922893,329.80201160693105
73684210.5263158,702.3237017005105,388.74842906782504,705.940525953129,717.6701797656406,737.7073821945534,414.2352430427504,646.4994180995012,691.9997911720725,464.7716590344411,688.192450188864,579.7710222948622,756.6068710811911,681.7421245234825,726.6492762534242,573.0241983196082,707.0683905574754,431.67715586321515,787.3212287942789,726.2702563036842,790.0746794281904,679.828468674768,365.22685125924215,671.3308842758394,760.6155300051222,385.5885344318571,389.59088387078197,749.448226901633,655.9289646835539,565.1310159818288,820.5851131106348,379.3109564131482,378.3738483251627
84210526.31578948,749.5882586970554,524.5975165591676,739.7082589484978,752.4787858371259,755.3941514102376,571.6150183512564,773.8681694146999,793.5922516098974,543.576836961128,727.8122195933335,758.6257817144209,860.1549643690896,743.5242668307719,756.9401500601517,686.4763659255326,740.0726647680816,650.035661314333,842.5977159206888,760.445938465668,817.8370209030828,715.4101538010912,385.46114221900456,826.134427252899,787.6220629353933,501.7151406762343,441.82156074080115,807.1508862516556,726.0076594960326,740.2813894808128,826.1144783807263,409.9807827545335,431.675836496406
94736842.10526316,775.2027502211838,739.3265820764769,764.9952282122958,784.3152078571742,773.2176857290176,785.3493129322073,814.202797998682,829.282548010019,603.7613279130981,751.7946300995317,861.5651064321935,859.7884456310576,763.6979666718815,784.9989808218301,766.7844575631982,774.9769302935151,822.5243052486898,864.014452473939,786.7470088318775,835.4455279645167,745.855113054907,411.3363654511952,875.5711788716739,809.2450793781769,686.6584203832698,511.8613741151844,832.761465899667,761.295777755761,838.5486353285755,838.4466965677335,479.3757398792251,485.7475273503491
105263157.89473684,793.927810397835,842.9589436615603,784.9061141317901,817.1643432940142,788.5358494127227,884.5954692766607,837.4064043136185,843.5517477470752,784.57835205374,781.8677256926275,890.427313415958,879.7101948347118,789.0847977809299,805.0412296268088,812.4129258064022,812.8127068459493,873.2471124726319,885.8075087925733,813.0696671976607,847.9956928442059,769.961498643883,481.37067553211114,896.7865281976822,829.7574630780894,823.3313594874913,599.3505101276567,861.7012795583033,794.3962417976347,872.5321406093001,860.3384407194037,551.6868692032187,522.6946434608127
115789473.68421052,823.9170326194275,885.1301760500157,812.7895482203967,842.3513379144866,803.0840967097771,909.7335093787502,846.0657913072288,863.7485642535535,907.712506771748,812.519357619028,895.5307814964297,895.2982784843181,814.3013435222435,824.5916230835412,831.7609464719355,838.0389137268066,889.9898299792796,896.4086906536794,839.8141722893781,871.7142898927435,799.1635527156727,568.8541239141757,906.6225163276175,851.5284522083327,888.5132802780976,766.2837913878407,884.2186633331954,824.536460383612,880.315108888037,886.4419535495898,585.984440023384,558.4882602486914
126315789.47368422,855.1370421618305,914.3537933549062,848.116108298632,872.410154689382,815.3427517810356,922.0058186965636,849.0770183844579,888.1823052210822,924.7195776354243,830.4238834883038,901.9647419512107,908.1164752274669,845.9150825933737,856.2649787192199,846.8146158367643,859.2808590582533,896.5801044553931,911.4562849892804,864.2317343854509,889.9959529370813,828.3889057372086,760.815510284868,918.5746017843072,863.2786652156851,910.5561330826989,881.2954033240057,899.3749197368146,840.7322242860979,898.0615554939017,897.2563263630273,611.7725739987603,595.0873889348513
136842105.2631579,887.44887107297,927.4121627758084,873.0894151110398,888.2157958830162,828.1923777887035,928.9553124884819,865.6250446691407,910.0227446940797,939.5551047912925,852.0985459716696,920.0788470369627,915.3360757948288,875.9454640429107,882.425595780654,864.8591302816558,880.2866491838836,906.2559618910263,929.856840485351,894.1163924831764,904.8181085097823,850.6012673026307,883.4933598001909,932.9416410667084,876.7330425056394,918.467460436504,920.0445346625888,916.1784627305503,868.5844469164548,914.1945348390252,911.9336813417498,649.3193523180452,718.0158150760752
147368421.0526316,905.6801521655925,934.9483313877497,886.4892790621337,919.1360564459725,837.8606634364564,938.1184938640806,897.4313601020962,923.3269636033315,947.6000946634695,864.9167264898068,936.1272647522824,920.6996222949094,908.0473161516428,895.474626700964,880.8109392971213,894.4256049790871,914.1485445737178,936.8358962984956,909.5078333279433,923.649755009984,867.7176356530256,905.6682099239317,940.4884184318236,893.9269799202103,927.2232820304147,938.5188938811875,926.4493043848682,887.0072772681218,924.0269622472515,922.3734870465508,663.8362430763377,865.2863063789141
157894736.84210527,922.3097952029711,938.9890502027528,899.1176308241577,920.7025691891641,849.3914884979375,942.6562329672711,920.3675590529006,934.7618807189352,945.6669228499616,874.4965584773436,946.0299694240919,925.9640858475522,926.7045066929591,908.0627973142423,898.6890209545058,910.0700916923645,915.6273838757148,942.8103879416088,924.7497854206371,932.788732899193,885.8823828312499,915.1199549657816,948.2647680100312,902.496216108264,934.9368995436341,945.6733194999088,933.0556411434409,894.1427949462241,928.5058067678744,935.1993073505708,688.8072590134481,919.2555134588662
168421052.63157895,939.5394374234525,944.066137485557,901.2793827188973,938.8535071238256,870.1144356318127,944.8918659046416,932.4132102268885,945.2728861415155,943.873930532186,875.8574827569344,948.4891409253149,936.0220704356059,938.9619525449758,917.8690508343176,913.1787112914955,916.0176894380776,924.4817099214591,947.0492390582436,935.832007397575,938.0296067346167,901.2241754928124,934.0902063866401,947.2865862040638,906.4194713682349,943.2083282444286,949.2947697731927,943.3965081217547,904.4969823419883,936.9609046656009,942.2709398613082,751.871866849651,936.4185674672642
178947368.42105263,949.2633165976347,948.5897505739059,904.1913991841253,945.679040685585,891.8546057184977,945.8425767961631,928.260341435258,950.5474107234102,947.8015045824143,868.9421341293737,951.4402123339619,943.4279411159393,947.575274876115,913.4976882592792,907.0527922988268,920.4980099572699,922.5143188393347,947.0472236629008,942.0474843354767,944.9443519718099,912.1007760368556,941.5837848425903,952.2801619992692,908.7758660542668,946.2173749025178,953.7253110570591,946.838127660289,906.6546703347539,947.2447283872277,945.425471876962,893.4066502925763,944.194137272247
189473684.21052632,956.2882292260754,954.3835157915496,909.7306122264704,949.8574519755107,901.1688584696883,952.649939049314,945.8776466532757,953.9463745028688,951.3885005814877,867.046722903146,954.9172916207617,952.3194697319306,950.1862842115339,910.2175206477622,900.4320838306089,921.994693846914,929.1768484964265,950.5551141715116,946.2592553375831,947.5036094677415,915.5075230377203,945.1005618374103,955.2246493586542,909.2858196688491,952.8638246802412,956.8165515714074,949.8185541636395,911.988397335742,949.7622844320915,950.7233575744312,901.820254999845,950.7165572210693
200000000.0,961.4469665634005,956.4601673891669,912.02999972356,956.0294568789633,901.5757223242208,955.4135706895277,953.9816144642077,956.5531496938906,955.2873902540458,864.2886112457827,958.9459071818151,955.3652375748283,955.3713429005522,910.0472787900975,899.032157781877,922.8816704750061,937.1612287916636,955.0567376927326,951.6967600552659,954.3824661185866,921.102655388807,947.9313623340506,959.0931287282392,907.387698502917,958.0516908702098,963.7951649333302,957.4964487772239,911.1295459584186,955.6913437498243,958.1362701591693,910.738043308258,953.2236501135325
