steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31,trial_32,trial_33,trial_34,trial_35,trial_36,trial_37,trial_38,trial_39
0.0,153.1733856201172,159.22659301757812,102.97285461425781,116.86622619628906,128.35125732421875,124.19538116455078,116.48534393310547,104.7420654296875,116.32774353027344,108.14179229736328,117.47002410888672,160.21527099609375,188.81884765625,188.2990264892578,139.7474365234375,117.67015838623047,116.47831726074219,110.33241271972656,107.8980712890625,112.03125,112.44744873046875,120.60315704345703,138.55230712890625,95.00350952148438,189.40646362304688,119.79930114746094,112.78607177734375,110.26332092285156,112.63862609863281,133.63876342773438,111.7255859375,132.05787658691406,115.7229995727539,131.68023681640625,107.16046905517578,115.84013366699219,152.036865234375,121.8880615234375,115.20970916748047,163.66860961914062
10526315.789473685,159.3460606767943,162.98533935209227,103.55171142881763,121.73773988119618,134.67139386396,124.79963944449896,122.3697465120549,105.60613445039849,119.09285593647871,113.79879948036576,118.38695181532663,166.83463928128214,186.97106484965605,196.4029396975057,148.333158646429,117.87899964199585,117.39585883845253,110.87184333830164,111.14676630430935,113.38382947164229,112.42236869309582,122.29205447788301,146.77766475312598,101.98651974642046,194.12469291629225,125.50216698023256,113.07054162753998,119.04646387337152,120.85208093628825,141.28043892368717,112.17907630864768,134.60462992070785,117.3516225488521,138.65181752832973,109.09906284678263,118.3288249016386,160.49342953424045,131.5820674437235,115.54489975286405,161.61133188554123
21052631.57894737,274.3335067439938,231.09790362768555,119.13218458479791,211.1102444488256,249.0049690600908,151.96959045471579,223.66570932118847,118.36256238302201,183.98999407846182,218.23303984018904,146.11211363983617,281.5218361900124,152.5155803688758,334.27498748758165,297.5787214681382,127.04957527846841,131.8695836626922,123.05964411460792,165.46812505611422,139.89302637545686,128.59209275633674,149.58659773206446,291.03642990698114,233.79668134186738,273.4966208739954,238.11892201002286,117.99225443052619,267.5517936563558,255.0332041978836,276.21143778555944,120.07804298058277,174.04299765775738,156.6850731444656,254.58320075950465,136.83584174402367,165.8347601526497,319.16694506136,293.95708679030145,121.84208034713677,146.41791205970867
31578947.368421055,374.8692491889165,288.7365300609134,183.21333154949292,286.0068248755549,326.2603137425439,288.1230206704206,263.0287956141782,108.37231523735537,335.82442996591084,309.2852434267463,258.8652413619935,318.941022071812,140.5144857089977,359.10241693943493,350.00105114120197,187.8457802127108,124.84504850423401,162.34624390919126,181.33242985065462,199.79361088408828,278.9369662021006,141.35755279396048,354.7927511479716,366.4901930730264,279.9284536333295,377.5164606006522,119.49555492648788,298.50084572758044,250.54453306184914,326.4380000427654,125.03212633545297,169.56004316502168,263.2131514180648,247.85773758808992,124.71527976740848,231.90500393439697,457.46296927176024,307.35900313570227,126.02261097524882,316.41085225178597
42105263.15789474,395.50619699155857,364.8209312047985,272.40731049574646,333.22345115966743,352.4603708044644,312.23351646295214,319.7353641319803,140.49445339434695,363.2862615816481,364.34104585218296,325.8684279611566,341.8198454016794,238.29688636913195,374.8634613115041,372.1524340842239,295.85162537580055,125.88358641677947,261.5648854769498,261.3799246292035,357.33665577658655,377.71888746317074,132.93616475920268,383.33900073987957,423.65598479664555,279.3123795137511,387.88401305708527,119.57355489930617,352.3481044554644,340.5498419597208,291.6974142106286,132.73951998146617,288.88704668716053,310.46069234361937,225.577273041918,249.7507993611933,334.7050930700804,452.2091369972335,331.5131699877102,118.82672346893109,418.4826645441663
52631578.94736842,393.894708632845,407.51527632471596,293.37043528378507,336.6697914939673,358.2551455173301,354.5659950401149,301.3856126531505,217.81130017377333,398.71170871805947,395.15543475094927,322.2815236012526,385.47669915116063,285.8370064891607,402.6775365033473,406.5855689168472,393.75133732060317,145.2783474292699,375.9010170552869,308.6241406723238,412.7150945702253,376.5323801436913,149.24856910596594,392.91595357829846,445.3956797936947,285.22074006353387,406.7021062874398,136.6710193432723,330.3810402979646,404.4121926558975,341.1409685819763,125.34340118371219,370.0661257687038,306.4686935735541,259.58777650612876,296.26878080349877,392.1874046000417,477.20922630472194,331.5592685671229,119.17441933245044,431.28128992190324
63157894.73684211,385.86520310518154,468.25069999496696,307.7798480429478,356.96524065221115,367.12773750429335,363.7105996423811,313.811115424884,258.50721988354366,408.2923885306493,437.6163836927295,378.26364697313704,383.1276830652744,289.0258572616736,407.6311209284368,408.8007090220491,398.2190098907809,155.53776297518093,406.9539321756759,307.8503603294615,414.9744879132823,393.6555246463113,187.94396186395036,409.1839103690475,454.2101496576933,302.4287721768971,390.56606543014584,202.21501209366028,338.8763789252231,402.6076243402555,316.81845960623673,138.60118332579526,350.98234950934756,339.3015917816981,275.1573077910825,313.39061998891697,411.54706920018816,492.2198794949748,323.78596559670495,122.63003935485335,466.8939526635854
73684210.5263158,375.22190016301715,517.9072544138847,307.182795037193,373.1628319069619,372.94185618432937,380.17031234436746,335.7001010206763,275.43118733927156,379.45826059645896,448.45428654254306,398.88905820745845,402.22728774801845,320.5347230379106,460.0971341152931,427.5954082596665,406.3594710599848,178.95616555465722,419.59440876836595,306.1836651262319,459.43856445978554,406.9970838497715,201.4106376676761,396.4770571851169,471.1444585795548,335.61563934216537,403.3894260999569,251.00652592548704,372.5383983289106,408.6405952911298,330.59451683133926,152.28959458166543,423.2742157467845,345.4092838577617,287.1725762360974,319.3543532923318,403.966090028636,520.2697571796724,347.1114095275257,123.04921820959969,451.6791611791813
84210526.31578948,413.12200166181844,539.9619151984556,326.84904131862925,371.4511357014199,378.6801750091965,379.77747281436444,345.723826965797,290.2998554541464,386.39041295144034,454.6497792372083,424.2839472399524,387.69972314596833,358.8145380489054,450.86030013343304,450.3616606561761,421.9019202439739,220.03261228413464,436.10126964735525,330.47588047624623,466.14085917987984,432.6262439327557,214.59145446035012,404.91496315953475,468.6972376567175,332.3614788346013,420.4065315624353,299.34271247235034,365.8614188158611,425.3355515908006,349.2176091637968,235.34440536512236,440.1977144489658,368.35536473081385,304.0821332350332,326.5041323527075,411.9533500519486,556.0460152322236,381.1485946310524,187.8470488385481,446.6265143766958
94736842.10526316,445.4634001268244,548.5869921814042,308.61338367381256,378.8905298888188,359.8109017081373,401.40997345658883,358.2324508137155,298.612276877888,374.8026080595489,454.86964743115897,430.5145769021848,395.31411137854957,389.8520926572279,446.57712499058476,490.70374110712567,433.63513767636715,276.9158725036809,435.3141349322083,347.8876767248493,448.3409722797428,460.8477273005528,223.61678606676261,433.57474290267913,463.2347968587255,333.7157915711733,424.5573030730859,353.098900892893,351.6185835443045,422.8186242787627,384.0913263898642,362.26293638340326,453.1092056128457,356.6375347731681,296.6007934602344,361.2437452521186,425.1559162793728,563.3562851178349,379.78349294631107,354.09973510199967,461.7752617912114
