steps,trial_0,trial_1,trial_2,trial_3,trial_4
0.0,31.740428924560547,30.119800567626957,30.700340270996094,29.083051681518555,33.07843780517578
2631578.947368421,86.83071320183706,101.55871534523996,111.57391933560895,76.02376866579186,94.90238138601968
5263157.894736842,141.92099747911357,172.99763012285297,192.4474984002218,122.96448565006519,156.7263249668636
7894736.842105264,197.01128175639008,244.43654490046598,273.3210774648347,169.9052026343385,218.5502685477075
10526315.789473685,278.78056188424426,322.18687172939906,360.01038291998077,231.60476224150574,294.75636579070175
13157894.736842105,434.75644881526625,417.49214984241286,462.8759089478275,334.3554782535423,410.9658734981428
15789473.684210528,590.7323357462884,512.7974279554267,565.7414349756743,437.10619426557895,527.1753812055839
18421052.63157895,746.7082226773103,608.1027060684405,668.6069610035211,539.8569102776155,643.384888913025
21052631.57894737,839.6952975591024,693.2444361050924,735.3786804717884,632.5191199486716,712.4322592333743
23684210.52631579,876.5762923955917,769.3331800103188,770.0005318271486,716.1951854793649,739.4708573724095
26315789.47368421,913.4572872320811,845.4219239155451,804.6223831825089,799.8712510100581,766.5094555114445
28947368.42105263,950.3382820685705,921.5106678207715,839.2442345378691,883.5473165407514,793.5480536504796
31578947.368421055,958.6592976294065,942.6556915860427,869.3141559801604,904.9426995704048,818.9712982303218
34210526.315789476,959.5408026157764,949.4885765701009,898.1983576992102,910.1147586410506,843.9737637973668
36842105.2631579,960.4223076021462,956.3214615541592,927.08255941826,915.2868177116962,868.9762293644119
39473684.21052632,961.3137216850331,962.8303170047308,954.3949314104882,920.5734593272209,893.5908917596465
42105263.15789474,962.3666880590874,964.0563786657233,956.0810827623333,927.7281897862752,911.8830311256543
44736842.10526316,963.4196544331417,965.2824403267157,957.7672341141783,934.8829202453295,930.1751704916619
47368421.05263158,964.472620807196,966.5085019877082,959.4533854660235,942.0376507043837,948.4673098576696
50000000.0,965.3075866699219,967.640587290128,960.7524588902792,947.9254614909489,961.2726862033209
