steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17
10526315.789473685,91.81564930469376,587.1479501592155,380.15769141136445,549.6181807425544,95.2958130400597,354.6007533482898,538.8130386463492,81.78620683189246,569.6478135565972,533.6242668701341,606.6297905332824,55.70893232181794,119.75639177359375,80.19122304678625,389.66555852440916,151.6029926733297,98.6766562475062,72.91583978700507
21052631.57894737,593.1965472731234,586.8066492741128,362.2066755109877,742.2415544134758,687.9230823886692,649.3490174576186,734.4109093938177,621.408119333748,787.6315643648692,708.4086858796942,712.4552250489634,568.7057156179751,762.005392497266,632.9058961102177,594.5343237742163,766.9931785023443,611.7368266826852,613.8806067860357
31578947.368421055,815.5401616770145,805.3071806503465,829.1747144503606,828.260325450316,833.6366754066911,682.8574838611888,827.7873168718121,832.6010320430978,831.8713863219581,838.0871689524347,183.91751111577443,819.8476599220423,629.5301609858252,807.2802949915963,798.6845999054632,823.6836069297262,813.8584071394479,829.5389451689997
42105263.15789474,823.122299955162,807.5392465882024,829.870459781129,828.1188018460683,826.8040393924449,822.9228294668435,818.9756627703638,835.2755470487219,833.363843859728,807.8973177859657,812.3233753426254,817.4587250495551,839.3227911550252,798.5624299300345,804.4228329645299,809.0726599865012,805.1300601061031,826.5577929066159
52631578.94736842,821.8693679349905,818.6240660094159,832.483236141152,835.6263359127943,835.1024008061416,832.4020988538325,829.103922997155,836.9893431333294,840.7363175262705,751.345954139477,777.0928533849954,766.8587750094089,835.7598022767381,753.015547625576,838.1619696366159,794.81779889717,834.1707122200414,802.6506952724299
63157894.73684211,824.688927145876,817.5840444274226,835.4519162851687,825.8997117673921,839.1076151512336,832.4360654677711,838.1839569123498,828.3352917119076,839.8145558787845,839.4122231660457,833.254830410606,766.5090419367741,838.9725057966491,814.8262136781645,832.8784036926946,801.6148758304415,837.3825749003656,836.2657897346899
73684210.5263158,832.2982661809948,819.6549205410183,838.7413007836593,816.9175622760424,841.287302875783,821.1306036106437,831.1779394546044,832.0516215004749,839.0906201571308,839.1231569596605,823.216277378748,837.3039575508096,839.1482342749091,824.5030762151998,833.886602177184,769.6137518367609,840.1832059664739,835.7017761346706
84210526.31578948,826.2881262190124,823.6838799896663,838.8090956204486,839.1633641462247,840.8645755841792,815.2792570373028,827.322084252524,840.9310662224682,835.9493223068787,767.4526694976722,822.1317704219236,842.0695254254539,836.6009172349756,835.9114638352328,833.5905237594139,842.9355197811391,836.2885890971261,840.6261462478426
94736842.10526316,825.2861323211332,829.9834236847727,838.3988902364081,838.9212381278379,838.8529976134155,838.6040345242149,835.8199194382432,841.3303350041778,836.866841535489,761.3698513897502,837.6847970782885,842.0621692467264,836.9040827790786,839.3616847067328,835.1671865442123,785.1808222271399,836.7776559581387,839.4334649432069
105263157.89473684,835.8799635762983,774.1502462371235,839.589623961092,836.3142832494509,838.353341723413,839.4591977708558,836.26211190686,836.1625114134474,839.1460759963355,837.1524583811245,839.9552926462443,837.7500873946087,836.085572763163,843.4481385091005,839.7532067338516,792.0968616200286,840.4013259179704,838.0458222914931
115789473.68421052,832.6134683418802,791.7759656906128,829.0337669816374,838.0794791858282,843.2808606684043,839.462858757484,836.0721778763958,834.9867232156262,840.8590229594477,840.37619563285,838.1655376862291,839.5654854180079,837.3691094681167,840.1965299775396,839.8820681743674,839.4823125828666,841.9529737409132,839.7852445586567
126315789.47368422,830.0499259864195,832.2738664368183,833.796710365697,841.0151115375212,841.237897360424,837.8221628817826,826.6506371009383,836.5110751651331,838.3444642677201,834.8522688318818,839.3527825268352,843.135387705964,836.6056221409848,836.4174167390015,841.0987638225185,838.5219895846295,836.7930444416247,843.621771181059
136842105.2631579,832.0277286091009,835.6351510520788,839.925175275829,836.4911537249662,833.3555752313038,832.2158824571942,836.7564007238668,840.1972374427352,839.3387832879359,836.1060085534389,838.9875918940494,838.7442953395051,840.0836810642993,831.3443349167251,841.0034406403095,833.7380016068012,839.7097539637558,841.7709373965488
147368421.0526316,837.7509038190763,837.9062266838517,835.4937324946607,800.5868850295893,839.272643974283,839.0443513135831,840.403845747422,812.5396180456695,837.9344953975519,841.4425559585444,840.7382863908593,840.90889762181,844.3752858592533,837.4959038182309,836.29482616414,840.3864626210813,840.5950931591341,838.1869137412623
157894736.84210527,838.9238998883319,781.9719757677115,835.2291542724229,824.932343593925,839.4756222326009,842.8499767192513,839.9270497213771,834.0367681603683,715.9545984479528,841.6341082078928,836.8016374936725,841.6700230067456,838.8051845703759,839.29529886959,839.2307062466059,840.8450493191748,839.0566763283473,841.0462479604579
168421052.63157895,840.0896501197709,805.910463158774,838.5846804462972,835.554790422857,848.7747217743681,838.9654054086955,841.609237501826,769.3627118985078,823.5590605590482,841.1559870923325,843.0215879741468,837.8836596375357,838.0431410770998,836.2168705905904,835.5384581927777,803.3238443390484,841.9379414059118,839.4857046703222
178947368.42105263,841.3951631001819,813.3840935382157,838.8471206178956,835.3257260415032,839.1506505184226,835.6538421704829,842.0241197971756,835.8632844544513,843.0999989734132,845.1481786685637,838.5542700495416,837.3720460241851,837.325075564292,843.1273551581639,841.4533033582312,844.4287573373218,842.6709620774287,834.4749596984102
189473684.21052632,836.1418375083945,836.0991556585,837.9724924029406,836.356745923325,841.1615958015674,843.9232864274212,835.4861242183358,837.0519758261472,834.7292112841831,841.2626255384113,832.944282045655,837.5666500313461,836.7549871671894,839.1472411802931,835.037628120993,837.1128556893473,838.6061734070078,837.0717651176981
200000000.0,841.149794929906,841.8619356155396,839.2889675843088,833.0696280128077,835.8088704661319,839.9766590720728,840.5204825150339,832.0843395433927,841.2021039661608,840.7867004996851,836.1866943459762,835.9766178633038,839.1632908268979,835.7219697550723,836.4265760120593,835.0630940387124,841.8826363714118,838.5779938948782
