steps,trial_0,trial_1,trial_2,trial_3,trial_4
0.0,223.5546875,130.8515625,159.3828125,190.4921875,141.140625
2631578.947368421,371.73810858475537,276.60478719075525,294.90913498192504,326.81742136101974,258.1518625627484
5263157.894736842,519.9215296695107,422.35801188151044,430.43545746385007,463.1426552220395,375.16310012549684
7894736.842105264,668.1049507542662,568.1112365722656,565.9617799457751,599.4678890830593,492.1743376882453
10526315.789473685,788.6688998038309,695.243343420196,685.1710499545984,717.5845909787897,603.2760844983553
13157894.736842105,832.4103435047886,770.581523025245,758.995062443248,785.0549574734872,697.9408087479441
15789473.684210528,876.1517872057464,845.9197026302941,832.8190749318976,852.5253239681847,792.6055329975329
18421052.63157895,919.893230906704,921.257882235343,906.6430874205472,919.9956904628821,887.2702572471217
21052631.57894737,943.525261059142,957.9413002415707,943.702711674205,951.0666910807291,935.2176502963953
23684210.52631579,949.2452155665347,960.193728396767,948.0151600084806,949.7156524658203,941.5524737709447
26315789.47368421,954.9651700739275,962.4461565519634,952.3276083427563,948.3646138509115,947.8872972454941
28947368.42105263,960.6851245813202,964.6985847071597,956.6400566770319,947.0135752360026,954.2221207200436
31578947.368421055,963.2492948833265,966.1479636744449,959.9569894891036,948.8133432488693,956.9581555818256
34210526.315789476,964.9914236236037,967.388158563982,963.0146031965289,951.4338562279416,958.7567518803112
36842105.2631579,966.7335523638809,968.628353453519,966.0722169039542,954.0543692070141,960.5553481787966
39473684.21052632,968.4446186266447,969.7563850001285,968.7777489110043,956.6649712010434,962.3393197310598
42105263.15789474,969.649259868421,969.055769000137,965.7431405050713,959.1139901144463,963.8848577131305
44736842.10526316,970.8539011101974,968.3551530001456,962.7085320991382,961.5630090278491,965.4303956952011
47368421.05263158,972.0585423519736,967.6545370001542,959.6739236932052,964.0120279412521,966.9759336772718
50000000.0,972.5353393554688,967.4971084594727,958.4757741292318,965.4238688151041,967.8589986165365
