steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9
0.0,359.6474609375,496.1201171875,492.9638671875,397.029296875,387.6640625,388.1767578125,343.7548828125,357.9873046875,321.0048828125,382.07421875
10526315.789473685,367.35843856314875,499.0717106208907,503.76326708119996,403.8246121736775,396.86786430760435,404.96965935619914,352.1368256302091,362.1936146585565,330.36550342211103,390.90053688059885
21052631.57894737,498.8578168124043,544.8208295024333,693.2673895563776,513.229174436955,556.9985531307653,705.8128645254965,498.2802662413536,461.7371525804092,489.36515795953386,540.501538237046
31578947.368421055,525.9310013752565,512.47055727359,766.4214806543492,483.06040681696334,615.5209065751686,876.4083135900735,553.3870367013186,699.9536223741779,556.0238531593471,588.1931048786872
42105263.15789474,553.3140067103167,503.8021257247291,753.8033314121067,489.32536943599456,635.883175202684,897.7654385976184,550.9901893066237,741.6930295991765,750.2982974276979,713.5847757608936
52631578.94736842,621.5238506760954,598.6114268421796,772.6169301690818,543.9262550570628,654.8546369637148,916.7849610267914,526.9579106645241,770.4733725835742,777.4293295392699,711.0880059693989
63157894.73684211,647.6230190044625,746.2716549902412,768.6139215907892,566.627011074584,713.7906134491813,912.7884871253017,579.739048585337,806.0977107388821,892.6305863282687,736.9273480233063
73684210.5263158,687.2458653383968,925.521614249063,765.4193561374316,572.2729482571503,752.5362107786775,955.1379731196776,563.5691922232716,880.7245504743835,909.4890260405818,781.6152749523892
84210526.31578948,717.1156537169564,927.8619517910183,787.6220460294687,548.3190662669343,808.5008293003917,939.5124360398903,607.5790404850757,905.7254064036869,946.4407149761337,801.3949651955897
94736842.10526316,687.7431877537778,930.1737175568979,857.2062584039577,558.598444695618,907.2429664326506,927.0220093925244,688.525921324944,900.1890805051597,940.326909767954,788.6969263969696
105263157.89473684,686.7189683253745,937.8752505231101,907.9296594445395,656.8386637299345,924.883596171963,930.1137384694699,831.7831117466216,878.0790002352643,931.5130936207863,762.683240552358
115789473.68421052,649.2325406774589,950.7732799931576,938.4630695221497,660.4364139683689,931.9665554395343,900.0995571263279,906.7088411547801,917.1302917697093,936.6699507863898,826.0542592579638
126315789.47368422,692.3539963191237,882.7348646655306,939.4004695712695,616.5118927783913,936.8390225650861,920.1051815381671,918.169645420402,935.327674643815,926.6213905883958,854.7886047574622
136842105.2631579,721.7917316679809,916.2272009968428,919.4993153965704,745.823356422361,918.9941160381666,937.1634047051216,922.9966485216347,933.9818351248955,940.7878775398488,896.1416538851414
147368421.0526316,719.7986552536983,912.0933341821475,893.439361514147,793.0949904529011,928.1841105516597,943.6753603599739,933.2030565573568,940.6456119664158,953.8886275885839,932.918920242225
157894736.84210527,909.5660953257554,946.6553761331659,927.5707785112376,782.3085856318804,953.5535263896319,933.7636219537159,923.264309922744,935.4016253426464,946.7886435199642,837.2917818719329
168421052.63157895,942.2628968891345,924.3920435178973,958.1348163467366,758.2951612393281,843.5585452262053,894.1414766179557,908.1092205945805,956.1811722097634,908.6332414368183,881.8566539479095
178947368.42105263,950.2929959442477,928.7980741754463,947.8292989281737,731.5344535584595,945.2006296886963,919.701064862703,868.325818471301,965.366115931989,935.9015331849497,890.8819863934926
189473684.21052632,924.4710284626715,941.3918067847593,958.211992068304,827.2573487236889,964.3248154172607,932.345540926397,950.4225913599918,956.8720761560668,926.3940016358183,874.2554656580875
200000000.0,924.2055243441933,938.276311272069,959.5696090899015,786.5043400714272,927.5553483963013,957.4215103450574,885.6733866239849,966.1548629559969,949.4949080316644,950.6569538116455
