steps,trial_0,trial_1,trial_2,trial_3
0.0,69.60649108886719,46.6475830078125,58.701026916503906,46.025306701660156
10526315.789473685,70.3654276246303,50.74140615171012,60.87305185597111,48.09775730845753
21052631.57894737,107.8246532131678,180.6283575558927,118.65323461398195,123.88343277160813
31578947.368421055,331.5706746565834,710.6443201939155,396.1776523889764,528.610134890783
42105263.15789474,579.2236803003956,941.7863040161925,925.0130631401928,930.0156715543646
52631578.94736842,935.2204270721143,950.2824111384368,930.6949274771101,948.7096344407576
63157894.73684211,954.948757738618,810.0908243240079,949.992345940043,979.2449657289606
73684210.5263158,979.4472106246077,711.7229674750749,975.6745371717825,986.3097661038515
84210526.31578948,989.6880783281828,992.0887785697578,988.6808308194549,985.7181042449296
94736842.10526316,991.063213511352,830.3204881098131,991.8030617605286,989.957611522516
105263157.89473684,992.8503134841734,856.6748218896316,993.7087433546203,993.7342289871126
115789473.68421052,993.5710795434228,995.6344762216645,992.8676942540668,994.1150492101165
126315789.47368422,993.5354165628016,526.7760065374605,994.6585090787787,993.3273895255746
136842105.2631579,994.2688545597888,813.2961073138054,996.394038762082,993.207799359702
147368421.0526316,994.7010260850109,994.7243718552787,996.1185630226399,993.1145975576543
157894736.84210527,994.2449936292178,741.1249686750347,996.3705692912073,996.7063152241905
168421052.63157895,992.4269190600704,968.8841379038847,987.6423071124217,997.4976654766009
178947368.42105263,995.3148323581489,996.8635545505051,996.3871277270225,997.7326481674187
189473684.21052632,997.0429187758808,980.7167294005607,986.8891501212054,997.7452831690991
200000000.0,996.7001584768295,264.76495830008855,565.7181788118262,996.305908203125
