steps,trial_0,trial_1
0.0,34.40502166748047,36.6995964050293
63.1578947368421,34.40502166748047,36.6995964050293
126.3157894736842,42.712014426526395,44.5415976420779
189.4736842105263,63.977385429861265,62.522847121523334
252.6315789473684,199.96071014917808,63.549973401801836
315.7894736842105,864.8150297007071,53.16975525967925
378.9473684210526,942.4383026555369,64.34220009102735
442.10526315789474,941.0565082701172,238.19815620423788
505.2631578947368,931.5804356576231,743.7423193602737
568.421052631579,932.3520042803841,798.240119741409
631.578947368421,929.7350296278103,863.7448784442904
694.7368421052631,909.3801784263866,912.345045992093
757.8947368421052,906.7845634946959,918.7907512275518
821.0526315789473,876.2485176503955,923.9008632012961
884.2105263157895,866.1434886357689,910.048049195281
947.3684210526316,840.7581851996302,903.1658831793177
1010.5263157894736,900.9664510180892,928.6409873967789
1073.6842105263158,906.9139529781264,887.2345669169758
1136.842105263158,865.8483276367188,894.464599609375
1200.0,865.8483276367188,894.464599609375
