steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31,trial_32,trial_33,trial_34,trial_35,trial_36,trial_37,trial_38,trial_39,trial_40,trial_41,trial_42,trial_43,trial_44,trial_45,trial_46,trial_47,trial_48,trial_49
0.0,492.81298828125,505.8858947753906,491.2789306640625,35.63334655761719,46.86699676513672,390.462646484375,475.7475891113281,407.30511474609375,437.95831298828125,514.1217651367188,504.0965881347656,520.8329467773438,502.98284912109375,53.94327926635742,352.6510314941406,516.2848510742188,443.0382385253906,501.427978515625,508.56805419921875,55.69762420654297,38.54254150390625,524.5595703125,483.0749816894531,45.84101867675781,44.404747009277344,480.59808349609375,444.59619140625,502.3109130859375,369.80413818359375,405.9025573730469,547.494384765625,382.0372619628906,392.05535888671875,459.315673828125,51.414527893066406,47.77278518676758,390.85504150390625,431.67938232421875,431.3377685546875,385.1756286621094,459.1098327636719,439.4989013671875,469.4725341796875,51.32884216308594,349.9439392089844,456.98333740234375,577.3558959960938,270.017578125,430.4598388671875,544.8309326171875
63.1578947368421,492.81298828125,505.8858947753906,491.2789306640625,35.63334655761719,46.86699676513672,390.462646484375,475.7475891113281,407.30511474609375,437.95831298828125,514.1217651367188,504.0965881347656,520.8329467773438,502.98284912109375,53.94327926635742,352.6510314941406,516.2848510742188,443.0382385253906,501.427978515625,508.56805419921875,55.69762420654297,38.54254150390625,524.5595703125,483.0749816894531,45.84101867675781,44.404747009277344,480.59808349609375,444.59619140625,502.3109130859375,369.80413818359375,405.9025573730469,547.494384765625,382.0372619628906,392.05535888671875,459.315673828125,51.414527893066406,47.77278518676758,390.85504150390625,431.67938232421875,431.3377685546875,385.1756286621094,459.1098327636719,439.4989013671875,469.4725341796875,51.32884216308594,349.9439392089844,456.98333740234375,577.3558959960938,270.017578125,430.4598388671875,544.8309326171875
126.3157894736842,737.4150184112044,505.8858947753906,708.8682029178884,380.1785900079911,46.86699676513672,726.6800418919747,735.30934670786,741.2971970117065,743.6401724714887,514.1217651367188,759.2298030228559,722.438295217339,747.658053527534,588.052052609001,711.835765405671,776.7739620058225,720.9890751958536,731.0103259932762,752.5097178676835,441.6746740466068,342.5228947595943,733.9198077077072,724.6679117728671,558.4899149354934,333.96706471208734,741.2987906080833,735.5266642342019,714.4284725860433,716.0111835673795,742.2502366247278,719.9866308137005,739.990907348841,729.1417222971407,719.9233929615255,589.1794799312433,522.9748635157114,390.85504150390625,431.67938232421875,734.7450345602551,693.0272862703807,741.25607232337,751.5849871544979,724.0239883480277,513.2696371335704,700.6641803342222,703.8177835025712,767.5746834777765,538.870462490403,732.4076463796843,759.0551494750597
189.4736842105263,841.204751398445,505.8858947753906,781.0002200130831,594.3339868481909,108.10268003620894,840.0629222193571,821.9876928750742,840.3874493690164,856.7174961748495,514.1217651367188,846.8067086362419,864.791931209504,849.5836541960648,758.6357854708166,831.6190670105689,871.5585396292837,830.8399307637137,824.7136990633387,843.1777284831511,706.7937341546342,511.6298012770864,845.1025620732671,858.2490787049704,714.3623469348512,573.3857329377827,868.0387240764952,865.1252337555476,773.4824316545357,835.8017490181488,845.7212424257305,814.0784652031276,835.0539745387226,825.8893871067822,854.5272499053265,745.4762321424657,737.8249884978276,401.30804752514587,435.827957844711,845.7742172590778,796.5121232271097,861.8569689293506,842.0447679741974,810.1855324411122,701.1100878325952,833.4733902271041,831.5936406364746,846.4716607109175,729.9015633923096,823.6520794486611,861.0904963844746
252.6315789473684,892.4763276435194,744.9914242490727,804.9900835622751,667.1559696423085,422.6645217749666,852.5530855858414,857.4421231211027,892.4680383704684,879.0098772301953,803.7068556599436,861.9390049575222,895.5515494974203,879.3996081308044,823.9978153325542,877.6950875517268,893.8177044736537,850.3503466297255,865.2906445396716,862.5377871298576,812.3543103646965,588.6712343150404,885.884052331198,882.2289464138222,798.113299800321,721.6482885203666,877.9258725897606,884.1530180510371,798.0149869846923,858.0073634745141,865.1119447550897,845.0701736998118,860.9567663830479,862.6993908665997,875.1307519221634,801.5318453228434,821.064619174961,760.4261498397387,729.8536056518452,870.7763422125498,852.1177506969857,877.9099819874482,859.8877234989578,846.3951180304424,784.2487901285263,850.0137931270905,873.562274503938,825.8401311253637,832.4445577793491,845.907662442377,879.9734676826921
315.7894736842105,899.5239516617985,808.7663330921202,814.0811245633637,692.7271990590949,573.0656415965981,866.6688849346817,874.4641415758161,898.5759942814266,885.1789527381229,868.184824285989,868.6740429546239,889.5837219162571,887.3801001012226,842.94517789616,898.5787735985479,898.2573734410968,863.3232432822856,879.032385791645,869.1617091620591,851.2329046958482,632.0247238032886,909.9418055156325,888.6772625518427,849.0897628511948,802.0781691105198,886.3581282282337,900.1650183579509,810.0455998675118,880.5725395306687,870.891038736979,875.2971849453571,863.017405171344,869.8048586595277,879.8378618455541,837.6358652672201,849.1840077253693,863.9542832525648,802.5336117410504,876.1658122734221,878.6326998222105,883.0152774177554,860.5382092361526,857.483728543355,827.423626183565,860.2961356579913,878.4962544478502,874.6347448614083,864.1605241224825,849.9564456351281,901.1762973725798
378.9473684210526,902.684862766488,840.2477042868207,820.9925659532644,744.7145534587819,655.7081070934246,866.2478228714851,880.7541270721492,899.8967653791615,897.0057908154731,892.8556374148293,868.781251758285,902.0223125709123,897.8487554775393,861.1010414020614,903.1177304481427,901.2964366292275,880.3187072954648,885.4046163057218,879.566432651176,861.1903171503826,686.7852047326879,920.1917927674698,892.3780754493007,864.9576904366799,842.3622156747396,890.6163772947928,906.1409640190897,821.5978773138403,886.8043185552227,891.1887206491185,889.345376783615,869.5462957235453,878.1910986039494,883.697483205291,859.2292138838915,861.8849426038427,887.6366915824916,821.7831257223454,884.1764361251696,884.4831040144899,887.0978424263263,867.8483825333379,861.3828449404948,850.3591955926948,868.4198347226579,893.3971185126821,893.0669017957796,875.3886168713633,851.0163155230616,909.2215027213181
442.10526315789474,903.1442794660094,850.107989137033,816.2599394114467,776.0719267565634,693.2421039659266,874.3274352443494,880.6811003199977,903.7489344093385,906.0339799516186,898.5905290620224,871.798101449942,903.7943610392426,902.3871986506489,869.2840947806087,909.6700587722055,902.2507825749055,885.8699527762321,888.1530769042923,899.9857534302655,869.8062487174697,718.2917013368598,922.6535892603266,897.0849054223411,874.277347283211,865.194875179599,898.0219543078907,904.5235667290759,825.0837441351364,888.2224196609843,878.338657644923,886.4825427558328,875.6068331098671,879.6401979697747,888.5057233156986,869.5467894571201,867.9550711669691,904.6858701412392,837.7813026987301,881.0333518110078,886.5589617474742,892.1422388431272,870.3314977287482,861.7490228759796,869.0725229607874,881.6212155459441,903.2888877871102,898.1028771339047,882.4346931756806,852.8494782963847,908.0950603040072
505.2631578947368,908.2500022715676,852.5631563142783,814.0787976311057,830.6056921229039,715.7751144449543,880.4578162062935,884.9501651830938,904.9790978447771,907.6183415954962,901.7187137309611,871.8475151588796,906.558367317245,908.2864148067465,881.470780686599,910.2283016646538,908.5501979533205,893.7339435925932,884.3887567558254,900.7609774409608,877.2120180520119,752.409900815451,920.6294969586316,898.0904500355048,883.3846753462132,871.3632943479602,903.4859009503956,912.3352603567381,833.4793994116492,893.6391499205987,900.4123452593619,889.6169352916082,872.7175096100277,883.0567559009787,889.2190588302935,869.1604152859879,873.8499621746967,907.8339289177446,849.825851046439,894.3593878567171,893.2860310375473,905.9803636660035,873.7126183518797,866.4988154578975,875.0745736909516,882.9798527621786,907.2022026171352,901.6838564343924,895.465579921713,861.3238372285291,914.6078307798748
568.421052631579,908.2272334183285,862.0217829829936,821.1028221125098,866.2009232578802,756.5379399785689,877.0640223985773,889.7196855551289,909.5949712359138,909.0105520928189,897.3530536131852,881.992304484677,910.2251406739189,908.661446467335,889.3693413252703,910.4095809747924,907.9866172198913,885.7807972477474,897.5794350626485,904.7514408801899,879.18483129954,779.4199448931405,925.947354478743,901.4036128986991,889.7843049135026,880.2849328776659,905.4653860339056,912.0145746666859,835.7677207911535,893.1836230734034,904.9957758091034,889.0618288612344,875.9631498601842,874.4041194027129,891.6370095052549,880.647405724125,874.3004307539129,911.184619078645,859.1885159177159,889.5745412330962,891.7709700219534,905.7493798903218,885.106268538106,871.7724873620642,885.0467743696687,882.1432938089577,907.9481249227551,903.9958676121107,901.1116710066376,866.2981846310548,914.520955189303
631.578947368421,909.3112182380862,862.1988738011067,821.8341279479766,882.5958944644844,835.4321285604996,877.9977525308694,885.3640156013839,910.5849220841285,910.4104550959878,904.7716605240179,880.0689378741495,910.3159907121303,911.0839690919838,896.1371001223213,914.8880690883318,909.3937566595428,888.9798399810273,902.1655172900373,907.3828405692235,891.0670012430007,801.596153406388,926.5468390873007,900.1535707996136,897.5810501874655,888.1537366871688,906.9443259988965,911.6242525793965,836.4545717624923,892.8330521299298,904.9332405043117,886.6211747311559,877.6043793279323,885.7695514355376,896.0968498967159,891.3247810815999,877.7107126400547,910.7629716676362,848.2306093267403,890.2229233231416,893.3748527256583,907.5247983996692,888.1909589345016,878.4751855663794,896.173826670292,884.6726876197108,910.4979834204712,905.9923848125956,903.806037788275,866.9682469297716,914.5589892707935
694.7368421052631,912.9126350985814,873.9944224881757,827.8727206970756,886.7752075195312,856.5479589018671,883.1704301480784,889.6175261000502,909.8238059016415,912.0587909745313,903.8395407321404,888.4304243474802,905.0607080053951,912.5747528728014,898.392333984375,916.3296526842546,910.8349354051229,894.0777472090463,904.8467554496164,907.7645268270651,903.4810180664062,811.4219970703125,927.2062183279038,906.0693098101049,895.4918212890625,893.001953125,908.7207966141289,915.2305581516409,834.5318467829724,891.8553003189975,906.7960321709426,883.864423149644,882.8107897360292,885.0661573571423,895.2161972970016,888.283935546875,879.34765625,907.5097161634212,848.374087439299,893.5483197946511,893.9895701236477,911.0220865794156,890.9995238274918,884.0511420370287,897.1195068359375,886.0313888136355,912.8941169000801,906.6564576010762,906.041034274767,871.3835883669984,916.4605603606879
757.8947368421052,911.8753301342593,866.9647421643778,826.9946588742428,886.7752075195312,864.7798457984668,881.1563557309364,891.3117266695319,907.8181729884736,913.6526672256604,902.0769049146089,875.016651606229,914.1743563184202,915.2803833170268,898.392333984375,916.8749357114684,911.7464018539498,890.9534864095243,905.7119688223047,910.3708627178044,903.4810180664062,811.4219970703125,930.1288057546936,905.611421492861,895.4918212890625,893.001953125,910.3440240971894,917.2379684166092,843.401741609301,896.6117266394936,907.4438281134052,894.8140556405061,885.7840078254975,885.277811779522,898.1234151050686,888.283935546875,879.34765625,915.0123398457858,857.8763428386922,895.3551449570988,896.5894781225494,911.1596676553843,887.4937791954092,887.4066647789268,897.1195068359375,882.481219862642,913.9133869431793,907.0723387927825,908.1243695966011,871.7189253488314,917.2580254278384
821.0526315789473,915.1031494140625,870.9351359110436,827.7593994140625,886.7752075195312,866.0852661132812,876.3342895507812,887.722412109375,911.876220703125,913.7545166015625,901.878649093238,896.4710693359375,914.7564086914062,914.865234375,898.392333984375,919.3553466796875,915.4279174804688,889.9239501953125,908.3985595703125,910.8694458007812,903.4810180664062,811.4219970703125,921.0693359375,907.79052734375,895.4918212890625,893.001953125,911.7898559570312,917.9220581054688,833.2159423828125,895.8799438476562,910.998779296875,893.5525512695312,884.8223876953125,883.707763671875,900.453369140625,888.283935546875,879.34765625,915.3885837395559,856.9134546293228,902.66357421875,894.5828857421875,914.035400390625,887.883056640625,885.8908081054688,897.1195068359375,894.261474609375,905.612548828125,906.1326293945312,910.3180541992188,871.7523803710938,918.1809692382812
884.2105263157895,915.1031494140625,874.8208158119744,827.7593994140625,886.7752075195312,866.0852661132812,876.3342895507812,887.722412109375,911.876220703125,913.7545166015625,906.8237930465986,896.4710693359375,914.7564086914062,914.865234375,898.392333984375,919.3553466796875,915.4279174804688,889.9239501953125,908.3985595703125,910.8694458007812,903.4810180664062,811.4219970703125,921.0693359375,907.79052734375,895.4918212890625,893.001953125,911.7898559570312,917.9220581054688,833.2159423828125,895.8799438476562,910.998779296875,893.5525512695312,884.8223876953125,883.707763671875,900.453369140625,888.283935546875,879.34765625,915.2619136677055,857.7377640351211,902.66357421875,894.5828857421875,914.035400390625,887.883056640625,885.8908081054688,897.1195068359375,894.261474609375,905.612548828125,906.1326293945312,910.3180541992188,871.7523803710938,918.1809692382812
947.3684210526316,915.1031494140625,873.02099609375,827.7593994140625,886.7752075195312,866.0852661132812,876.3342895507812,887.722412109375,911.876220703125,913.7545166015625,905.3572998046875,896.4710693359375,914.7564086914062,914.865234375,898.392333984375,919.3553466796875,915.4279174804688,889.9239501953125,908.3985595703125,910.8694458007812,903.4810180664062,811.4219970703125,921.0693359375,907.79052734375,895.4918212890625,893.001953125,911.7898559570312,917.9220581054688,833.2159423828125,895.8799438476562,910.998779296875,893.5525512695312,884.8223876953125,883.707763671875,900.453369140625,888.283935546875,879.34765625,917.026123046875,856.7303466796875,902.66357421875,894.5828857421875,914.035400390625,887.883056640625,885.8908081054688,897.1195068359375,894.261474609375,905.612548828125,906.1326293945312,910.3180541992188,871.7523803710938,918.1809692382812
1010.5263157894736,915.1031494140625,873.02099609375,827.7593994140625,886.7752075195312,866.0852661132812,876.3342895507812,887.722412109375,911.876220703125,913.7545166015625,905.3572998046875,896.4710693359375,914.7564086914062,914.865234375,898.392333984375,919.3553466796875,915.4279174804688,889.9239501953125,908.3985595703125,910.8694458007812,903.4810180664062,811.4219970703125,921.0693359375,907.79052734375,895.4918212890625,893.001953125,911.7898559570312,917.9220581054688,833.2159423828125,895.8799438476562,910.998779296875,893.5525512695312,884.8223876953125,883.707763671875,900.453369140625,888.283935546875,879.34765625,917.026123046875,856.7303466796875,902.66357421875,894.5828857421875,914.035400390625,887.883056640625,885.8908081054688,897.1195068359375,894.261474609375,905.612548828125,906.1326293945312,910.3180541992188,871.7523803710938,918.1809692382812
1073.6842105263158,915.1031494140625,873.02099609375,827.7593994140625,886.7752075195312,866.0852661132812,876.3342895507812,887.722412109375,911.876220703125,913.7545166015625,905.3572998046875,896.4710693359375,914.7564086914062,914.865234375,898.392333984375,919.3553466796875,915.4279174804688,889.9239501953125,908.3985595703125,910.8694458007812,903.4810180664062,811.4219970703125,921.0693359375,907.79052734375,895.4918212890625,893.001953125,911.7898559570312,917.9220581054688,833.2159423828125,895.8799438476562,910.998779296875,893.5525512695312,884.8223876953125,883.707763671875,900.453369140625,888.283935546875,879.34765625,917.026123046875,856.7303466796875,902.66357421875,894.5828857421875,914.035400390625,887.883056640625,885.8908081054688,897.1195068359375,894.261474609375,905.612548828125,906.1326293945312,910.3180541992188,871.7523803710938,918.1809692382812
1136.842105263158,915.1031494140625,873.02099609375,827.7593994140625,886.7752075195312,866.0852661132812,876.3342895507812,887.722412109375,911.876220703125,913.7545166015625,905.3572998046875,896.4710693359375,914.7564086914062,914.865234375,898.392333984375,919.3553466796875,915.4279174804688,889.9239501953125,908.3985595703125,910.8694458007812,903.4810180664062,811.4219970703125,921.0693359375,907.79052734375,895.4918212890625,893.001953125,911.7898559570312,917.9220581054688,833.2159423828125,895.8799438476562,910.998779296875,893.5525512695312,884.8223876953125,883.707763671875,900.453369140625,888.283935546875,879.34765625,917.026123046875,856.7303466796875,902.66357421875,894.5828857421875,914.035400390625,887.883056640625,885.8908081054688,897.1195068359375,894.261474609375,905.612548828125,906.1326293945312,910.3180541992188,871.7523803710938,918.1809692382812
1200.0,915.1031494140625,873.02099609375,827.7593994140625,886.7752075195312,866.0852661132812,876.3342895507812,887.722412109375,911.876220703125,913.7545166015625,905.3572998046875,896.4710693359375,914.7564086914062,914.865234375,898.392333984375,919.3553466796875,915.4279174804688,889.9239501953125,908.3985595703125,910.8694458007812,903.4810180664062,811.4219970703125,921.0693359375,907.79052734375,895.4918212890625,893.001953125,911.7898559570312,917.9220581054688,833.2159423828125,895.8799438476562,910.998779296875,893.5525512695312,884.8223876953125,883.707763671875,900.453369140625,888.283935546875,879.34765625,917.026123046875,856.7303466796875,902.66357421875,894.5828857421875,914.035400390625,887.883056640625,885.8908081054688,897.1195068359375,894.261474609375,905.612548828125,906.1326293945312,910.3180541992188,871.7523803710938,918.1809692382812
