steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14
0.0,0.1865234375,0.240234375,0.310546875,0.1474609375,0.4345703125,0.3525390625,0.2548828125,0.126953125,0.15234375,0.2109375,0.2216796875,0.203125,0.1416015625,0.197265625,0.318359375
63.1578947368421,0.4356008401593125,0.43193523576653936,0.310546875,1.1749788355148492,1.6533361011988315,0.21484293734840257,0.5094348487097826,0.5478743819338474,0.531779413727688,0.3063372640457417,0.2216796875,0.2582415881242947,0.5835168848807087,0.197265625,0.6651035691326306
126.3157894736842,1.179877744661893,0.2107775688666512,0.5359698620260969,12.118200022624919,6.168057130246457,2.114310428168188,2.804400610439534,1.9374604059535905,0.8708906502289014,0.24220884191582587,0.25289038547484205,1.4156200184003465,4.4110713299479745,0.4103719549609684,0.7061330277386191
189.4736842105263,5.743605851686568,0.7007548988999591,8.223170308070086,28.59451492468733,9.902123363753567,6.937625998537734,16.893194789339148,0.6993627956449242,1.9137063032997803,1.383088261289327,0.42514761699208325,7.249491007830012,31.321786882975626,0.4056108832551626,4.082482034574403
252.6315789473684,24.614505668278532,2.759494891742603,20.603664030562065,120.69730316489579,14.070535863593129,25.33710158980522,50.631737186031,25.76048755385262,5.491740536895222,14.190272796180562,6.314173476529575,43.06599170126247,71.15446613379785,0.8557152137322112,12.66487815071485
315.7894736842105,62.31155725327135,12.78198972816661,40.84311579796023,210.96731462141324,58.372708177465896,63.090482189956106,89.933852800307,60.395381307725614,59.66954247038993,50.51435172588026,14.374215090593438,65.37016232296742,107.65260233636039,11.615417118815298,46.1606966349058
378.9473684210526,50.5,27.5634765625,80.8203125,200.2626953125,62.1142578125,136.37890625,87.6669921875,139.0419921875,53.587890625,40.4658203125,2.546875,88.4169921875,129.0966796875,37.001953125,64.56640625
442.10526315789474,50.5,27.5634765625,80.8203125,200.2626953125,62.1142578125,136.37890625,87.6669921875,139.0419921875,53.587890625,40.4658203125,2.546875,88.4169921875,129.0966796875,37.001953125,64.56640625
505.2631578947368,50.5,27.5634765625,80.8203125,200.2626953125,62.1142578125,136.37890625,87.6669921875,139.0419921875,53.587890625,40.4658203125,2.546875,88.4169921875,129.0966796875,37.001953125,64.56640625
568.421052631579,50.5,27.5634765625,80.8203125,200.2626953125,62.1142578125,136.37890625,87.6669921875,139.0419921875,53.587890625,40.4658203125,2.546875,88.4169921875,129.0966796875,37.001953125,64.56640625
631.578947368421,50.5,27.5634765625,80.8203125,200.2626953125,62.1142578125,136.37890625,87.6669921875,139.0419921875,53.587890625,40.4658203125,2.546875,88.4169921875,129.0966796875,37.001953125,64.56640625
694.7368421052631,50.5,27.5634765625,80.8203125,200.2626953125,62.1142578125,136.37890625,87.6669921875,139.0419921875,53.587890625,40.4658203125,2.546875,88.4169921875,129.0966796875,37.001953125,64.56640625
757.8947368421052,50.5,27.5634765625,80.8203125,200.2626953125,62.1142578125,136.37890625,87.6669921875,139.0419921875,53.587890625,40.4658203125,2.546875,88.4169921875,129.0966796875,37.001953125,64.56640625
821.0526315789473,50.5,27.5634765625,80.8203125,200.2626953125,62.1142578125,136.37890625,87.6669921875,139.0419921875,53.587890625,40.4658203125,2.546875,88.4169921875,129.0966796875,37.001953125,64.56640625
884.2105263157895,50.5,27.5634765625,80.8203125,200.2626953125,62.1142578125,136.37890625,87.6669921875,139.0419921875,53.587890625,40.4658203125,2.546875,88.4169921875,129.0966796875,37.001953125,64.56640625
947.3684210526316,50.5,27.5634765625,80.8203125,200.2626953125,62.1142578125,136.37890625,87.6669921875,139.0419921875,53.587890625,40.4658203125,2.546875,88.4169921875,129.0966796875,37.001953125,64.56640625
1010.5263157894736,50.5,27.5634765625,80.8203125,200.2626953125,62.1142578125,136.37890625,87.6669921875,139.0419921875,53.587890625,40.4658203125,2.546875,88.4169921875,129.0966796875,37.001953125,64.56640625
1073.6842105263158,50.5,27.5634765625,80.8203125,200.2626953125,62.1142578125,136.37890625,87.6669921875,139.0419921875,53.587890625,40.4658203125,2.546875,88.4169921875,129.0966796875,37.001953125,64.56640625
1136.842105263158,50.5,27.5634765625,80.8203125,200.2626953125,62.1142578125,136.37890625,87.6669921875,139.0419921875,53.587890625,40.4658203125,2.546875,88.4169921875,129.0966796875,37.001953125,64.56640625
1200.0,50.5,27.5634765625,80.8203125,200.2626953125,62.1142578125,136.37890625,87.6669921875,139.0419921875,53.587890625,40.4658203125,2.546875,88.4169921875,129.0966796875,37.001953125,64.56640625
