steps,trial_0,trial_1
0.0,459.0799560546875,422.45416259765625
63.1578947368421,459.0799560546875,422.45416259765625
126.3157894736842,590.9300447223537,422.45416259765625
189.4736842105263,667.1099019234778,431.3029232421296
252.6315789473684,694.0470234448192,642.3879839409713
315.7894736842105,732.7959952778352,726.371593149042
378.9473684210526,778.8506821916799,752.6574523319782
442.10526315789474,787.9882285735985,762.2653681763287
505.2631578947368,795.7934614732825,782.5162976214175
568.421052631579,800.5685048677541,792.1643207545804
631.578947368421,802.0804860070862,796.1324085590854
694.7368421052631,813.3444761597905,803.2720039551665
757.8947368421052,812.8352797347387,814.1458457924297
821.0526315789473,829.2656860351562,814.9196560519724
884.2105263157895,829.2656860351562,823.0172020563036
947.3684210526316,829.2656860351562,818.4906005859375
1010.5263157894736,829.2656860351562,818.4906005859375
1073.6842105263158,829.2656860351562,818.4906005859375
1136.842105263158,829.2656860351562,818.4906005859375
1200.0,829.2656860351562,818.4906005859375
