steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15
0.0,326.025390625,393.47265625,356.6142578125,412.88671875,344.099609375,322.4140625,350.0537109375,393.3759765625,385.86328125,339.333984375,323.29296875,325.953125,423.6591796875,339.744140625,410.0810546875,323.9873046875
63.1578947368421,379.58381740661764,401.3162166661081,444.81954559509086,428.78961464618004,477.92252763690124,394.1383288110691,350.0537109375,414.4946431010958,433.3618059374596,375.3921677251386,364.96824013045085,325.953125,453.01698778948065,374.929270514799,363.801912494726,388.19154317126913
126.3157894736842,500.8555532079753,741.2983429070265,644.7591439847378,460.8549824945727,726.9351224867768,682.2092453398446,350.0537109375,516.4649869796062,709.2490288963776,504.3581980929037,511.13121687213584,325.953125,462.6914510262998,699.6633397790646,552.4757842935668,676.5997736053065
189.4736842105263,664.5460241758095,832.2639577325517,733.9790282213825,612.8598031443443,860.7164166017532,754.1312638875927,449.6592823825493,623.4742651914503,727.6823041708666,621.5834371358902,555.3940372160541,537.7207175701684,580.8992934444884,749.1856930493457,633.24436294363,671.0330200013456
252.6315789473684,619.5297639165262,766.3339482100753,721.3080135459982,740.0877319134025,854.7478102014179,796.2082049579353,620.3844084647815,716.1801921835431,719.0496511447005,752.5318562602374,710.8993601339434,668.3724227860655,687.1390855145131,748.6782064859685,656.4674394949734,652.4390450829106
315.7894736842105,716.0575845274931,810.0831965108874,836.8603613950835,738.5822537008165,869.0961303507268,803.1846147948322,743.3976591929354,745.7946162899832,796.8220535777938,800.7643421342839,778.1085829133453,753.9706107055724,724.4347942255213,797.8486338819885,712.1110064585594,774.1694839871573
378.9473684210526,793.0964368291154,790.7450645661489,808.3560555865273,823.5283304308588,830.3291118823963,844.0085586299119,780.8192919763218,754.1725764298764,749.3941793311832,787.2260482275329,776.9893725287071,692.8525561858091,826.3972487008236,725.6862850845034,822.1526863806789,757.5343318503618
442.10526315789474,787.1190504449947,819.1930427319471,836.6228624817909,764.7969673907976,832.4458809066917,817.0097589244093,774.4388093780991,732.6363906832066,779.7994557338804,779.0189571683188,815.4647199805001,752.422015773003,697.7740038608817,747.8539501289024,872.7238595411841,810.6202163217713
505.2631578947368,828.7885934372471,897.1509300146379,835.5456416543608,759.9194796380895,844.9428787620129,780.5457884201512,803.1242328813246,726.8317745439092,898.6649306891859,745.941498746007,835.8055752859209,786.9309570807372,797.0435379281378,847.2250591498758,875.9565542493083,788.3548946568677
568.421052631579,795.439453125,885.6962890625,852.7900390625,725.0625,871.6357421875,795.0009765625,826.6842606819683,751.2333984375,833.3759765625,862.2548828125,634.9365234375,724.8546542235141,830.09375,908.802734375,816.7255859375,850.09375
631.578947368421,795.439453125,885.6962890625,852.7900390625,725.0625,871.6357421875,795.0009765625,786.287109375,751.2333984375,833.3759765625,862.2548828125,634.9365234375,804.73828125,830.09375,908.802734375,816.7255859375,850.09375
694.7368421052631,795.439453125,885.6962890625,852.7900390625,725.0625,871.6357421875,795.0009765625,786.287109375,751.2333984375,833.3759765625,862.2548828125,634.9365234375,804.73828125,830.09375,908.802734375,816.7255859375,850.09375
757.8947368421052,795.439453125,885.6962890625,852.7900390625,725.0625,871.6357421875,795.0009765625,786.287109375,751.2333984375,833.3759765625,862.2548828125,634.9365234375,804.73828125,830.09375,908.802734375,816.7255859375,850.09375
821.0526315789473,795.439453125,885.6962890625,852.7900390625,725.0625,871.6357421875,795.0009765625,786.287109375,751.2333984375,833.3759765625,862.2548828125,634.9365234375,804.73828125,830.09375,908.802734375,816.7255859375,850.09375
884.2105263157895,795.439453125,885.6962890625,852.7900390625,725.0625,871.6357421875,795.0009765625,786.287109375,751.2333984375,833.3759765625,862.2548828125,634.9365234375,804.73828125,830.09375,908.802734375,816.7255859375,850.09375
947.3684210526316,795.439453125,885.6962890625,852.7900390625,725.0625,871.6357421875,795.0009765625,786.287109375,751.2333984375,833.3759765625,862.2548828125,634.9365234375,804.73828125,830.09375,908.802734375,816.7255859375,850.09375
1010.5263157894736,795.439453125,885.6962890625,852.7900390625,725.0625,871.6357421875,795.0009765625,786.287109375,751.2333984375,833.3759765625,862.2548828125,634.9365234375,804.73828125,830.09375,908.802734375,816.7255859375,850.09375
1073.6842105263158,795.439453125,885.6962890625,852.7900390625,725.0625,871.6357421875,795.0009765625,786.287109375,751.2333984375,833.3759765625,862.2548828125,634.9365234375,804.73828125,830.09375,908.802734375,816.7255859375,850.09375
1136.842105263158,795.439453125,885.6962890625,852.7900390625,725.0625,871.6357421875,795.0009765625,786.287109375,751.2333984375,833.3759765625,862.2548828125,634.9365234375,804.73828125,830.09375,908.802734375,816.7255859375,850.09375
1200.0,795.439453125,885.6962890625,852.7900390625,725.0625,871.6357421875,795.0009765625,786.287109375,751.2333984375,833.3759765625,862.2548828125,634.9365234375,804.73828125,830.09375,908.802734375,816.7255859375,850.09375
