steps,trial_0
0.0,949.8729248046875
63.1578947368421,949.8729248046875
126.3157894736842,949.8729248046875
189.4736842105263,949.1897574832622
252.6315789473684,951.8247908772826
315.7894736842105,958.4215692403557
378.9473684210526,956.98637542161
442.10526315789474,957.5777953004786
505.2631578947368,962.5833886507659
568.421052631579,967.0062400738478
631.578947368421,965.3530895098517
694.7368421052631,964.1090575937609
757.8947368421052,965.3038837408322
821.0526315789473,967.1820644782671
884.2105263157895,971.1720814421129
947.3684210526316,972.01318359375
1010.5263157894736,972.01318359375
1073.6842105263158,972.01318359375
1136.842105263158,972.01318359375
1200.0,972.01318359375
