steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13
0.0,539.767578125,576.7421875,561.130859375,411.546875,433.2197265625,377.080078125,556.20703125,438.1552734375,827.6962890625,553.0205078125,547.224609375,355.162109375,549.947265625,590.3056640625
63.1578947368421,571.2889742554339,595.5739780968454,580.1503772138383,441.9013457796617,488.6997119535293,377.080078125,612.4621351597015,473.1165840207853,873.3523698277819,570.292289785762,579.3055215393746,380.08316746590543,549.947265625,609.3807421274339
126.3157894736842,640.2361888569989,646.5085195263129,595.0368316466777,626.5339333574523,798.1595736021735,377.080078125,853.8906894399333,561.9886131585813,955.9705518298442,609.5166189599119,654.2488090391221,412.92971849344684,549.947265625,644.2831711150458
189.4736842105263,654.2662461507183,656.9800376464831,594.3948598542921,841.7488965953758,866.5497667677735,410.0223194703434,890.0497940012763,578.3930708176164,965.4264434507303,605.6311622171285,668.6583273657965,367.1727334950636,628.1208099421394,652.4948581796301
252.6315789473684,666.7202228201616,652.463319644508,608.191952898475,904.2035781381327,968.9408930276801,422.2650262257129,906.5438501848415,573.249704916361,927.1113162265065,623.7206857284165,680.697218784909,483.3071860796039,656.6145407948335,661.0998531117496
315.7894736842105,684.564550298218,664.563666888693,614.5337429459786,905.7439195203398,981.0316108124828,453.72352520707597,935.8520618843444,562.5309114923535,912.733156264339,601.6940030070484,689.3379484496213,656.8222174256418,666.3135020991904,653.892951125751
378.9473684210526,669.9001301576936,681.2478497583944,620.0826217147419,910.0861838894826,980.3754047385589,450.69129617330003,952.680505139871,569.758557839227,686.0834345833946,630.047918781974,709.4978285091267,870.0809683586898,672.1108277929488,662.4712952409361
442.10526315789474,676.7215975790108,686.3966429470845,615.286296242041,907.802234141254,982.3735466909447,456.91901417969734,970.1151275471755,577.6603079216702,915.0804429112743,627.004658885927,696.6084817949785,889.3949458608469,675.2382254819092,675.4556684526524
505.2631578947368,677.9705728026346,709.4631486032577,618.7947819909512,909.6693423600753,980.7179909929313,447.1921248599401,973.4838394650529,562.146825789456,957.447265625,634.5524162261036,718.4687646242602,961.4134606755612,692.3512595231408,664.5316554109526
568.421052631579,717.884765625,700.40234375,586.73828125,911.1171875,982.0458984375,456.9174249491391,976.55859375,577.845703125,957.447265625,633.6845703125,707.478515625,979.5830078125,705.7224005186272,677.74609375
631.578947368421,717.884765625,700.40234375,586.73828125,911.1171875,982.0458984375,488.1787109375,976.55859375,577.845703125,957.447265625,633.6845703125,707.478515625,979.5830078125,703.8447265625,677.74609375
694.7368421052631,717.884765625,700.40234375,586.73828125,911.1171875,982.0458984375,488.1787109375,976.55859375,577.845703125,957.447265625,633.6845703125,707.478515625,979.5830078125,703.8447265625,677.74609375
757.8947368421052,717.884765625,700.40234375,586.73828125,911.1171875,982.0458984375,488.1787109375,976.55859375,577.845703125,957.447265625,633.6845703125,707.478515625,979.5830078125,703.8447265625,677.74609375
821.0526315789473,717.884765625,700.40234375,586.73828125,911.1171875,982.0458984375,488.1787109375,976.55859375,577.845703125,957.447265625,633.6845703125,707.478515625,979.5830078125,703.8447265625,677.74609375
884.2105263157895,717.884765625,700.40234375,586.73828125,911.1171875,982.0458984375,488.1787109375,976.55859375,577.845703125,957.447265625,633.6845703125,707.478515625,979.5830078125,703.8447265625,677.74609375
947.3684210526316,717.884765625,700.40234375,586.73828125,911.1171875,982.0458984375,488.1787109375,976.55859375,577.845703125,957.447265625,633.6845703125,707.478515625,979.5830078125,703.8447265625,677.74609375
1010.5263157894736,717.884765625,700.40234375,586.73828125,911.1171875,982.0458984375,488.1787109375,976.55859375,577.845703125,957.447265625,633.6845703125,707.478515625,979.5830078125,703.8447265625,677.74609375
1073.6842105263158,717.884765625,700.40234375,586.73828125,911.1171875,982.0458984375,488.1787109375,976.55859375,577.845703125,957.447265625,633.6845703125,707.478515625,979.5830078125,703.8447265625,677.74609375
1136.842105263158,717.884765625,700.40234375,586.73828125,911.1171875,982.0458984375,488.1787109375,976.55859375,577.845703125,957.447265625,633.6845703125,707.478515625,979.5830078125,703.8447265625,677.74609375
1200.0,717.884765625,700.40234375,586.73828125,911.1171875,982.0458984375,488.1787109375,976.55859375,577.845703125,957.447265625,633.6845703125,707.478515625,979.5830078125,703.8447265625,677.74609375
