steps,trial_0,trial_1,trial_2,trial_3,trial_4
0.0,,,,,
63.1578947368421,787.4403536138052,685.843252505822,683.6980794672197,710.2532507433095,602.6104496505546
126.3157894736842,954.5450686850256,961.9754110631449,951.9048431976297,948.5907641426156,947.3055859284493
189.4736842105263,969.497521874751,969.2973741888641,966.4746178566974,958.5720475684757,963.5886156027807
252.6315789473684,969.5299834745516,969.9795645131079,965.4616018309865,963.3116765323769,966.4727039403543
315.7894736842105,971.0350442358025,971.7017146753975,968.3477557270098,967.511568591273,967.8559229672333
378.9473684210526,972.8125,970.025678170843,969.6784835831708,969.4487815460379,968.6004811611625
442.10526315789474,972.8125,970.0859375,970.078125,969.4375,968.625
505.2631578947368,972.8125,970.0859375,970.078125,969.4375,968.625
568.421052631579,972.8125,970.0859375,970.078125,969.4375,968.625
631.578947368421,972.8125,970.0859375,970.078125,969.4375,968.625
694.7368421052631,972.8125,970.0859375,970.078125,969.4375,968.625
757.8947368421052,972.8125,970.0859375,970.078125,969.4375,968.625
821.0526315789473,972.8125,970.0859375,970.078125,969.4375,968.625
884.2105263157895,972.8125,970.0859375,970.078125,969.4375,968.625
947.3684210526316,972.8125,970.0859375,970.078125,969.4375,968.625
1010.5263157894736,972.8125,970.0859375,970.078125,969.4375,968.625
1073.6842105263158,972.8125,970.0859375,970.078125,969.4375,968.625
1136.842105263158,972.8125,970.0859375,970.078125,969.4375,968.625
1200.0,972.8125,970.0859375,970.078125,969.4375,968.625
